date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-24T00:00:00+00:00,2024,1. Division,Cyprus,Enosis,,,Apoel Nicosia,Match Postponed
2024-08-24T00:00:00+00:00,2024,1. Division,Cyprus,Karmiotissa,,,Aris,Time to be defined
2024-08-24T00:00:00+00:00,2024,1. Division,Cyprus,Omonia 29is Maiou,,,AEL,Time to be defined
2024-08-24T00:00:00+00:00,2024,1. Division,Cyprus,Omonia Aradippou,,,Anorthosis,Time to be defined
2024-08-24T00:00:00+00:00,2024,1. Division,Cyprus,Apollon Limassol,,,AEK Larnaca,Time to be defined
2024-08-24T00:00:00+00:00,2024,1. Division,Cyprus,Pafos,,,Nea Salamis,Time to be defined
2024-08-24T00:00:00+00:00,2024,1. Division,Cyprus,Omonia Nicosia,,,Ethnikos Achna,Time to be defined
2024-08-31T00:00:00+00:00,2024,1. Division,Cyprus,Enosis,,,Karmiotissa,Time to be defined
2024-08-31T00:00:00+00:00,2024,1. Division,Cyprus,Nea Salamis,,,Omonia Nicosia,Time to be defined
2024-08-31T00:00:00+00:00,2024,1. Division,Cyprus,AEK Larnaca,,,Pafos,Time to be defined
2024-08-31T00:00:00+00:00,2024,1. Division,Cyprus,Anorthosis,,,Apollon Limassol,Time to be defined
2024-08-31T00:00:00+00:00,2024,1. Division,Cyprus,AEL,,,Omonia Aradippou,Time to be defined
2024-08-31T00:00:00+00:00,2024,1. Division,Cyprus,Aris,,,Omonia 29is Maiou,Time to be defined
2024-08-31T00:00:00+00:00,2024,1. Division,Cyprus,Apoel Nicosia,,,Ethnikos Achna,Time to be defined
2024-09-14T00:00:00+00:00,2024,1. Division,Cyprus,Karmiotissa,,,Apoel Nicosia,Time to be defined
2024-09-14T00:00:00+00:00,2024,1. Division,Cyprus,Omonia 29is Maiou,,,Enosis,Time to be defined
2024-09-14T00:00:00+00:00,2024,1. Division,Cyprus,Omonia Aradippou,,,Aris,Time to be defined
2024-09-14T00:00:00+00:00,2024,1. Division,Cyprus,Apollon Limassol,,,AEL,Time to be defined
2024-09-14T00:00:00+00:00,2024,1. Division,Cyprus,Pafos,,,Anorthosis,Time to be defined
2024-09-14T00:00:00+00:00,2024,1. Division,Cyprus,Omonia Nicosia,,,AEK Larnaca,Time to be defined
2024-09-14T00:00:00+00:00,2024,1. Division,Cyprus,Ethnikos Achna,,,Nea Salamis,Time to be defined
