date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-19T17:00:00+00:00,2024,1. Division,Denmark,B 93,0,0,Kolding IF,Match Finished
2024-07-19T17:00:00+00:00,2024,1. Division,Denmark,Hvidovre,1,0,HB Koge,Match Finished
2024-07-19T17:00:00+00:00,2024,1. Division,Denmark,Vendsyssel FF,3,0,Roskilde,Match Finished
2024-07-20T14:00:00+00:00,2024,1. Division,Denmark,Esbjerg,1,2,Odense,Match Finished
2024-07-21T13:00:00+00:00,2024,1. Division,Denmark,AC Horsens,1,3,FC Fredericia,Match Finished
2024-07-21T14:00:00+00:00,2024,1. Division,Denmark,Hillerød,2,2,Hobro,Match Finished
2024-07-26T17:00:00+00:00,2024,1. Division,Denmark,HB Koge,0,4,Odense,Match Finished
2024-07-26T17:00:00+00:00,2024,1. Division,Denmark,Hobro,3,6,Esbjerg,Match Finished
2024-07-26T17:00:00+00:00,2024,1. Division,Denmark,AC Horsens,3,2,Hillerød,Match Finished
2024-07-26T17:00:00+00:00,2024,1. Division,Denmark,Kolding IF,0,0,Hvidovre,Match Finished
2024-07-27T11:00:00+00:00,2024,1. Division,Denmark,Roskilde,1,2,B 93,Match Finished
2024-07-27T12:00:00+00:00,2024,1. Division,Denmark,FC Fredericia,4,2,Vendsyssel FF,Match Finished
2024-08-02T17:00:00+00:00,2024,1. Division,Denmark,B 93,1,2,Vendsyssel FF,Match Finished
2024-08-02T17:00:00+00:00,2024,1. Division,Denmark,Hobro,2,1,HB Koge,Match Finished
2024-08-02T17:00:00+00:00,2024,1. Division,Denmark,Kolding IF,1,0,FC Fredericia,Match Finished
2024-08-02T17:00:00+00:00,2024,1. Division,Denmark,Hillerød,2,0,Roskilde,Match Finished
2024-08-03T11:00:00+00:00,2024,1. Division,Denmark,Odense,2,0,Hvidovre,Match Finished
2024-08-04T12:00:00+00:00,2024,1. Division,Denmark,Esbjerg,0,1,AC Horsens,Match Finished
2024-08-09T17:00:00+00:00,2024,1. Division,Denmark,Hvidovre,4,0,B 93,Match Finished
2024-08-10T12:00:00+00:00,2024,1. Division,Denmark,Roskilde,0,2,Hobro,Match Finished
2024-08-10T12:00:00+00:00,2024,1. Division,Denmark,Vendsyssel FF,2,1,Kolding IF,Match Finished
