date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-21T18:15:00+00:00,2024,1. SNL,Slovenia,Celje,2,1,Bravo,Match Finished
2024-07-21T15:30:00+00:00,2024,1. SNL,Slovenia,Maribor,4,1,NK Domzale,Match Finished
2024-07-20T18:15:00+00:00,2024,1. SNL,Slovenia,Mura,1,0,Nafta,Match Finished
2024-07-20T15:30:00+00:00,2024,1. SNL,Slovenia,Radomlje,0,1,Koper,Match Finished
2024-07-19T18:15:00+00:00,2024,1. SNL,Slovenia,Olimpija Ljubljana,2,0,Primorje,Match Finished
2024-07-29T18:15:00+00:00,2024,1. SNL,Slovenia,Bravo,4,0,Primorje,Match Finished
2024-07-28T18:15:00+00:00,2024,1. SNL,Slovenia,Koper,0,1,Olimpija Ljubljana,Match Finished
2024-07-26T18:15:00+00:00,2024,1. SNL,Slovenia,Nafta,2,1,Radomlje,Match Finished
2024-07-27T18:15:00+00:00,2024,1. SNL,Slovenia,NK Domzale,1,2,Mura,Match Finished
2024-07-28T15:30:00+00:00,2024,1. SNL,Slovenia,Celje,,,Maribor,Match Postponed
2024-08-04T18:15:00+00:00,2024,1. SNL,Slovenia,Maribor,1,1,Bravo,Match Finished
2024-08-03T18:15:00+00:00,2024,1. SNL,Slovenia,Mura,1,0,Celje,Match Finished
2024-08-02T18:15:00+00:00,2024,1. SNL,Slovenia,Radomlje,1,0,NK Domzale,Match Finished
2024-08-05T18:15:00+00:00,2024,1. SNL,Slovenia,Olimpija Ljubljana,2,0,Nafta,Match Finished
2024-08-03T15:30:00+00:00,2024,1. SNL,Slovenia,Primorje,0,2,Koper,Match Finished
2024-08-12T18:15:00+00:00,2024,1. SNL,Slovenia,Bravo,1,0,Koper,Match Finished
2024-08-10T18:15:00+00:00,2024,1. SNL,Slovenia,Nafta,0,3,Primorje,Match Finished
2024-08-11T15:30:00+00:00,2024,1. SNL,Slovenia,NK Domzale,0,0,Olimpija Ljubljana,Match Finished
2024-08-11T15:30:00+00:00,2024,1. SNL,Slovenia,Celje,4,2,Radomlje,Match Finished
2024-08-11T18:15:00+00:00,2024,1. SNL,Slovenia,Maribor,2,1,Mura,Match Finished
2024-08-17T15:30:00+00:00,2024,1. SNL,Slovenia,Mura,,,Bravo,Not Started
2024-08-18T15:30:00+00:00,2024,1. SNL,Slovenia,Radomlje,,,Maribor,Not Started
2024-08-18T18:15:00+00:00,2024,1. SNL,Slovenia,Olimpija Ljubljana,,,Celje,Not Started
2024-08-16T18:15:00+00:00,2024,1. SNL,Slovenia,Primorje,,,NK Domzale,Not Started
2024-08-17T18:15:00+00:00,2024,1. SNL,Slovenia,Koper,,,Nafta,Not Started
2024-08-26T15:30:00+00:00,2024,1. SNL,Slovenia,Bravo,,,Nafta,Not Started
2024-08-24T18:15:00+00:00,2024,1. SNL,Slovenia,NK Domzale,,,Koper,Not Started
2024-08-25T18:15:00+00:00,2024,1. SNL,Slovenia,Celje,,,Primorje,Not Started
2024-08-25T15:30:00+00:00,2024,1. SNL,Slovenia,Maribor,,,Olimpija Ljubljana,Not Started
2024-08-24T15:30:00+00:00,2024,1. SNL,Slovenia,Mura,,,Radomlje,Not Started
2024-08-31T00:00:00+00:00,2024,1. SNL,Slovenia,Radomlje,,,Bravo,Time to be defined
2024-08-31T00:00:00+00:00,2024,1. SNL,Slovenia,Olimpija Ljubljana,,,Mura,Time to be defined
2024-08-31T00:00:00+00:00,2024,1. SNL,Slovenia,Primorje,,,Maribor,Time to be defined
2024-08-31T00:00:00+00:00,2024,1. SNL,Slovenia,Koper,,,Celje,Time to be defined
2024-08-31T00:00:00+00:00,2024,1. SNL,Slovenia,Nafta,,,NK Domzale,Time to be defined
2024-09-14T00:00:00+00:00,2024,1. SNL,Slovenia,Bravo,,,NK Domzale,Time to be defined
