date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-02T18:30:00+00:00,2024,2. Bundesliga,Germany,1.FC Köln,1,2,Hamburger SV,Match Finished
2024-08-04T11:30:00+00:00,2024,2. Bundesliga,Germany,SV Darmstadt 98,0,2,Fortuna Dusseldorf,Match Finished
2024-08-03T11:00:00+00:00,2024,2. Bundesliga,Germany,Karlsruher SC,3,2,FC Nurnberg,Match Finished
2024-08-03T11:00:00+00:00,2024,2. Bundesliga,Germany,Hannover 96,2,0,Jahn Regensburg,Match Finished
2024-08-04T11:30:00+00:00,2024,2. Bundesliga,Germany,SpVgg Greuther Furth,3,1,Preussen Munster,Match Finished
2024-08-03T11:00:00+00:00,2024,2. Bundesliga,Germany,Hertha Berlin,1,2,SC Paderborn 07,Match Finished
2024-08-03T18:30:00+00:00,2024,2. Bundesliga,Germany,FC Schalke 04,5,1,Eintracht Braunschweig,Match Finished
2024-08-03T11:00:00+00:00,2024,2. Bundesliga,Germany,FC Magdeburg,0,0,SV Elversberg,Match Finished
2024-08-04T11:30:00+00:00,2024,2. Bundesliga,Germany,SSV ULM 1846,1,2,FC Kaiserslautern,Match Finished
2024-08-10T11:00:00+00:00,2024,2. Bundesliga,Germany,Fortuna Dusseldorf,0,0,Karlsruher SC,Match Finished
2024-08-10T18:30:00+00:00,2024,2. Bundesliga,Germany,Hamburger SV,1,1,Hertha Berlin,Match Finished
2024-08-11T11:30:00+00:00,2024,2. Bundesliga,Germany,SC Paderborn 07,3,1,SV Darmstadt 98,Match Finished
2024-08-10T11:00:00+00:00,2024,2. Bundesliga,Germany,SV Elversberg,2,2,1.FC Köln,Match Finished
2024-08-10T11:00:00+00:00,2024,2. Bundesliga,Germany,FC Nurnberg,3,1,FC Schalke 04,Match Finished
2024-08-09T16:30:00+00:00,2024,2. Bundesliga,Germany,FC Kaiserslautern,2,2,SpVgg Greuther Furth,Match Finished
2024-08-11T11:30:00+00:00,2024,2. Bundesliga,Germany,Eintracht Braunschweig,1,3,FC Magdeburg,Match Finished
2024-08-11T11:30:00+00:00,2024,2. Bundesliga,Germany,Preussen Munster,0,0,Hannover 96,Match Finished
2024-08-09T16:30:00+00:00,2024,2. Bundesliga,Germany,Jahn Regensburg,1,0,SSV ULM 1846,Match Finished
2024-08-24T18:30:00+00:00,2024,2. Bundesliga,Germany,1.FC Köln,,,Eintracht Braunschweig,Not Started
2024-08-25T11:30:00+00:00,2024,2. Bundesliga,Germany,SV Darmstadt 98,,,FC Nurnberg,Not Started
2024-08-23T16:30:00+00:00,2024,2. Bundesliga,Germany,Karlsruher SC,,,SV Elversberg,Not Started
2024-08-23T16:30:00+00:00,2024,2. Bundesliga,Germany,Hannover 96,,,Hamburger SV,Not Started
