date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-02T16:00:00+00:00,2024,2. Liga,Austria,FC Liefering,0,1,First Vienna,Match Finished
2024-08-02T16:00:00+00:00,2024,2. Liga,Austria,Voitsberg,1,2,SKU Amstetten,Match Finished
2024-08-02T16:00:00+00:00,2024,2. Liga,Austria,Stripfing,0,1,Ried,Match Finished
2024-08-04T08:30:00+00:00,2024,2. Liga,Austria,Floridsdorfer AC,2,0,SKN ST. Polten,Match Finished
2024-08-02T16:00:00+00:00,2024,2. Liga,Austria,SV Horn,2,3,Rapid Wien II,Match Finished
2024-08-03T12:30:00+00:00,2024,2. Liga,Austria,Austria Lustenau,0,0,SV Lafnitz,Match Finished
2024-08-02T16:00:00+00:00,2024,2. Liga,Austria,Admira Wacker,0,1,SV Kapfenberg,Match Finished
2024-08-03T18:00:00+00:00,2024,2. Liga,Austria,Sturm Graz II,0,0,Schwarz-Weiß Bregenz,Match Finished
2024-08-09T16:00:00+00:00,2024,2. Liga,Austria,SKU Amstetten,1,0,Stripfing,Match Finished
2024-08-09T16:00:00+00:00,2024,2. Liga,Austria,SV Lafnitz,4,5,FC Liefering,Match Finished
2024-08-10T12:30:00+00:00,2024,2. Liga,Austria,Schwarz-Weiß Bregenz,2,1,Voitsberg,Match Finished
2024-08-09T16:00:00+00:00,2024,2. Liga,Austria,SV Kapfenberg,3,1,Floridsdorfer AC,Match Finished
2024-08-10T18:00:00+00:00,2024,2. Liga,Austria,Rapid Wien II,4,2,Sturm Graz II,Match Finished
2024-08-09T16:00:00+00:00,2024,2. Liga,Austria,Ried,4,0,SV Horn,Match Finished
2024-08-09T18:30:00+00:00,2024,2. Liga,Austria,SKN ST. Polten,0,0,Austria Lustenau,Match Finished
2024-08-11T08:30:00+00:00,2024,2. Liga,Austria,First Vienna,0,2,Admira Wacker,Match Finished
2024-08-16T16:00:00+00:00,2024,2. Liga,Austria,FC Liefering,,,Schwarz-Weiß Bregenz,Not Started
2024-08-16T16:00:00+00:00,2024,2. Liga,Austria,Voitsberg,,,SV Horn,Not Started
2024-08-16T16:00:00+00:00,2024,2. Liga,Austria,Stripfing,,,First Vienna,Not Started
2024-08-16T16:00:00+00:00,2024,2. Liga,Austria,Floridsdorfer AC,,,Ried,Not Started
2024-08-16T16:00:00+00:00,2024,2. Liga,Austria,Austria Lustenau,,,Rapid Wien II,Not Started
2024-08-18T08:30:00+00:00,2024,2. Liga,Austria,SKN ST. Polten,,,SKU Amstetten,Not Started
2024-08-16T18:30:00+00:00,2024,2. Liga,Austria,Admira Wacker,,,SV Lafnitz,Not Started
2024-08-17T18:00:00+00:00,2024,2. Liga,Austria,Sturm Graz II,,,SV Kapfenberg,Not Started
2024-08-23T16:00:00+00:00,2024,2. Liga,Austria,SKU Amstetten,,,Sturm Graz II,Not Started
2024-08-23T16:00:00+00:00,2024,2. Liga,Austria,SV Lafnitz,,,Stripfing,Not Started
2024-08-23T16:00:00+00:00,2024,2. Liga,Austria,Schwarz-Weiß Bregenz,,,Admira Wacker,Not Started
2024-08-24T18:00:00+00:00,2024,2. Liga,Austria,Rapid Wien II,,,Voitsberg,Not Started
2024-08-23T16:00:00+00:00,2024,2. Liga,Austria,SV Horn,,,Austria Lustenau,Not Started
2024-08-23T16:00:00+00:00,2024,2. Liga,Austria,SV Kapfenberg,,,SKN ST. Polten,Not Started
2024-08-24T12:30:00+00:00,2024,2. Liga,Austria,Ried,,,FC Liefering,Not Started
2024-08-23T18:30:00+00:00,2024,2. Liga,Austria,First Vienna,,,Floridsdorfer AC,Not Started
2024-08-30T16:00:00+00:00,2024,2. Liga,Austria,FC Liefering,,,Sturm Graz II,Not Started
2024-09-01T08:30:00+00:00,2024,2. Liga,Austria,Voitsberg,,,SV Kapfenberg,Not Started
2024-08-30T16:00:00+00:00,2024,2. Liga,Austria,SKU Amstetten,,,Schwarz-Weiß Bregenz,Not Started
2024-08-31T12:30:00+00:00,2024,2. Liga,Austria,Stripfing,,,SV Horn,Not Started
2024-08-31T12:30:00+00:00,2024,2. Liga,Austria,SV Lafnitz,,,Ried,Not Started
2024-08-30T16:00:00+00:00,2024,2. Liga,Austria,Austria Lustenau,,,Floridsdorfer AC,Not Started
2024-08-30T16:00:00+00:00,2024,2. Liga,Austria,Admira Wacker,,,Rapid Wien II,Not Started
2024-08-30T18:30:00+00:00,2024,2. Liga,Austria,First Vienna,,,SKN ST. Polten,Not Started
2024-09-14T12:30:00+00:00,2024,2. Liga,Austria,Schwarz-Weiß Bregenz,,,SV Lafnitz,Not Started
2024-09-14T00:00:00+00:00,2024,2. Liga,Austria,Rapid Wien II,,,SKU Amstetten,Time to be defined
2024-09-15T08:30:00+00:00,2024,2. Liga,Austria,SV Horn,,,First Vienna,Not Started
2024-09-14T12:30:00+00:00,2024,2. Liga,Austria,Floridsdorfer AC,,,FC Liefering,Not Started
2024-09-14T00:00:00+00:00,2024,2. Liga,Austria,SV Kapfenberg,,,Austria Lustenau,Time to be defined
2024-09-14T00:00:00+00:00,2024,2. Liga,Austria,Ried,,,Voitsberg,Time to be defined
2024-09-14T00:00:00+00:00,2024,2. Liga,Austria,SKN ST. Polten,,,Admira Wacker,Time to be defined
2024-09-14T18:00:00+00:00,2024,2. Liga,Austria,Sturm Graz II,,,Stripfing,Not Started
2024-09-22T10:30:00+00:00,2024,2. Liga,Austria,FC Liefering,,,SV Horn,Not Started
2024-09-21T00:00:00+00:00,2024,2. Liga,Austria,Voitsberg,,,SKN ST. Polten,Time to be defined
2024-09-22T08:30:00+00:00,2024,2. Liga,Austria,SKU Amstetten,,,Ried,Not Started
2024-09-21T00:00:00+00:00,2024,2. Liga,Austria,Stripfing,,,Schwarz-Weiß Bregenz,Time to be defined
2024-09-21T00:00:00+00:00,2024,2. Liga,Austria,SV Lafnitz,,,SV Kapfenberg,Time to be defined
2024-09-21T12:30:00+00:00,2024,2. Liga,Austria,Austria Lustenau,,,Sturm Graz II,Not Started
2024-09-21T00:00:00+00:00,2024,2. Liga,Austria,Admira Wacker,,,Floridsdorfer AC,Time to be defined
2024-09-21T00:00:00+00:00,2024,2. Liga,Austria,First Vienna,,,Rapid Wien II,Time to be defined
2024-09-27T16:00:00+00:00,2024,2. Liga,Austria,Schwarz-Weiß Bregenz,,,First Vienna,Not Started
2024-09-27T16:00:00+00:00,2024,2. Liga,Austria,SV Horn,,,SKU Amstetten,Not Started
2024-09-29T08:30:00+00:00,2024,2. Liga,Austria,Floridsdorfer AC,,,SV Lafnitz,Not Started
2024-09-27T16:00:00+00:00,2024,2. Liga,Austria,SV Kapfenberg,,,FC Liefering,Not Started
2024-09-28T00:00:00+00:00,2024,2. Liga,Austria,Ried,,,Rapid Wien II,Time to be defined
2024-09-28T12:30:00+00:00,2024,2. Liga,Austria,SKN ST. Polten,,,Stripfing,Not Started
2024-09-27T16:00:00+00:00,2024,2. Liga,Austria,Admira Wacker,,,Austria Lustenau,Not Started
2024-09-28T18:00:00+00:00,2024,2. Liga,Austria,Sturm Graz II,,,Voitsberg,Not Started
2024-10-06T10:30:00+00:00,2024,2. Liga,Austria,FC Liefering,,,Austria Lustenau,Not Started
2024-10-04T16:00:00+00:00,2024,2. Liga,Austria,Voitsberg,,,SV Lafnitz,Not Started
2024-10-04T16:00:00+00:00,2024,2. Liga,Austria,SKU Amstetten,,,SV Kapfenberg,Not Started
2024-10-04T16:00:00+00:00,2024,2. Liga,Austria,Stripfing,,,Admira Wacker,Not Started
2024-10-04T16:00:00+00:00,2024,2. Liga,Austria,Schwarz-Weiß Bregenz,,,SV Horn,Not Started
2024-10-05T12:30:00+00:00,2024,2. Liga,Austria,Rapid Wien II,,,Floridsdorfer AC,Not Started
2024-10-04T16:00:00+00:00,2024,2. Liga,Austria,Ried,,,SKN ST. Polten,Not Started
2024-10-04T16:00:00+00:00,2024,2. Liga,Austria,First Vienna,,,Sturm Graz II,Not Started
2024-10-18T16:00:00+00:00,2024,2. Liga,Austria,Stripfing,,,Voitsberg,Not Started
2024-10-18T16:00:00+00:00,2024,2. Liga,Austria,SV Lafnitz,,,First Vienna,Not Started
2024-10-18T16:00:00+00:00,2024,2. Liga,Austria,SV Horn,,,Sturm Graz II,Not Started
2024-10-18T16:00:00+00:00,2024,2. Liga,Austria,Floridsdorfer AC,,,Schwarz-Weiß Bregenz,Not Started
2024-10-18T16:00:00+00:00,2024,2. Liga,Austria,Austria Lustenau,,,Ried,Not Started
2024-10-18T16:00:00+00:00,2024,2. Liga,Austria,SV Kapfenberg,,,Rapid Wien II,Not Started
2024-10-18T16:00:00+00:00,2024,2. Liga,Austria,SKN ST. Polten,,,FC Liefering,Not Started
2024-10-18T16:00:00+00:00,2024,2. Liga,Austria,Admira Wacker,,,SKU Amstetten,Not Started
2024-10-26T12:30:00+00:00,2024,2. Liga,Austria,FC Liefering,,,Stripfing,Not Started
2024-10-25T16:00:00+00:00,2024,2. Liga,Austria,SKU Amstetten,,,Floridsdorfer AC,Not Started
2024-10-25T16:00:00+00:00,2024,2. Liga,Austria,Schwarz-Weiß Bregenz,,,Austria Lustenau,Not Started
2024-10-26T12:30:00+00:00,2024,2. Liga,Austria,Rapid Wien II,,,SV Lafnitz,Not Started
