date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-02T18:30:00+00:00,2024,Bundesliga,Austria,Grazer AK,2,3,Red Bull Salzburg,Match Finished
2024-08-03T15:00:00+00:00,2024,Bundesliga,Austria,SCR Altach,1,2,WSG Wattens,Match Finished
2024-08-03T15:00:00+00:00,2024,Bundesliga,Austria,TSV Hartberg,1,2,Lask Linz,Match Finished
2024-08-03T17:30:00+00:00,2024,Bundesliga,Austria,Wolfsberger AC,4,1,Austria Klagenfurt,Match Finished
2024-08-04T15:00:00+00:00,2024,Bundesliga,Austria,Rapid Vienna,1,0,Sturm Graz,Match Finished
2024-08-04T15:00:00+00:00,2024,Bundesliga,Austria,FC BW Linz,1,0,Austria Vienna,Match Finished
2024-08-10T15:00:00+00:00,2024,Bundesliga,Austria,Lask Linz,1,2,SCR Altach,Match Finished
2024-08-10T15:00:00+00:00,2024,Bundesliga,Austria,WSG Wattens,0,0,Grazer AK,Match Finished
2024-08-10T17:30:00+00:00,2024,Bundesliga,Austria,Red Bull Salzburg,5,1,FC BW Linz,Match Finished
2024-08-11T15:00:00+00:00,2024,Bundesliga,Austria,Austria Vienna,3,1,Wolfsberger AC,Match Finished
2024-08-11T15:00:00+00:00,2024,Bundesliga,Austria,Sturm Graz,2,0,TSV Hartberg,Match Finished
2024-08-11T15:00:00+00:00,2024,Bundesliga,Austria,Austria Klagenfurt,1,1,Rapid Vienna,Match Finished
2024-08-17T15:00:00+00:00,2024,Bundesliga,Austria,Grazer AK,,,FC BW Linz,Not Started
2024-08-17T15:00:00+00:00,2024,Bundesliga,Austria,Austria Klagenfurt,,,Sturm Graz,Not Started
2024-08-17T17:30:00+00:00,2024,Bundesliga,Austria,Lask Linz,,,Red Bull Salzburg,Not Started
2024-08-18T15:00:00+00:00,2024,Bundesliga,Austria,Rapid Vienna,,,WSG Wattens,Not Started
2024-08-18T15:00:00+00:00,2024,Bundesliga,Austria,SCR Altach,,,Wolfsberger AC,Not Started
2024-08-18T15:00:00+00:00,2024,Bundesliga,Austria,TSV Hartberg,,,Austria Vienna,Not Started
2024-08-24T15:00:00+00:00,2024,Bundesliga,Austria,Red Bull Salzburg,,,TSV Hartberg,Not Started
2024-08-24T15:00:00+00:00,2024,Bundesliga,Austria,WSG Wattens,,,Austria Klagenfurt,Not Started
2024-08-24T17:30:00+00:00,2024,Bundesliga,Austria,Sturm Graz,,,SCR Altach,Not Started
2024-08-25T15:00:00+00:00,2024,Bundesliga,Austria,Wolfsberger AC,,,Grazer AK,Not Started
2024-08-25T15:00:00+00:00,2024,Bundesliga,Austria,Austria Vienna,,,Lask Linz,Not Started
2024-08-25T15:00:00+00:00,2024,Bundesliga,Austria,FC BW Linz,,,Rapid Vienna,Not Started
2024-08-31T15:00:00+00:00,2024,Bundesliga,Austria,Austria Klagenfurt,,,FC BW Linz,Not Started
2024-08-31T15:00:00+00:00,2024,Bundesliga,Austria,TSV Hartberg,,,Grazer AK,Not Started
2024-08-31T17:30:00+00:00,2024,Bundesliga,Austria,Sturm Graz,,,WSG Wattens,Not Started
2024-09-01T15:00:00+00:00,2024,Bundesliga,Austria,Lask Linz,,,Wolfsberger AC,Not Started
2024-09-01T15:00:00+00:00,2024,Bundesliga,Austria,Rapid Vienna,,,Red Bull Salzburg,Not Started
2024-09-01T15:00:00+00:00,2024,Bundesliga,Austria,SCR Altach,,,Austria Vienna,Not Started
2024-09-14T00:00:00+00:00,2024,Bundesliga,Austria,Red Bull Salzburg,,,Austria Klagenfurt,Time to be defined
2024-09-14T00:00:00+00:00,2024,Bundesliga,Austria,Wolfsberger AC,,,Rapid Vienna,Time to be defined
2024-09-14T00:00:00+00:00,2024,Bundesliga,Austria,Austria Vienna,,,Sturm Graz,Time to be defined
2024-09-14T00:00:00+00:00,2024,Bundesliga,Austria,FC BW Linz,,,Lask Linz,Time to be defined
2024-09-14T00:00:00+00:00,2024,Bundesliga,Austria,Grazer AK,,,SCR Altach,Time to be defined
2024-09-14T00:00:00+00:00,2024,Bundesliga,Austria,TSV Hartberg,,,WSG Wattens,Time to be defined
2024-09-21T00:00:00+00:00,2024,Bundesliga,Austria,Lask Linz,,,Grazer AK,Time to be defined
