date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-23T18:30:00+00:00,2024,Bundesliga,Germany,Borussia Monchengladbach,,,Bayer Leverkusen,Not Started
2024-08-24T13:30:00+00:00,2024,Bundesliga,Germany,RB Leipzig,,,Vfl Bochum,Not Started
2024-08-24T16:30:00+00:00,2024,Bundesliga,Germany,Borussia Dortmund,,,Eintracht Frankfurt,Not Started
2024-08-24T13:30:00+00:00,2024,Bundesliga,Germany,1899 Hoffenheim,,,Holstein Kiel,Not Started
2024-08-24T13:30:00+00:00,2024,Bundesliga,Germany,SC Freiburg,,,VfB Stuttgart,Not Started
2024-08-24T13:30:00+00:00,2024,Bundesliga,Germany,FC Augsburg,,,Werder Bremen,Not Started
2024-08-25T13:30:00+00:00,2024,Bundesliga,Germany,VfL Wolfsburg,,,Bayern Munich,Not Started
2024-08-24T13:30:00+00:00,2024,Bundesliga,Germany,FSV Mainz 05,,,Union Berlin,Not Started
2024-08-25T15:30:00+00:00,2024,Bundesliga,Germany,FC St. Pauli,,,FC Heidenheim,Not Started
2024-08-31T16:30:00+00:00,2024,Bundesliga,Germany,Bayer Leverkusen,,,RB Leipzig,Not Started
2024-08-31T13:30:00+00:00,2024,Bundesliga,Germany,VfB Stuttgart,,,FSV Mainz 05,Not Started
2024-09-01T15:30:00+00:00,2024,Bundesliga,Germany,Bayern Munich,,,SC Freiburg,Not Started
2024-08-31T13:30:00+00:00,2024,Bundesliga,Germany,Eintracht Frankfurt,,,1899 Hoffenheim,Not Started
2024-09-01T13:30:00+00:00,2024,Bundesliga,Germany,FC Heidenheim,,,FC Augsburg,Not Started
2024-08-31T13:30:00+00:00,2024,Bundesliga,Germany,Werder Bremen,,,Borussia Dortmund,Not Started
2024-08-30T18:30:00+00:00,2024,Bundesliga,Germany,Union Berlin,,,FC St. Pauli,Not Started
2024-08-31T13:30:00+00:00,2024,Bundesliga,Germany,Vfl Bochum,,,Borussia Monchengladbach,Not Started
2024-08-31T13:30:00+00:00,2024,Bundesliga,Germany,Holstein Kiel,,,VfL Wolfsburg,Not Started
2024-09-14T13:30:00+00:00,2024,Bundesliga,Germany,RB Leipzig,,,Union Berlin,Not Started
