date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-19T17:30:00+00:00,2024,Challenge League,Switzerland,Neuchatel Xamax FC,3,2,Stade Lausanne-Ouchy,Match Finished
2024-07-19T17:30:00+00:00,2024,Challenge League,Switzerland,FC Schaffhausen,2,3,Étoile Carouge,Match Finished
2024-07-19T18:15:00+00:00,2024,Challenge League,Switzerland,FC Aarau,1,3,FC Thun,Match Finished
2024-07-20T16:00:00+00:00,2024,Challenge League,Switzerland,Bellinzona,2,1,FC WIL 1900,Match Finished
2024-07-21T12:15:00+00:00,2024,Challenge League,Switzerland,FC Vaduz,0,0,Stade Nyonnais,Match Finished
2024-07-26T17:30:00+00:00,2024,Challenge League,Switzerland,Stade Lausanne-Ouchy,0,1,FC Schaffhausen,Match Finished
2024-07-26T17:30:00+00:00,2024,Challenge League,Switzerland,Stade Nyonnais,2,1,Bellinzona,Match Finished
2024-07-26T18:15:00+00:00,2024,Challenge League,Switzerland,Étoile Carouge,3,1,Neuchatel Xamax FC,Match Finished
2024-07-26T18:15:00+00:00,2024,Challenge League,Switzerland,FC WIL 1900,2,2,FC Aarau,Match Finished
2024-07-28T14:30:00+00:00,2024,Challenge League,Switzerland,FC Thun,2,0,FC Vaduz,Match Finished
2024-08-02T17:30:00+00:00,2024,Challenge League,Switzerland,Stade Nyonnais,0,3,FC Schaffhausen,Match Finished
2024-08-02T18:15:00+00:00,2024,Challenge League,Switzerland,FC Thun,1,1,Stade Lausanne-Ouchy,Match Finished
2024-08-03T16:00:00+00:00,2024,Challenge League,Switzerland,FC Aarau,1,3,Neuchatel Xamax FC,Match Finished
2024-08-03T16:00:00+00:00,2024,Challenge League,Switzerland,Bellinzona,1,1,Étoile Carouge,Match Finished
2024-08-04T12:15:00+00:00,2024,Challenge League,Switzerland,FC Vaduz,3,2,FC WIL 1900,Match Finished
2024-08-09T17:30:00+00:00,2024,Challenge League,Switzerland,Stade Lausanne-Ouchy,1,1,FC Aarau,Match Finished
2024-08-09T18:15:00+00:00,2024,Challenge League,Switzerland,Étoile Carouge,0,2,FC Thun,Match Finished
