date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-04T19:00:00+00:00,2023,Championship,England,Sheffield Wednesday,1,2,Southampton,Match Finished
2023-08-05T14:00:00+00:00,2023,Championship,England,Blackburn,2,1,West Brom,Match Finished
2023-08-05T14:00:00+00:00,2023,Championship,England,Bristol City,1,1,Preston,Match Finished
2023-08-05T14:00:00+00:00,2023,Championship,England,Middlesbrough,0,1,Millwall,Match Finished
2023-08-05T14:00:00+00:00,2023,Championship,England,Norwich,2,1,Hull City,Match Finished
2023-08-05T14:00:00+00:00,2023,Championship,England,Plymouth,3,1,Huddersfield,Match Finished
2023-08-05T14:00:00+00:00,2023,Championship,England,Stoke City,4,1,Rotherham,Match Finished
2023-08-05T14:00:00+00:00,2023,Championship,England,Swansea,1,1,Birmingham,Match Finished
2023-08-05T14:00:00+00:00,2023,Championship,England,Watford,4,0,QPR,Match Finished
2023-08-06T11:00:00+00:00,2023,Championship,England,Leicester,2,1,Coventry,Match Finished
2023-08-06T13:30:00+00:00,2023,Championship,England,Leeds,2,2,Cardiff,Match Finished
2023-08-06T16:00:00+00:00,2023,Championship,England,Sunderland,1,2,Ipswich,Match Finished
2023-08-12T11:30:00+00:00,2023,Championship,England,Coventry,3,0,Middlesbrough,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,England,Birmingham,1,0,Leeds,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,England,Cardiff,1,2,QPR,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,England,Huddersfield,0,1,Leicester,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,England,Hull City,4,2,Sheffield Wednesday,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,England,Ipswich,2,0,Stoke City,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,England,Millwall,0,1,Bristol City,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,England,Preston,2,1,Sunderland,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,England,Rotherham,2,2,Blackburn,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,England,Southampton,4,4,Norwich,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,England,Watford,0,0,Plymouth,Match Finished
2023-08-12T14:00:00+00:00,2023,Championship,England,West Brom,3,2,Swansea,Match Finished
2023-08-18T19:00:00+00:00,2023,Championship,England,Leeds,1,1,West Brom,Match Finished
2023-08-19T11:30:00+00:00,2023,Championship,England,Plymouth,1,2,Southampton,Match Finished
2023-08-19T14:00:00+00:00,2023,Championship,England,Blackburn,1,2,Hull City,Match Finished
2023-08-19T14:00:00+00:00,2023,Championship,England,Bristol City,0,2,Birmingham,Match Finished
2023-08-19T14:00:00+00:00,2023,Championship,England,Leicester,2,1,Cardiff,Match Finished
2023-08-19T14:00:00+00:00,2023,Championship,England,Middlesbrough,1,1,Huddersfield,Match Finished
2023-08-19T14:00:00+00:00,2023,Championship,England,QPR,0,1,Ipswich,Match Finished
2023-08-19T14:00:00+00:00,2023,Championship,England,Sheffield Wednesday,0,1,Preston,Match Finished
2023-08-19T14:00:00+00:00,2023,Championship,England,Stoke City,1,0,Watford,Match Finished
2023-08-19T14:00:00+00:00,2023,Championship,England,Sunderland,2,1,Rotherham,Match Finished
2023-08-19T14:00:00+00:00,2023,Championship,England,Swansea,1,1,Coventry,Match Finished
2023-08-20T11:00:00+00:00,2023,Championship,England,Norwich,3,1,Millwall,Match Finished
2023-08-25T18:30:00+00:00,2023,Championship,England,Hull City,1,1,Bristol City,Match Finished
2023-08-26T14:00:00+00:00,2023,Championship,England,Birmingham,2,1,Plymouth,Match Finished
2023-08-26T14:00:00+00:00,2023,Championship,England,Cardiff,2,1,Sheffield Wednesday,Match Finished
2023-08-26T14:00:00+00:00,2023,Championship,England,Coventry,0,0,Sunderland,Match Finished
2023-08-26T14:00:00+00:00,2023,Championship,England,Huddersfield,0,4,Norwich,Match Finished
2023-08-26T14:00:00+00:00,2023,Championship,England,Ipswich,3,4,Leeds,Match Finished
2023-08-26T14:00:00+00:00,2023,Championship,England,Millwall,1,0,Stoke City,Match Finished
2023-08-26T14:00:00+00:00,2023,Championship,England,Preston,2,1,Swansea,Match Finished
2023-08-26T14:00:00+00:00,2023,Championship,England,Rotherham,1,2,Leicester,Match Finished
2023-08-26T14:00:00+00:00,2023,Championship,England,Southampton,2,1,QPR,Match Finished
2023-08-27T11:00:00+00:00,2023,Championship,England,Watford,0,1,Blackburn,Match Finished
2023-08-26T14:00:00+00:00,2023,Championship,England,West Brom,4,2,Middlesbrough,Match Finished
2023-09-02T11:30:00+00:00,2023,Championship,England,Birmingham,1,1,Millwall,Match Finished
2023-09-02T14:00:00+00:00,2023,Championship,England,Coventry,3,3,Watford,Match Finished
2023-09-02T14:00:00+00:00,2023,Championship,England,Ipswich,3,2,Cardiff,Match Finished
2023-09-02T14:00:00+00:00,2023,Championship,England,Leeds,0,0,Sheffield Wednesday,Match Finished
2023-09-02T14:00:00+00:00,2023,Championship,England,Leicester,0,1,Hull City,Match Finished
2023-09-02T14:00:00+00:00,2023,Championship,England,Middlesbrough,0,2,QPR,Match Finished
2023-09-02T14:00:00+00:00,2023,Championship,England,Plymouth,3,0,Blackburn,Match Finished
2023-09-02T14:00:00+00:00,2023,Championship,England,Rotherham,2,1,Norwich,Match Finished
2023-09-02T14:00:00+00:00,2023,Championship,England,Stoke City,0,2,Preston,Match Finished
