date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-02T18:45:00+00:00,2024,Championship,Scotland,Falkirk,2,1,Queen's Park,Match Finished
2024-08-03T14:00:00+00:00,2024,Championship,Scotland,Airdrie United,1,0,Raith Rovers,Match Finished
2024-08-03T14:00:00+00:00,2024,Championship,Scotland,Hamilton Academical,0,2,Ayr Utd,Match Finished
2024-08-03T14:00:00+00:00,2024,Championship,Scotland,Livingston,2,0,Dunfermline,Match Finished
2024-08-03T14:00:00+00:00,2024,Championship,Scotland,Partick,0,0,Morton,Match Finished
2024-08-09T18:45:00+00:00,2024,Championship,Scotland,Ayr Utd,5,0,Airdrie United,Match Finished
2024-08-10T14:00:00+00:00,2024,Championship,Scotland,Dunfermline,0,2,Falkirk,Match Finished
2024-08-10T14:00:00+00:00,2024,Championship,Scotland,Morton,0,0,Hamilton Academical,Match Finished
2024-08-09T18:45:00+00:00,2024,Championship,Scotland,Queen's Park,1,1,Livingston,Match Finished
2024-08-10T14:00:00+00:00,2024,Championship,Scotland,Raith Rovers,1,0,Partick,Match Finished
2024-08-24T14:00:00+00:00,2024,Championship,Scotland,Airdrie United,,,Queen's Park,Not Started
2024-08-24T14:00:00+00:00,2024,Championship,Scotland,Ayr Utd,,,Raith Rovers,Not Started
2024-08-24T14:00:00+00:00,2024,Championship,Scotland,Falkirk,,,Partick,Not Started
2024-08-24T14:00:00+00:00,2024,Championship,Scotland,Hamilton Academical,,,Dunfermline,Not Started
2024-08-24T14:00:00+00:00,2024,Championship,Scotland,Livingston,,,Morton,Not Started
2024-08-31T14:00:00+00:00,2024,Championship,Scotland,Dunfermline,,,Ayr Utd,Not Started
2024-08-31T14:00:00+00:00,2024,Championship,Scotland,Morton,,,Falkirk,Not Started
2024-08-31T14:00:00+00:00,2024,Championship,Scotland,Hamilton Academical,,,Airdrie United,Not Started
2024-08-31T14:00:00+00:00,2024,Championship,Scotland,Partick,,,Queen's Park,Not Started
2024-08-31T14:00:00+00:00,2024,Championship,Scotland,Raith Rovers,,,Livingston,Not Started
2024-09-14T14:00:00+00:00,2024,Championship,Scotland,Airdrie United,,,Falkirk,Not Started
2024-09-14T14:00:00+00:00,2024,Championship,Scotland,Ayr Utd,,,Partick,Not Started
2024-09-14T14:00:00+00:00,2024,Championship,Scotland,Dunfermline,,,Raith Rovers,Not Started
2024-09-14T14:00:00+00:00,2024,Championship,Scotland,Livingston,,,Hamilton Academical,Not Started
2024-09-14T14:00:00+00:00,2024,Championship,Scotland,Queen's Park,,,Morton,Not Started
2024-09-21T14:00:00+00:00,2024,Championship,Scotland,Falkirk,,,Livingston,Not Started
2024-09-21T14:00:00+00:00,2024,Championship,Scotland,Morton,,,Airdrie United,Not Started
2024-09-21T14:00:00+00:00,2024,Championship,Scotland,Partick,,,Dunfermline,Not Started
2024-09-21T14:00:00+00:00,2024,Championship,Scotland,Queen's Park,,,Ayr Utd,Not Started
2024-09-21T14:00:00+00:00,2024,Championship,Scotland,Raith Rovers,,,Hamilton Academical,Not Started
