date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-21T12:30:00+00:00,2024,Czech Liga,Czech-Republic,Karviná,1,3,Slovan Liberec,Match Finished
2024-07-20T15:00:00+00:00,2024,Czech Liga,Czech-Republic,České Budějovice,0,2,Sigma Olomouc,Match Finished
2024-07-21T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Slovácko,0,0,Slavia Praha,Match Finished
2024-07-21T18:00:00+00:00,2024,Czech Liga,Czech-Republic,Hradec Králové,1,0,Teplice,Match Finished
2024-07-20T12:30:00+00:00,2024,Czech Liga,Czech-Republic,FK Jablonec,2,0,Mlada Boleslav,Match Finished
2024-07-19T17:00:00+00:00,2024,Czech Liga,Czech-Republic,Sparta Praha,2,1,Pardubice,Match Finished
2024-07-20T18:00:00+00:00,2024,Czech Liga,Czech-Republic,Dukla Praha,1,3,Plzen,Match Finished
2024-07-20T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Bohemians 1905,2,1,Baník Ostrava,Match Finished
2024-07-28T12:30:00+00:00,2024,Czech Liga,Czech-Republic,Slovan Liberec,1,1,Sigma Olomouc,Match Finished
2024-07-27T18:00:00+00:00,2024,Czech Liga,Czech-Republic,Slavia Praha,4,0,České Budějovice,Match Finished
2024-07-27T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Teplice,1,4,Sparta Praha,Match Finished
2024-07-28T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Mlada Boleslav,3,0,Slovácko,Match Finished
2024-07-27T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Pardubice,0,1,Karviná,Match Finished
2024-07-28T18:00:00+00:00,2024,Czech Liga,Czech-Republic,Plzen,1,0,Hradec Králové,Match Finished
2024-07-28T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Baník Ostrava,1,0,FK Jablonec,Match Finished
2024-07-27T12:30:00+00:00,2024,Czech Liga,Czech-Republic,Dukla Praha,1,0,Bohemians 1905,Match Finished
2024-08-02T15:30:00+00:00,2024,Czech Liga,Czech-Republic,Slovan Liberec,0,1,Slavia Praha,Match Finished
2024-08-03T18:00:00+00:00,2024,Czech Liga,Czech-Republic,Sigma Olomouc,2,1,Teplice,Match Finished
2024-08-02T18:00:00+00:00,2024,Czech Liga,Czech-Republic,Sparta Praha,2,0,Dukla Praha,Match Finished
2024-08-03T15:00:00+00:00,2024,Czech Liga,Czech-Republic,FK Jablonec,0,0,Plzen,Match Finished
2024-08-03T12:30:00+00:00,2024,Czech Liga,Czech-Republic,Slovácko,0,0,Bohemians 1905,Match Finished
2024-08-04T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Hradec Králové,2,1,Mlada Boleslav,Match Finished
2024-08-04T18:00:00+00:00,2024,Czech Liga,Czech-Republic,Karviná,,,Baník Ostrava,Match Postponed
2024-08-04T12:30:00+00:00,2024,Czech Liga,Czech-Republic,České Budějovice,1,3,Pardubice,Match Finished
2024-08-10T18:00:00+00:00,2024,Czech Liga,Czech-Republic,Slavia Praha,2,0,Sigma Olomouc,Match Finished
2024-08-10T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Teplice,2,1,Slovan Liberec,Match Finished
2024-08-11T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Mlada Boleslav,4,0,České Budějovice,Match Finished
2024-08-11T12:30:00+00:00,2024,Czech Liga,Czech-Republic,Pardubice,0,1,Slovácko,Match Finished
2024-08-11T18:00:00+00:00,2024,Czech Liga,Czech-Republic,Plzen,5,0,Karviná,Match Finished
2024-08-11T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Baník Ostrava,1,0,Hradec Králové,Match Finished
2024-08-10T12:30:00+00:00,2024,Czech Liga,Czech-Republic,Dukla Praha,0,2,FK Jablonec,Match Finished
2024-08-10T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Bohemians 1905,1,2,Sparta Praha,Match Finished
2024-08-18T12:30:00+00:00,2024,Czech Liga,Czech-Republic,Sigma Olomouc,,,Mlada Boleslav,Not Started
2024-08-18T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Slovan Liberec,,,Pardubice,Not Started
2024-08-17T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Slavia Praha,,,Teplice,Not Started
2024-08-17T18:00:00+00:00,2024,Czech Liga,Czech-Republic,FK Jablonec,,,Sparta Praha,Not Started
2024-08-18T18:00:00+00:00,2024,Czech Liga,Czech-Republic,Slovácko,,,Baník Ostrava,Not Started
2024-08-17T12:30:00+00:00,2024,Czech Liga,Czech-Republic,Hradec Králové,,,Dukla Praha,Not Started
2024-08-17T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Karviná,,,Bohemians 1905,Not Started
2024-08-18T15:00:00+00:00,2024,Czech Liga,Czech-Republic,České Budějovice,,,Plzen,Not Started
2024-08-24T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Teplice,,,Karviná,Not Started
2024-08-25T15:00:00+00:00,2024,Czech Liga,Czech-Republic,Mlada Boleslav,,,Slavia Praha,Not Started
