date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-21T16:10:00+00:00,2024,Division 1,Saudi-Arabia,Abha,,,Al Zulfi,Not Started
2024-08-20T16:20:00+00:00,2024,Division 1,Saudi-Arabia,Al-Faisaly FC,,,Al-Ain,Not Started
2024-08-21T16:10:00+00:00,2024,Division 1,Saudi-Arabia,Al-Hazm,,,Al Suqoor,Not Started
2024-08-21T17:50:00+00:00,2024,Division 1,Saudi-Arabia,Ohod,,,Al Arabi SC,Not Started
2024-08-20T16:20:00+00:00,2024,Division 1,Saudi-Arabia,Al Jabalain,,,Al Jandal,Not Started
2024-08-19T17:50:00+00:00,2024,Division 1,Saudi-Arabia,Al Baten,,,Jeddah Club,Not Started
2024-08-20T17:50:00+00:00,2024,Division 1,Saudi-Arabia,Al Jubail,,,Al Taee,Not Started
2024-08-19T16:15:00+00:00,2024,Division 1,Saudi-Arabia,Al Safa,,,Al Najma,Not Started
2024-08-19T15:50:00+00:00,2024,Division 1,Saudi-Arabia,Al-Adalah,,,Al Bukayriyah,Not Started
2024-08-25T15:45:00+00:00,2024,Division 1,Saudi-Arabia,Al Safa,,,Al-Ain,Not Started
2024-08-25T16:00:00+00:00,2024,Division 1,Saudi-Arabia,Al-Faisaly FC,,,Al-Adalah,Not Started
2024-08-25T17:50:00+00:00,2024,Division 1,Saudi-Arabia,Al Taee,,,Jeddah Club,Not Started
2024-08-26T16:05:00+00:00,2024,Division 1,Saudi-Arabia,Al Baten,,,Al-Hazm,Not Started
2024-08-26T16:05:00+00:00,2024,Division 1,Saudi-Arabia,Al Bukayriyah,,,Al Jubail,Not Started
2024-08-26T17:50:00+00:00,2024,Division 1,Saudi-Arabia,Al Zulfi,,,Al Najma,Not Started
2024-08-27T16:10:00+00:00,2024,Division 1,Saudi-Arabia,Al Arabi SC,,,Abha,Not Started
2024-08-27T16:25:00+00:00,2024,Division 1,Saudi-Arabia,Ohod,,,Al Jabalain,Not Started
2024-08-27T17:50:00+00:00,2024,Division 1,Saudi-Arabia,Al Suqoor,,,Al Jandal,Not Started
2024-08-30T15:40:00+00:00,2024,Division 1,Saudi-Arabia,Al-Adalah,,,Al Safa,Not Started
2024-08-30T16:10:00+00:00,2024,Division 1,Saudi-Arabia,Al-Ain,,,Al Taee,Not Started
2024-08-31T16:05:00+00:00,2024,Division 1,Saudi-Arabia,Al-Hazm,,,Al-Faisaly FC,Not Started
2024-08-31T16:05:00+00:00,2024,Division 1,Saudi-Arabia,Al Najma,,,Al Baten,Not Started
2024-08-31T17:45:00+00:00,2024,Division 1,Saudi-Arabia,Jeddah Club,,,Al Zulfi,Not Started
2024-09-01T15:40:00+00:00,2024,Division 1,Saudi-Arabia,Al Jubail,,,Al Suqoor,Not Started
2024-09-01T16:05:00+00:00,2024,Division 1,Saudi-Arabia,Abha,,,Ohod,Not Started
2024-09-01T16:20:00+00:00,2024,Division 1,Saudi-Arabia,Al Jandal,,,Al Arabi SC,Not Started
2024-09-01T17:45:00+00:00,2024,Division 1,Saudi-Arabia,Al Jabalain,,,Al Bukayriyah,Not Started
2024-09-16T15:40:00+00:00,2024,Division 1,Saudi-Arabia,Al Zulfi,,,Al-Adalah,Not Started
2024-09-16T15:40:00+00:00,2024,Division 1,Saudi-Arabia,Al Bukayriyah,,,Abha,Not Started
2024-09-16T17:30:00+00:00,2024,Division 1,Saudi-Arabia,Al Arabi SC,,,Al Jabalain,Not Started
2024-09-17T15:40:00+00:00,2024,Division 1,Saudi-Arabia,Al-Faisaly FC,,,Al Jubail,Not Started
2024-09-17T15:55:00+00:00,2024,Division 1,Saudi-Arabia,Al Taee,,,Al-Hazm,Not Started
2024-09-17T17:30:00+00:00,2024,Division 1,Saudi-Arabia,Al Suqoor,,,Al-Ain,Not Started
2024-09-18T15:20:00+00:00,2024,Division 1,Saudi-Arabia,Al Safa,,,Al Najma,Not Started
2024-09-18T15:35:00+00:00,2024,Division 1,Saudi-Arabia,Al Baten,,,Jeddah Club,Not Started
2024-09-18T17:30:00+00:00,2024,Division 1,Saudi-Arabia,Ohod,,,Al Jandal,Not Started
2024-09-29T15:40:00+00:00,2024,Division 1,Saudi-Arabia,Al Taee,,,Ohod,Not Started
2024-09-29T15:40:00+00:00,2024,Division 1,Saudi-Arabia,Al-Ain,,,Al Bukayriyah,Not Started
2024-09-29T17:15:00+00:00,2024,Division 1,Saudi-Arabia,Al Jubail,,,Al Arabi SC,Not Started
2024-09-30T15:35:00+00:00,2024,Division 1,Saudi-Arabia,Al-Hazm,,,Al-Adalah,Not Started
