date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-09-14T13:35:00+00:00,2024,Division 1,United-Arab-Emirates,Al Thaid,,,Gulf United,Not Started
2024-09-14T13:35:00+00:00,2024,Division 1,United-Arab-Emirates,Al Dahra,,,Fleetwood United,Not Started
2024-09-14T13:45:00+00:00,2024,Division 1,United-Arab-Emirates,Gulf Heroes,,,Al-Dhafra,Not Started
2024-09-15T13:35:00+00:00,2024,Division 1,United-Arab-Emirates,Dibba Al-Fujairah,,,Al Hamriyah,Not Started
2024-09-15T13:35:00+00:00,2024,Division 1,United-Arab-Emirates,Masfut,,,Emirates Club,Not Started
2024-09-15T13:35:00+00:00,2024,Division 1,United-Arab-Emirates,Hatta SC,,,Al Fujairah SC,Not Started
2024-09-15T13:40:00+00:00,2024,Division 1,United-Arab-Emirates,Al Arabi,,,Dubai United,Not Started
2024-10-05T13:10:00+00:00,2024,Division 1,United-Arab-Emirates,Al Fujairah SC,,,Al Dahra,Not Started
2024-10-05T13:15:00+00:00,2024,Division 1,United-Arab-Emirates,Fleetwood United,,,Gulf Heroes,Not Started
2024-10-05T13:15:00+00:00,2024,Division 1,United-Arab-Emirates,Dubai United,,,Masfut,Not Started
2024-10-05T13:20:00+00:00,2024,Division 1,United-Arab-Emirates,Al-Dhafra,,,Al Arabi,Not Started
2024-10-06T13:10:00+00:00,2024,Division 1,United-Arab-Emirates,Emirates Club,,,Dibba Al-Fujairah,Not Started
2024-10-06T13:10:00+00:00,2024,Division 1,United-Arab-Emirates,Gulf United,,,Hatta SC,Not Started
2024-10-06T13:15:00+00:00,2024,Division 1,United-Arab-Emirates,Al Hamriyah,,,Al Thaid,Not Started
2024-10-20T13:00:00+00:00,2024,Division 1,United-Arab-Emirates,Gulf Heroes,,,Al Fujairah SC,Not Started
2024-10-20T13:00:00+00:00,2024,Division 1,United-Arab-Emirates,Dubai United,,,Emirates Club,Not Started
2024-10-20T13:00:00+00:00,2024,Division 1,United-Arab-Emirates,Al Arabi,,,Fleetwood United,Not Started
