date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-09T18:00:00+00:00,2024,Eerste Divisie,Netherlands,FC Eindhoven,2,0,Den Bosch,Match Finished
2024-08-09T18:00:00+00:00,2024,Eerste Divisie,Netherlands,Emmen,1,2,Dordrecht,Match Finished
2024-08-09T18:00:00+00:00,2024,Eerste Divisie,Netherlands,Helmond Sport,1,1,Jong Utrecht,Match Finished
2024-08-09T18:00:00+00:00,2024,Eerste Divisie,Netherlands,MVV,0,1,Cambuur,Match Finished
2024-08-09T18:00:00+00:00,2024,Eerste Divisie,Netherlands,FC OSS,3,1,Excelsior,Match Finished
2024-08-09T18:00:00+00:00,2024,Eerste Divisie,Netherlands,Vitesse,2,3,Telstar,Match Finished
2024-08-10T14:30:00+00:00,2024,Eerste Divisie,Netherlands,ADO Den Haag,1,1,VVV Venlo,Match Finished
2024-08-11T14:45:00+00:00,2024,Eerste Divisie,Netherlands,De Graafschap,4,3,FC Volendam,Match Finished
2024-08-12T18:00:00+00:00,2024,Eerste Divisie,Netherlands,Jong AZ,6,1,Roda,Match Finished
2024-08-12T18:00:00+00:00,2024,Eerste Divisie,Netherlands,Jong PSV,2,2,Jong Ajax,Match Finished
2024-08-16T18:00:00+00:00,2024,Eerste Divisie,Netherlands,Excelsior,,,De Graafschap,Not Started
2024-08-16T18:00:00+00:00,2024,Eerste Divisie,Netherlands,Den Bosch,,,Jong AZ,Not Started
2024-08-16T18:00:00+00:00,2024,Eerste Divisie,Netherlands,Jong Utrecht,,,Jong PSV,Not Started
2024-08-16T18:00:00+00:00,2024,Eerste Divisie,Netherlands,Roda,,,FC OSS,Not Started
2024-08-18T10:15:00+00:00,2024,Eerste Divisie,Netherlands,Cambuur,,,Helmond Sport,Not Started
2024-08-16T18:00:00+00:00,2024,Eerste Divisie,Netherlands,Telstar,,,FC Eindhoven,Not Started
2024-08-16T18:00:00+00:00,2024,Eerste Divisie,Netherlands,VVV Venlo,,,Vitesse,Not Started
2024-08-17T14:30:00+00:00,2024,Eerste Divisie,Netherlands,Dordrecht,,,ADO Den Haag,Not Started
2024-08-18T14:45:00+00:00,2024,Eerste Divisie,Netherlands,FC Volendam,,,Emmen,Not Started
2024-08-19T18:00:00+00:00,2024,Eerste Divisie,Netherlands,Jong Ajax,,,MVV,Not Started
2024-08-23T18:00:00+00:00,2024,Eerste Divisie,Netherlands,ADO Den Haag,,,FC Volendam,Not Started
2024-08-23T18:00:00+00:00,2024,Eerste Divisie,Netherlands,De Graafschap,,,Jong Utrecht,Not Started
2024-08-23T18:00:00+00:00,2024,Eerste Divisie,Netherlands,Den Bosch,,,MVV,Not Started
2024-08-23T18:00:00+00:00,2024,Eerste Divisie,Netherlands,Emmen,,,Helmond Sport,Not Started
2024-08-23T18:00:00+00:00,2024,Eerste Divisie,Netherlands,FC OSS,,,Cambuur,Not Started
2024-08-25T10:15:00+00:00,2024,Eerste Divisie,Netherlands,Vitesse,,,Excelsior,Not Started
2024-08-24T14:30:00+00:00,2024,Eerste Divisie,Netherlands,FC Eindhoven,,,Jong Ajax,Not Started
2024-08-25T14:45:00+00:00,2024,Eerste Divisie,Netherlands,VVV Venlo,,,Roda,Not Started
2024-08-26T18:00:00+00:00,2024,Eerste Divisie,Netherlands,Jong AZ,,,Dordrecht,Not Started
2024-08-26T18:00:00+00:00,2024,Eerste Divisie,Netherlands,Jong PSV,,,Telstar,Not Started
