date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-21T12:45:00+00:00,2024,Ekstraklasa,Poland,Cracovia Krakow,1,1,Piast Gliwice,Match Finished
2024-07-20T12:45:00+00:00,2024,Ekstraklasa,Poland,GKS Katowice,1,2,Radomiak Radom,Match Finished
2024-07-19T16:00:00+00:00,2024,Ekstraklasa,Poland,Jagiellonia,2,0,Puszcza Niepołomice,Match Finished
2024-07-21T15:30:00+00:00,2024,Ekstraklasa,Poland,Lech Poznan,2,0,Gornik Zabrze,Match Finished
2024-07-20T18:15:00+00:00,2024,Ekstraklasa,Poland,Legia Warszawa,2,0,Zaglebie Lubin,Match Finished
2024-07-21T18:15:00+00:00,2024,Ekstraklasa,Poland,Motor Lublin,0,2,Raków Częstochowa,Match Finished
2024-07-20T15:30:00+00:00,2024,Ekstraklasa,Poland,Pogon Szczecin,3,0,Korona Kielce,Match Finished
2024-07-22T17:00:00+00:00,2024,Ekstraklasa,Poland,Stal Mielec,1,1,Widzew Łódź,Match Finished
2024-07-19T18:30:00+00:00,2024,Ekstraklasa,Poland,Slask Wroclaw,1,1,Lechia Gdansk,Match Finished
2024-07-28T12:45:00+00:00,2024,Ekstraklasa,Poland,Zaglebie Lubin,2,2,Pogon Szczecin,Match Finished
2024-07-28T18:15:00+00:00,2024,Ekstraklasa,Poland,Korona Kielce,0,1,Legia Warszawa,Match Finished
2024-07-26T18:30:00+00:00,2024,Ekstraklasa,Poland,Lechia Gdansk,0,2,Motor Lublin,Match Finished
2024-07-28T15:30:00+00:00,2024,Ekstraklasa,Poland,Piast Gliwice,2,0,Slask Wroclaw,Match Finished
2024-07-26T16:00:00+00:00,2024,Ekstraklasa,Poland,Puszcza Niepołomice,2,2,Gornik Zabrze,Match Finished
2024-07-27T15:30:00+00:00,2024,Ekstraklasa,Poland,Radomiak Radom,2,3,Jagiellonia,Match Finished
2024-07-29T17:00:00+00:00,2024,Ekstraklasa,Poland,Raków Częstochowa,0,1,Cracovia Krakow,Match Finished
