date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-09T18:00:00+00:00,2024,Eredivisie,Netherlands,Groningen,4,1,NAC Breda,Match Finished
2024-08-10T14:30:00+00:00,2024,Eredivisie,Netherlands,Feyenoord,1,1,Willem II,Match Finished
2024-08-10T16:45:00+00:00,2024,Eredivisie,Netherlands,NEC Nijmegen,1,2,Twente,Match Finished
2024-08-10T18:00:00+00:00,2024,Eredivisie,Netherlands,Almere City FC,0,1,AZ Alkmaar,Match Finished
2024-08-10T19:00:00+00:00,2024,Eredivisie,Netherlands,PSV Eindhoven,5,1,Waalwijk,Match Finished
2024-08-11T10:15:00+00:00,2024,Eredivisie,Netherlands,Sparta Rotterdam,0,0,Heracles,Match Finished
2024-08-11T12:30:00+00:00,2024,Eredivisie,Netherlands,Utrecht,1,0,PEC Zwolle,Match Finished
2024-08-11T12:30:00+00:00,2024,Eredivisie,Netherlands,GO Ahead Eagles,0,2,Fortuna Sittard,Match Finished
2024-08-11T14:45:00+00:00,2024,Eredivisie,Netherlands,Ajax,1,0,Heerenveen,Match Finished
2024-08-16T18:00:00+00:00,2024,Eredivisie,Netherlands,Fortuna Sittard,,,Almere City FC,Not Started
2024-08-17T14:30:00+00:00,2024,Eredivisie,Netherlands,Heerenveen,,,Utrecht,Not Started
2024-08-17T16:45:00+00:00,2024,Eredivisie,Netherlands,Twente,,,Sparta Rotterdam,Not Started
2024-08-17T18:00:00+00:00,2024,Eredivisie,Netherlands,AZ Alkmaar,,,NEC Nijmegen,Not Started
2024-08-17T19:00:00+00:00,2024,Eredivisie,Netherlands,Waalwijk,,,Groningen,Not Started
2024-08-18T10:15:00+00:00,2024,Eredivisie,Netherlands,Heracles,,,PSV Eindhoven,Not Started
2024-08-18T12:30:00+00:00,2024,Eredivisie,Netherlands,PEC Zwolle,,,Feyenoord,Not Started
2024-08-18T12:30:00+00:00,2024,Eredivisie,Netherlands,Willem II,,,GO Ahead Eagles,Not Started
2024-08-18T14:45:00+00:00,2024,Eredivisie,Netherlands,NAC Breda,,,Ajax,Not Started
2024-08-24T16:45:00+00:00,2024,Eredivisie,Netherlands,NEC Nijmegen,,,PEC Zwolle,Not Started
2024-08-24T18:00:00+00:00,2024,Eredivisie,Netherlands,Almere City FC,,,PSV Eindhoven,Not Started
2024-08-24T19:00:00+00:00,2024,Eredivisie,Netherlands,NAC Breda,,,Utrecht,Not Started
2024-08-25T00:00:00+00:00,2024,Eredivisie,Netherlands,Twente,,,Heerenveen,Match Postponed
2024-08-25T00:00:00+00:00,2024,Eredivisie,Netherlands,Ajax,,,Fortuna Sittard,Match Postponed
2024-08-25T10:15:00+00:00,2024,Eredivisie,Netherlands,Groningen,,,AZ Alkmaar,Not Started
2024-08-25T12:30:00+00:00,2024,Eredivisie,Netherlands,Heracles,,,Willem II,Not Started
2024-08-25T12:30:00+00:00,2024,Eredivisie,Netherlands,Sparta Rotterdam,,,Feyenoord,Not Started
2024-08-25T14:45:00+00:00,2024,Eredivisie,Netherlands,GO Ahead Eagles,,,Waalwijk,Not Started
2024-08-30T18:00:00+00:00,2024,Eredivisie,Netherlands,Waalwijk,,,AZ Alkmaar,Not Started
