date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-19T15:45:00+00:00,2024,First League,Bulgaria,Cherno More Varna,0,0,CSKA 1948,Match Finished
2024-07-22T18:15:00+00:00,2024,First League,Bulgaria,Septemvri Sofia,0,1,Beroe,Match Finished
2024-07-20T18:15:00+00:00,2024,First League,Bulgaria,Lokomotiv Sofia,1,6,Levski Sofia,Match Finished
2024-07-21T16:00:00+00:00,2024,First League,Bulgaria,Botev Vratsa,1,3,Botev Plovdiv,Match Finished
2024-07-20T16:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Plovdiv,1,0,Arda Kardzhali,Match Finished
2024-07-19T18:15:00+00:00,2024,First League,Bulgaria,Levski Krumovgrad,1,0,Slavia Sofia,Match Finished
2024-07-21T18:15:00+00:00,2024,First League,Bulgaria,Ludogorets,1,0,CSKA Sofia,Match Finished
2024-07-22T16:00:00+00:00,2024,First League,Bulgaria,Hebar 1918,0,2,Spartak Varna,Match Finished
2024-07-28T16:00:00+00:00,2024,First League,Bulgaria,CSKA 1948,2,2,Spartak Varna,Match Finished
2024-07-27T16:00:00+00:00,2024,First League,Bulgaria,CSKA Sofia,3,1,Hebar 1918,Match Finished
2024-09-25T18:15:00+00:00,2024,First League,Bulgaria,Slavia Sofia,,,Ludogorets,Not Started
2024-07-26T16:00:00+00:00,2024,First League,Bulgaria,Arda Kardzhali,1,0,Levski Krumovgrad,Match Finished
2024-07-28T18:15:00+00:00,2024,First League,Bulgaria,Botev Plovdiv,2,2,Lokomotiv Plovdiv,Match Finished
2024-07-26T18:15:00+00:00,2024,First League,Bulgaria,Levski Sofia,4,0,Botev Vratsa,Match Finished
2024-07-29T16:00:00+00:00,2024,First League,Bulgaria,Beroe,0,0,Lokomotiv Sofia,Match Finished
2024-07-29T18:15:00+00:00,2024,First League,Bulgaria,Cherno More Varna,2,0,Septemvri Sofia,Match Finished
2024-08-14T16:00:00+00:00,2024,First League,Bulgaria,Septemvri Sofia,,,CSKA 1948,Match Postponed
2024-08-04T16:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Sofia,2,1,Cherno More Varna,Match Finished
2024-08-05T18:15:00+00:00,2024,First League,Bulgaria,Botev Vratsa,1,2,Beroe,Match Finished
2024-08-02T18:15:00+00:00,2024,First League,Bulgaria,Lokomotiv Plovdiv,0,2,Levski Sofia,Match Finished
2024-08-04T18:15:00+00:00,2024,First League,Bulgaria,Levski Krumovgrad,0,1,Botev Plovdiv,Match Finished
2024-08-03T18:15:00+00:00,2024,First League,Bulgaria,Ludogorets,5,1,Arda Kardzhali,Match Finished
2024-08-02T16:00:00+00:00,2024,First League,Bulgaria,Hebar 1918,1,1,Slavia Sofia,Match Finished
2024-08-03T16:00:00+00:00,2024,First League,Bulgaria,Spartak Varna,3,0,CSKA Sofia,Match Finished
2024-08-11T16:00:00+00:00,2024,First League,Bulgaria,CSKA 1948,,,CSKA Sofia,Match Postponed
2024-08-09T16:00:00+00:00,2024,First League,Bulgaria,Slavia Sofia,3,1,Spartak Varna,Match Finished
2024-08-09T18:15:00+00:00,2024,First League,Bulgaria,Arda Kardzhali,2,1,Hebar 1918,Match Finished
2024-08-13T18:15:00+00:00,2024,First League,Bulgaria,Botev Plovdiv,,,Ludogorets,Not Started
2024-08-10T18:15:00+00:00,2024,First League,Bulgaria,Levski Sofia,3,0,Levski Krumovgrad,Match Finished
2024-08-10T16:00:00+00:00,2024,First League,Bulgaria,Beroe,0,2,Lokomotiv Plovdiv,Match Finished
2024-08-12T18:15:00+00:00,2024,First League,Bulgaria,Cherno More Varna,2,1,Botev Vratsa,Match Finished
2024-08-12T16:00:00+00:00,2024,First League,Bulgaria,Septemvri Sofia,0,1,Lokomotiv Sofia,Match Finished
2024-08-18T16:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Sofia,,,CSKA 1948,Not Started
2024-08-19T16:00:00+00:00,2024,First League,Bulgaria,Botev Vratsa,,,Septemvri Sofia,Not Started
2024-08-19T18:15:00+00:00,2024,First League,Bulgaria,Lokomotiv Plovdiv,,,Cherno More Varna,Not Started
2024-08-16T18:15:00+00:00,2024,First League,Bulgaria,Levski Krumovgrad,,,Beroe,Not Started
2024-08-17T18:15:00+00:00,2024,First League,Bulgaria,Ludogorets,,,Levski Sofia,Not Started
2024-08-18T18:15:00+00:00,2024,First League,Bulgaria,Hebar 1918,,,Botev Plovdiv,Not Started
2024-08-16T16:00:00+00:00,2024,First League,Bulgaria,Spartak Varna,,,Arda Kardzhali,Not Started
2024-08-17T16:00:00+00:00,2024,First League,Bulgaria,CSKA Sofia,,,Slavia Sofia,Not Started
2024-08-25T16:00:00+00:00,2024,First League,Bulgaria,CSKA 1948,,,Slavia Sofia,Not Started
2024-08-24T16:00:00+00:00,2024,First League,Bulgaria,Arda Kardzhali,,,CSKA Sofia,Not Started
2024-08-25T18:15:00+00:00,2024,First League,Bulgaria,Botev Plovdiv,,,Spartak Varna,Not Started
2024-08-23T18:15:00+00:00,2024,First League,Bulgaria,Levski Sofia,,,Hebar 1918,Not Started
2024-08-24T18:15:00+00:00,2024,First League,Bulgaria,Beroe,,,Ludogorets,Not Started
2024-08-26T18:15:00+00:00,2024,First League,Bulgaria,Cherno More Varna,,,Levski Krumovgrad,Not Started
2024-08-26T16:00:00+00:00,2024,First League,Bulgaria,Septemvri Sofia,,,Lokomotiv Plovdiv,Not Started
2024-08-23T16:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Sofia,,,Botev Vratsa,Not Started
2024-08-31T00:00:00+00:00,2024,First League,Bulgaria,Botev Vratsa,,,CSKA 1948,Time to be defined
2024-08-31T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Plovdiv,,,Lokomotiv Sofia,Time to be defined
2024-08-31T00:00:00+00:00,2024,First League,Bulgaria,Levski Krumovgrad,,,Septemvri Sofia,Time to be defined
2024-08-31T00:00:00+00:00,2024,First League,Bulgaria,Ludogorets,,,Cherno More Varna,Time to be defined
2024-08-31T00:00:00+00:00,2024,First League,Bulgaria,Hebar 1918,,,Beroe,Time to be defined
2024-08-31T00:00:00+00:00,2024,First League,Bulgaria,Spartak Varna,,,Levski Sofia,Time to be defined
2024-08-31T00:00:00+00:00,2024,First League,Bulgaria,CSKA Sofia,,,Botev Plovdiv,Time to be defined
2024-08-31T00:00:00+00:00,2024,First League,Bulgaria,Slavia Sofia,,,Arda Kardzhali,Time to be defined
2024-09-14T00:00:00+00:00,2024,First League,Bulgaria,CSKA 1948,,,Arda Kardzhali,Time to be defined
2024-09-14T00:00:00+00:00,2024,First League,Bulgaria,Botev Plovdiv,,,Slavia Sofia,Time to be defined
2024-09-14T00:00:00+00:00,2024,First League,Bulgaria,Levski Sofia,,,CSKA Sofia,Time to be defined
2024-09-14T00:00:00+00:00,2024,First League,Bulgaria,Beroe,,,Spartak Varna,Time to be defined
2024-09-14T00:00:00+00:00,2024,First League,Bulgaria,Cherno More Varna,,,Hebar 1918,Time to be defined
2024-09-14T00:00:00+00:00,2024,First League,Bulgaria,Septemvri Sofia,,,Ludogorets,Time to be defined
2024-09-14T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Sofia,,,Levski Krumovgrad,Time to be defined
2024-09-14T00:00:00+00:00,2024,First League,Bulgaria,Botev Vratsa,,,Lokomotiv Plovdiv,Time to be defined
2024-09-21T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Plovdiv,,,CSKA 1948,Time to be defined
2024-09-21T00:00:00+00:00,2024,First League,Bulgaria,Levski Krumovgrad,,,Botev Vratsa,Time to be defined
2024-09-21T00:00:00+00:00,2024,First League,Bulgaria,Ludogorets,,,Lokomotiv Sofia,Time to be defined
2024-09-21T00:00:00+00:00,2024,First League,Bulgaria,Hebar 1918,,,Septemvri Sofia,Time to be defined
2024-09-21T00:00:00+00:00,2024,First League,Bulgaria,Spartak Varna,,,Cherno More Varna,Time to be defined
2024-09-21T00:00:00+00:00,2024,First League,Bulgaria,CSKA Sofia,,,Beroe,Time to be defined
2024-09-21T00:00:00+00:00,2024,First League,Bulgaria,Slavia Sofia,,,Levski Sofia,Time to be defined
2024-09-21T00:00:00+00:00,2024,First League,Bulgaria,Arda Kardzhali,,,Botev Plovdiv,Time to be defined
2024-09-28T00:00:00+00:00,2024,First League,Bulgaria,CSKA 1948,,,Botev Plovdiv,Time to be defined
2024-09-28T00:00:00+00:00,2024,First League,Bulgaria,Levski Sofia,,,Arda Kardzhali,Time to be defined
2024-09-28T00:00:00+00:00,2024,First League,Bulgaria,Beroe,,,Slavia Sofia,Time to be defined
2024-09-28T00:00:00+00:00,2024,First League,Bulgaria,Cherno More Varna,,,CSKA Sofia,Time to be defined
2024-09-28T00:00:00+00:00,2024,First League,Bulgaria,Septemvri Sofia,,,Spartak Varna,Time to be defined
2024-09-28T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Sofia,,,Hebar 1918,Time to be defined
2024-09-28T00:00:00+00:00,2024,First League,Bulgaria,Botev Vratsa,,,Ludogorets,Time to be defined
2024-09-28T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Plovdiv,,,Levski Krumovgrad,Time to be defined
2024-10-05T00:00:00+00:00,2024,First League,Bulgaria,Levski Krumovgrad,,,CSKA 1948,Time to be defined
2024-10-05T00:00:00+00:00,2024,First League,Bulgaria,Ludogorets,,,Lokomotiv Plovdiv,Time to be defined
2024-10-05T00:00:00+00:00,2024,First League,Bulgaria,Hebar 1918,,,Botev Vratsa,Time to be defined
2024-10-05T00:00:00+00:00,2024,First League,Bulgaria,Spartak Varna,,,Lokomotiv Sofia,Time to be defined
2024-10-05T00:00:00+00:00,2024,First League,Bulgaria,CSKA Sofia,,,Septemvri Sofia,Time to be defined
2024-10-05T00:00:00+00:00,2024,First League,Bulgaria,Slavia Sofia,,,Cherno More Varna,Time to be defined
2024-10-05T00:00:00+00:00,2024,First League,Bulgaria,Arda Kardzhali,,,Beroe,Time to be defined
2024-10-05T00:00:00+00:00,2024,First League,Bulgaria,Botev Plovdiv,,,Levski Sofia,Time to be defined
2024-10-19T00:00:00+00:00,2024,First League,Bulgaria,CSKA 1948,,,Levski Sofia,Time to be defined
2024-10-19T00:00:00+00:00,2024,First League,Bulgaria,Beroe,,,Botev Plovdiv,Time to be defined
2024-10-19T00:00:00+00:00,2024,First League,Bulgaria,Cherno More Varna,,,Arda Kardzhali,Time to be defined
2024-10-19T00:00:00+00:00,2024,First League,Bulgaria,Septemvri Sofia,,,Slavia Sofia,Time to be defined
2024-10-19T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Sofia,,,CSKA Sofia,Time to be defined
2024-10-19T00:00:00+00:00,2024,First League,Bulgaria,Botev Vratsa,,,Spartak Varna,Time to be defined
2024-10-19T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Plovdiv,,,Hebar 1918,Time to be defined
2024-10-19T00:00:00+00:00,2024,First League,Bulgaria,Levski Krumovgrad,,,Ludogorets,Time to be defined
2024-10-26T00:00:00+00:00,2024,First League,Bulgaria,Ludogorets,,,CSKA 1948,Time to be defined
2024-10-26T00:00:00+00:00,2024,First League,Bulgaria,Hebar 1918,,,Levski Krumovgrad,Time to be defined
2024-10-26T00:00:00+00:00,2024,First League,Bulgaria,Spartak Varna,,,Lokomotiv Plovdiv,Time to be defined
2024-10-26T00:00:00+00:00,2024,First League,Bulgaria,CSKA Sofia,,,Botev Vratsa,Time to be defined
2024-10-26T00:00:00+00:00,2024,First League,Bulgaria,Slavia Sofia,,,Lokomotiv Sofia,Time to be defined
2024-10-26T00:00:00+00:00,2024,First League,Bulgaria,Arda Kardzhali,,,Septemvri Sofia,Time to be defined
2024-10-26T00:00:00+00:00,2024,First League,Bulgaria,Botev Plovdiv,,,Cherno More Varna,Time to be defined
2024-10-26T00:00:00+00:00,2024,First League,Bulgaria,Levski Sofia,,,Beroe,Time to be defined
2024-11-02T00:00:00+00:00,2024,First League,Bulgaria,CSKA 1948,,,Beroe,Time to be defined
2024-11-02T00:00:00+00:00,2024,First League,Bulgaria,Cherno More Varna,,,Levski Sofia,Time to be defined
2024-11-02T00:00:00+00:00,2024,First League,Bulgaria,Septemvri Sofia,,,Botev Plovdiv,Time to be defined
2024-11-02T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Sofia,,,Arda Kardzhali,Time to be defined
2024-11-02T00:00:00+00:00,2024,First League,Bulgaria,Botev Vratsa,,,Slavia Sofia,Time to be defined
2024-11-02T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Plovdiv,,,CSKA Sofia,Time to be defined
2024-11-02T00:00:00+00:00,2024,First League,Bulgaria,Levski Krumovgrad,,,Spartak Varna,Time to be defined
2024-11-02T00:00:00+00:00,2024,First League,Bulgaria,Ludogorets,,,Hebar 1918,Time to be defined
2024-11-09T00:00:00+00:00,2024,First League,Bulgaria,Hebar 1918,,,CSKA 1948,Time to be defined
2024-11-09T00:00:00+00:00,2024,First League,Bulgaria,Spartak Varna,,,Ludogorets,Time to be defined
2024-11-09T00:00:00+00:00,2024,First League,Bulgaria,CSKA Sofia,,,Levski Krumovgrad,Time to be defined
2024-11-09T00:00:00+00:00,2024,First League,Bulgaria,Slavia Sofia,,,Lokomotiv Plovdiv,Time to be defined
2024-11-09T00:00:00+00:00,2024,First League,Bulgaria,Arda Kardzhali,,,Botev Vratsa,Time to be defined
2024-11-09T00:00:00+00:00,2024,First League,Bulgaria,Botev Plovdiv,,,Lokomotiv Sofia,Time to be defined
2024-11-09T00:00:00+00:00,2024,First League,Bulgaria,Levski Sofia,,,Septemvri Sofia,Time to be defined
2024-11-09T00:00:00+00:00,2024,First League,Bulgaria,Beroe,,,Cherno More Varna,Time to be defined
2024-11-23T00:00:00+00:00,2024,First League,Bulgaria,CSKA 1948,,,Cherno More Varna,Time to be defined
2024-11-23T00:00:00+00:00,2024,First League,Bulgaria,Beroe,,,Septemvri Sofia,Time to be defined
2024-11-23T00:00:00+00:00,2024,First League,Bulgaria,Levski Sofia,,,Lokomotiv Sofia,Time to be defined
2024-11-23T00:00:00+00:00,2024,First League,Bulgaria,Botev Plovdiv,,,Botev Vratsa,Time to be defined
2024-11-23T00:00:00+00:00,2024,First League,Bulgaria,Arda Kardzhali,,,Lokomotiv Plovdiv,Time to be defined
2024-11-23T00:00:00+00:00,2024,First League,Bulgaria,Slavia Sofia,,,Levski Krumovgrad,Time to be defined
2024-11-23T00:00:00+00:00,2024,First League,Bulgaria,CSKA Sofia,,,Ludogorets,Time to be defined
2024-11-23T00:00:00+00:00,2024,First League,Bulgaria,Spartak Varna,,,Hebar 1918,Time to be defined
2024-11-30T00:00:00+00:00,2024,First League,Bulgaria,Spartak Varna,,,CSKA 1948,Time to be defined
2024-11-30T00:00:00+00:00,2024,First League,Bulgaria,Hebar 1918,,,CSKA Sofia,Time to be defined
2024-11-30T00:00:00+00:00,2024,First League,Bulgaria,Ludogorets,,,Slavia Sofia,Time to be defined
2024-11-30T00:00:00+00:00,2024,First League,Bulgaria,Levski Krumovgrad,,,Arda Kardzhali,Time to be defined
2024-11-30T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Plovdiv,,,Botev Plovdiv,Time to be defined
2024-11-30T00:00:00+00:00,2024,First League,Bulgaria,Botev Vratsa,,,Levski Sofia,Time to be defined
2024-11-30T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Sofia,,,Beroe,Time to be defined
2024-11-30T00:00:00+00:00,2024,First League,Bulgaria,Septemvri Sofia,,,Cherno More Varna,Time to be defined
2024-12-04T00:00:00+00:00,2024,First League,Bulgaria,CSKA 1948,,,Septemvri Sofia,Time to be defined
2024-12-04T00:00:00+00:00,2024,First League,Bulgaria,Cherno More Varna,,,Lokomotiv Sofia,Time to be defined
2024-12-04T00:00:00+00:00,2024,First League,Bulgaria,Beroe,,,Botev Vratsa,Time to be defined
2024-12-04T00:00:00+00:00,2024,First League,Bulgaria,Levski Sofia,,,Lokomotiv Plovdiv,Time to be defined
2024-12-04T00:00:00+00:00,2024,First League,Bulgaria,Botev Plovdiv,,,Levski Krumovgrad,Time to be defined
2024-12-04T00:00:00+00:00,2024,First League,Bulgaria,Arda Kardzhali,,,Ludogorets,Time to be defined
2024-12-04T00:00:00+00:00,2024,First League,Bulgaria,Slavia Sofia,,,Hebar 1918,Time to be defined
2024-12-04T00:00:00+00:00,2024,First League,Bulgaria,CSKA Sofia,,,Spartak Varna,Time to be defined
2024-12-07T00:00:00+00:00,2024,First League,Bulgaria,CSKA Sofia,,,CSKA 1948,Time to be defined
2024-12-07T00:00:00+00:00,2024,First League,Bulgaria,Spartak Varna,,,Slavia Sofia,Time to be defined
2024-12-07T00:00:00+00:00,2024,First League,Bulgaria,Hebar 1918,,,Arda Kardzhali,Time to be defined
2024-12-07T00:00:00+00:00,2024,First League,Bulgaria,Ludogorets,,,Botev Plovdiv,Time to be defined
2024-12-07T00:00:00+00:00,2024,First League,Bulgaria,Levski Krumovgrad,,,Levski Sofia,Time to be defined
2024-12-07T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Plovdiv,,,Beroe,Time to be defined
2024-12-07T00:00:00+00:00,2024,First League,Bulgaria,Botev Vratsa,,,Cherno More Varna,Time to be defined
2024-12-07T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Sofia,,,Septemvri Sofia,Time to be defined
2025-02-08T00:00:00+00:00,2024,First League,Bulgaria,CSKA 1948,,,Lokomotiv Sofia,Time to be defined
2025-02-08T00:00:00+00:00,2024,First League,Bulgaria,Septemvri Sofia,,,Botev Vratsa,Time to be defined
2025-02-08T00:00:00+00:00,2024,First League,Bulgaria,Cherno More Varna,,,Lokomotiv Plovdiv,Time to be defined
2025-02-08T00:00:00+00:00,2024,First League,Bulgaria,Beroe,,,Levski Krumovgrad,Time to be defined
2025-02-08T00:00:00+00:00,2024,First League,Bulgaria,Levski Sofia,,,Ludogorets,Time to be defined
2025-02-08T00:00:00+00:00,2024,First League,Bulgaria,Botev Plovdiv,,,Hebar 1918,Time to be defined
2025-02-08T00:00:00+00:00,2024,First League,Bulgaria,Arda Kardzhali,,,Spartak Varna,Time to be defined
2025-02-08T00:00:00+00:00,2024,First League,Bulgaria,Slavia Sofia,,,CSKA Sofia,Time to be defined
2025-02-15T00:00:00+00:00,2024,First League,Bulgaria,Slavia Sofia,,,CSKA 1948,Time to be defined
2025-02-15T00:00:00+00:00,2024,First League,Bulgaria,CSKA Sofia,,,Arda Kardzhali,Time to be defined
2025-02-15T00:00:00+00:00,2024,First League,Bulgaria,Spartak Varna,,,Botev Plovdiv,Time to be defined
2025-02-15T00:00:00+00:00,2024,First League,Bulgaria,Hebar 1918,,,Levski Sofia,Time to be defined
2025-02-15T00:00:00+00:00,2024,First League,Bulgaria,Ludogorets,,,Beroe,Time to be defined
2025-02-15T00:00:00+00:00,2024,First League,Bulgaria,Levski Krumovgrad,,,Cherno More Varna,Time to be defined
2025-02-15T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Plovdiv,,,Septemvri Sofia,Time to be defined
2025-02-15T00:00:00+00:00,2024,First League,Bulgaria,Botev Vratsa,,,Lokomotiv Sofia,Time to be defined
2025-02-22T00:00:00+00:00,2024,First League,Bulgaria,CSKA 1948,,,Botev Vratsa,Time to be defined
2025-02-22T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Sofia,,,Lokomotiv Plovdiv,Time to be defined
2025-02-22T00:00:00+00:00,2024,First League,Bulgaria,Septemvri Sofia,,,Levski Krumovgrad,Time to be defined
2025-02-22T00:00:00+00:00,2024,First League,Bulgaria,Cherno More Varna,,,Ludogorets,Time to be defined
2025-02-22T00:00:00+00:00,2024,First League,Bulgaria,Beroe,,,Hebar 1918,Time to be defined
2025-02-22T00:00:00+00:00,2024,First League,Bulgaria,Levski Sofia,,,Spartak Varna,Time to be defined
2025-02-22T00:00:00+00:00,2024,First League,Bulgaria,Botev Plovdiv,,,CSKA Sofia,Time to be defined
2025-02-22T00:00:00+00:00,2024,First League,Bulgaria,Arda Kardzhali,,,Slavia Sofia,Time to be defined
2025-03-01T00:00:00+00:00,2024,First League,Bulgaria,Arda Kardzhali,,,CSKA 1948,Time to be defined
2025-03-01T00:00:00+00:00,2024,First League,Bulgaria,Slavia Sofia,,,Botev Plovdiv,Time to be defined
2025-03-01T00:00:00+00:00,2024,First League,Bulgaria,CSKA Sofia,,,Levski Sofia,Time to be defined
2025-03-01T00:00:00+00:00,2024,First League,Bulgaria,Spartak Varna,,,Beroe,Time to be defined
2025-03-01T00:00:00+00:00,2024,First League,Bulgaria,Hebar 1918,,,Cherno More Varna,Time to be defined
2025-03-01T00:00:00+00:00,2024,First League,Bulgaria,Ludogorets,,,Septemvri Sofia,Time to be defined
2025-03-01T00:00:00+00:00,2024,First League,Bulgaria,Levski Krumovgrad,,,Lokomotiv Sofia,Time to be defined
2025-03-01T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Plovdiv,,,Botev Vratsa,Time to be defined
2025-03-08T00:00:00+00:00,2024,First League,Bulgaria,CSKA 1948,,,Lokomotiv Plovdiv,Time to be defined
2025-03-08T00:00:00+00:00,2024,First League,Bulgaria,Botev Vratsa,,,Levski Krumovgrad,Time to be defined
2025-03-08T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Sofia,,,Ludogorets,Time to be defined
2025-03-08T00:00:00+00:00,2024,First League,Bulgaria,Septemvri Sofia,,,Hebar 1918,Time to be defined
2025-03-08T00:00:00+00:00,2024,First League,Bulgaria,Cherno More Varna,,,Spartak Varna,Time to be defined
2025-03-08T00:00:00+00:00,2024,First League,Bulgaria,Beroe,,,CSKA Sofia,Time to be defined
2025-03-08T00:00:00+00:00,2024,First League,Bulgaria,Levski Sofia,,,Slavia Sofia,Time to be defined
2025-03-08T00:00:00+00:00,2024,First League,Bulgaria,Botev Plovdiv,,,Arda Kardzhali,Time to be defined
2025-03-15T00:00:00+00:00,2024,First League,Bulgaria,Botev Plovdiv,,,CSKA 1948,Time to be defined
2025-03-15T00:00:00+00:00,2024,First League,Bulgaria,Arda Kardzhali,,,Levski Sofia,Time to be defined
2025-03-15T00:00:00+00:00,2024,First League,Bulgaria,Slavia Sofia,,,Beroe,Time to be defined
2025-03-15T00:00:00+00:00,2024,First League,Bulgaria,CSKA Sofia,,,Cherno More Varna,Time to be defined
2025-03-15T00:00:00+00:00,2024,First League,Bulgaria,Spartak Varna,,,Septemvri Sofia,Time to be defined
2025-03-15T00:00:00+00:00,2024,First League,Bulgaria,Hebar 1918,,,Lokomotiv Sofia,Time to be defined
2025-03-15T00:00:00+00:00,2024,First League,Bulgaria,Ludogorets,,,Botev Vratsa,Time to be defined
2025-03-15T00:00:00+00:00,2024,First League,Bulgaria,Levski Krumovgrad,,,Lokomotiv Plovdiv,Time to be defined
2025-03-29T00:00:00+00:00,2024,First League,Bulgaria,CSKA 1948,,,Levski Krumovgrad,Time to be defined
2025-03-29T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Plovdiv,,,Ludogorets,Time to be defined
2025-03-29T00:00:00+00:00,2024,First League,Bulgaria,Botev Vratsa,,,Hebar 1918,Time to be defined
2025-03-29T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Sofia,,,Spartak Varna,Time to be defined
2025-03-29T00:00:00+00:00,2024,First League,Bulgaria,Septemvri Sofia,,,CSKA Sofia,Time to be defined
2025-03-29T00:00:00+00:00,2024,First League,Bulgaria,Cherno More Varna,,,Slavia Sofia,Time to be defined
2025-03-29T00:00:00+00:00,2024,First League,Bulgaria,Beroe,,,Arda Kardzhali,Time to be defined
2025-03-29T00:00:00+00:00,2024,First League,Bulgaria,Levski Sofia,,,Botev Plovdiv,Time to be defined
2025-04-02T00:00:00+00:00,2024,First League,Bulgaria,Levski Sofia,,,CSKA 1948,Time to be defined
2025-04-02T00:00:00+00:00,2024,First League,Bulgaria,Botev Plovdiv,,,Beroe,Time to be defined
2025-04-02T00:00:00+00:00,2024,First League,Bulgaria,Arda Kardzhali,,,Cherno More Varna,Time to be defined
2025-04-02T00:00:00+00:00,2024,First League,Bulgaria,Slavia Sofia,,,Septemvri Sofia,Time to be defined
2025-04-02T00:00:00+00:00,2024,First League,Bulgaria,CSKA Sofia,,,Lokomotiv Sofia,Time to be defined
2025-04-02T00:00:00+00:00,2024,First League,Bulgaria,Spartak Varna,,,Botev Vratsa,Time to be defined
2025-04-02T00:00:00+00:00,2024,First League,Bulgaria,Hebar 1918,,,Lokomotiv Plovdiv,Time to be defined
2025-04-02T00:00:00+00:00,2024,First League,Bulgaria,Ludogorets,,,Levski Krumovgrad,Time to be defined
2025-04-05T00:00:00+00:00,2024,First League,Bulgaria,CSKA 1948,,,Ludogorets,Time to be defined
2025-04-05T00:00:00+00:00,2024,First League,Bulgaria,Levski Krumovgrad,,,Hebar 1918,Time to be defined
2025-04-05T00:00:00+00:00,2024,First League,Bulgaria,Lokomotiv Plovdiv,,,Spartak Varna,Time to be defined
