date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-13T13:00:00+00:00,2024,First League,Russia,Arsenal Tula,1,0,Chernomorets,Match Finished
2024-07-14T15:30:00+00:00,2024,First League,Russia,Torpedo Moskva,4,0,Ska-khabarovsk,Match Finished
2024-07-14T10:00:00+00:00,2024,First League,Russia,Enisey,2,1,KAMAZ,Match Finished
2024-07-14T15:00:00+00:00,2024,First League,Russia,FK Neftekhimik,3,0,Tyumen,Match Finished
2024-07-14T13:00:00+00:00,2024,First League,Russia,Ural,2,0,FC Sochi,Match Finished
2024-07-14T17:00:00+00:00,2024,First League,Russia,Chayka,1,1,FK Sokol Saratov,Match Finished
2024-07-14T13:00:00+00:00,2024,First League,Russia,Shinnik Yaroslavl,0,1,Rotor Volgograd,Match Finished
2024-07-14T16:30:00+00:00,2024,First League,Russia,Rodina Moskva,0,0,Baltika,Match Finished
2024-07-15T16:30:00+00:00,2024,First League,Russia,Alaniya Vladikavkaz,0,0,FC UFA,Match Finished
2024-07-20T17:00:00+00:00,2024,First League,Russia,Rodina Moskva,1,0,Ska-khabarovsk,Match Finished
2024-07-20T16:00:00+00:00,2024,First League,Russia,Arsenal Tula,1,0,KAMAZ,Match Finished
2024-07-20T15:00:00+00:00,2024,First League,Russia,FK Sokol Saratov,1,0,Enisey,Match Finished
2024-07-20T09:30:00+00:00,2024,First League,Russia,Ural,2,1,Shinnik Yaroslavl,Match Finished
2024-07-21T15:00:00+00:00,2024,First League,Russia,FK Neftekhimik,2,1,FC UFA,Match Finished
2024-07-21T16:00:00+00:00,2024,First League,Russia,FC Sochi,1,1,Baltika,Match Finished
2024-07-21T16:30:00+00:00,2024,First League,Russia,Chernomorets,1,2,Chayka,Match Finished
2024-07-21T09:30:00+00:00,2024,First League,Russia,Tyumen,0,1,Alaniya Vladikavkaz,Match Finished
2024-07-22T15:00:00+00:00,2024,First League,Russia,Rotor Volgograd,1,1,Torpedo Moskva,Match Finished
2024-07-26T17:15:00+00:00,2024,First League,Russia,Baltika,1,1,FC UFA,Match Finished
2024-07-28T16:00:00+00:00,2024,First League,Russia,Alaniya Vladikavkaz,0,1,Rodina Moskva,Match Finished
2024-07-27T11:00:00+00:00,2024,First League,Russia,Enisey,0,1,Torpedo Moskva,Match Finished
2024-07-28T15:30:00+00:00,2024,First League,Russia,Shinnik Yaroslavl,0,2,Tyumen,Match Finished
2024-07-29T17:30:00+00:00,2024,First League,Russia,Rotor Volgograd,0,1,Arsenal Tula,Match Finished
2024-07-28T16:00:00+00:00,2024,First League,Russia,FC Sochi,1,2,Ska-khabarovsk,Match Finished
2024-07-27T16:30:00+00:00,2024,First League,Russia,Chernomorets,3,2,Ural,Match Finished
2024-07-28T16:30:00+00:00,2024,First League,Russia,Chayka,4,0,FK Neftekhimik,Match Finished
2024-07-27T15:00:00+00:00,2024,First League,Russia,FK Sokol Saratov,1,0,KAMAZ,Match Finished
2024-08-03T12:00:00+00:00,2024,First League,Russia,Torpedo Moskva,1,1,Chayka,Match Finished
2024-08-02T17:00:00+00:00,2024,First League,Russia,Baltika,2,0,Chernomorets,Match Finished
2024-08-04T17:00:00+00:00,2024,First League,Russia,Rodina Moskva,0,1,KAMAZ,Match Finished
2024-08-04T15:00:00+00:00,2024,First League,Russia,FK Neftekhimik,1,0,Rotor Volgograd,Match Finished
2024-08-04T14:30:00+00:00,2024,First League,Russia,Shinnik Yaroslavl,0,2,FC Sochi,Match Finished
2024-08-03T13:00:00+00:00,2024,First League,Russia,Ska-khabarovsk,0,3,Alaniya Vladikavkaz,Match Finished
2024-08-03T13:00:00+00:00,2024,First League,Russia,Ural,0,0,FK Sokol Saratov,Match Finished
2024-08-05T16:00:00+00:00,2024,First League,Russia,Arsenal Tula,2,1,Enisey,Match Finished
2024-08-02T14:30:00+00:00,2024,First League,Russia,FC UFA,2,2,Tyumen,Match Finished
2024-08-10T16:00:00+00:00,2024,First League,Russia,Alaniya Vladikavkaz,0,1,Enisey,Match Finished
2024-08-10T16:00:00+00:00,2024,First League,Russia,FC Sochi,2,1,Chernomorets,Match Finished
2024-08-10T13:00:00+00:00,2024,First League,Russia,Ska-khabarovsk,0,0,Shinnik Yaroslavl,Match Finished
2024-08-12T17:00:00+00:00,2024,First League,Russia,KAMAZ,1,1,Torpedo Moskva,Match Finished
2024-08-11T16:00:00+00:00,2024,First League,Russia,Arsenal Tula,1,1,FK Neftekhimik,Match Finished
2024-08-12T14:30:00+00:00,2024,First League,Russia,FC UFA,0,2,Ural,Match Finished
