date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-04T19:00:00+00:00,2024,HNL,Croatia,NK Osijek,1,2,Sibenik,Match Finished
2024-08-02T19:00:00+00:00,2024,HNL,Croatia,Dinamo Zagreb,5,0,Istra 1961,Match Finished
2024-08-03T19:00:00+00:00,2024,HNL,Croatia,HNK Gorica,0,0,NK Varazdin,Match Finished
2024-08-04T16:50:00+00:00,2024,HNL,Croatia,HNK Rijeka,4,0,NK Lokomotiva Zagreb,Match Finished
2024-08-04T19:00:00+00:00,2024,HNL,Croatia,HNK Hajduk Split,2,1,NK Slaven Belupo,Match Finished
2024-08-09T16:30:00+00:00,2024,HNL,Croatia,Sibenik,2,0,NK Slaven Belupo,Match Finished
2024-08-11T16:30:00+00:00,2024,HNL,Croatia,NK Lokomotiva Zagreb,1,1,HNK Hajduk Split,Match Finished
2024-08-11T19:00:00+00:00,2024,HNL,Croatia,NK Varazdin,0,0,HNK Rijeka,Match Finished
2024-08-10T19:00:00+00:00,2024,HNL,Croatia,Istra 1961,2,1,HNK Gorica,Match Finished
2024-08-11T19:00:00+00:00,2024,HNL,Croatia,NK Osijek,1,2,Dinamo Zagreb,Match Finished
2024-08-16T19:00:00+00:00,2024,HNL,Croatia,Dinamo Zagreb,,,Sibenik,Not Started
2024-08-18T19:00:00+00:00,2024,HNL,Croatia,HNK Gorica,,,NK Osijek,Not Started
2024-08-18T19:00:00+00:00,2024,HNL,Croatia,HNK Rijeka,,,Istra 1961,Not Started
2024-08-18T16:50:00+00:00,2024,HNL,Croatia,HNK Hajduk Split,,,NK Varazdin,Not Started
2024-08-17T19:00:00+00:00,2024,HNL,Croatia,NK Slaven Belupo,,,NK Lokomotiva Zagreb,Not Started
2024-11-09T16:00:00+00:00,2024,HNL,Croatia,Sibenik,,,NK Lokomotiva Zagreb,Not Started
2024-08-24T17:00:00+00:00,2024,HNL,Croatia,NK Varazdin,,,NK Slaven Belupo,Not Started
2024-08-24T17:00:00+00:00,2024,HNL,Croatia,Istra 1961,,,HNK Hajduk Split,Not Started
2024-08-24T17:00:00+00:00,2024,HNL,Croatia,NK Osijek,,,HNK Rijeka,Not Started
2024-08-24T17:00:00+00:00,2024,HNL,Croatia,Dinamo Zagreb,,,HNK Gorica,Not Started
2024-08-31T17:00:00+00:00,2024,HNL,Croatia,HNK Gorica,,,Sibenik,Not Started
2024-08-31T17:00:00+00:00,2024,HNL,Croatia,HNK Rijeka,,,Dinamo Zagreb,Not Started
2024-08-31T17:00:00+00:00,2024,HNL,Croatia,HNK Hajduk Split,,,NK Osijek,Not Started
2024-08-31T17:00:00+00:00,2024,HNL,Croatia,NK Slaven Belupo,,,Istra 1961,Not Started
2024-08-31T17:00:00+00:00,2024,HNL,Croatia,NK Lokomotiva Zagreb,,,NK Varazdin,Not Started
2024-09-14T17:00:00+00:00,2024,HNL,Croatia,Sibenik,,,NK Varazdin,Not Started
2024-09-14T17:00:00+00:00,2024,HNL,Croatia,Istra 1961,,,NK Lokomotiva Zagreb,Not Started
