date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-19T18:30:00+00:00,2024,I Liga,Poland,Odra Opole,0,2,Ruch Chorzów,Match Finished
2024-07-20T15:00:00+00:00,2024,I Liga,Poland,Pogoń Siedlce,1,2,Chrobry Głogów,Match Finished
2024-07-20T12:30:00+00:00,2024,I Liga,Poland,Nieciecza,3,0,Warta Poznań,Match Finished
2024-07-21T10:00:00+00:00,2024,I Liga,Poland,Wisla Plock,1,1,Kotwica Kołobrzeg,Match Finished
2024-07-21T12:30:00+00:00,2024,I Liga,Poland,Tychy 71,2,2,Miedz Legnica,Match Finished
2024-07-20T17:35:00+00:00,2024,I Liga,Poland,Stal Stalowa Wola,0,1,Górnik Łęczna,Match Finished
2024-07-22T17:00:00+00:00,2024,I Liga,Poland,Stal Rzeszów,1,0,Arka Gdynia,Match Finished
2024-07-21T12:30:00+00:00,2024,I Liga,Poland,ŁKS Łódź,,,Wisla Krakow,Match Postponed
2024-07-19T16:00:00+00:00,2024,I Liga,Poland,Polonia Warszawa,0,1,Znicz Pruszków,Match Finished
2024-07-28T15:00:00+00:00,2024,I Liga,Poland,Ruch Chorzów,0,0,Znicz Pruszków,Match Finished
2024-07-28T12:30:00+00:00,2024,I Liga,Poland,Wisla Krakow,0,0,Polonia Warszawa,Match Finished
2024-07-29T18:30:00+00:00,2024,I Liga,Poland,Arka Gdynia,2,1,ŁKS Łódź,Match Finished
2024-07-27T15:00:00+00:00,2024,I Liga,Poland,Górnik Łęczna,2,1,Stal Rzeszów,Match Finished
2024-07-26T16:00:00+00:00,2024,I Liga,Poland,Miedz Legnica,4,2,Stal Stalowa Wola,Match Finished
2024-07-26T18:00:00+00:00,2024,I Liga,Poland,Kotwica Kołobrzeg,0,0,Tychy 71,Match Finished
2024-07-27T17:35:00+00:00,2024,I Liga,Poland,Warta Poznań,1,2,Wisla Plock,Match Finished
2024-07-27T12:30:00+00:00,2024,I Liga,Poland,Chrobry Głogów,0,4,Nieciecza,Match Finished
2024-07-28T10:00:00+00:00,2024,I Liga,Poland,Odra Opole,4,1,Pogoń Siedlce,Match Finished
2024-08-02T18:00:00+00:00,2024,I Liga,Poland,Ruch Chorzów,1,1,Pogoń Siedlce,Match Finished
2024-08-04T15:00:00+00:00,2024,I Liga,Poland,Nieciecza,3,0,Odra Opole,Match Finished
2024-08-03T15:00:00+00:00,2024,I Liga,Poland,Wisla Plock,2,1,Chrobry Głogów,Match Finished
2024-08-02T16:00:00+00:00,2024,I Liga,Poland,Tychy 71,1,1,Warta Poznań,Match Finished
2024-08-03T12:30:00+00:00,2024,I Liga,Poland,Stal Stalowa Wola,0,2,Kotwica Kołobrzeg,Match Finished
2024-08-04T10:00:00+00:00,2024,I Liga,Poland,Stal Rzeszów,1,0,Miedz Legnica,Match Finished
2024-08-05T18:30:00+00:00,2024,I Liga,Poland,ŁKS Łódź,1,1,Górnik Łęczna,Match Finished
2024-08-03T17:35:00+00:00,2024,I Liga,Poland,Polonia Warszawa,0,3,Arka Gdynia,Match Finished
2024-08-04T12:30:00+00:00,2024,I Liga,Poland,Znicz Pruszków,2,1,Wisla Krakow,Match Finished
2024-08-12T17:00:00+00:00,2024,I Liga,Poland,Wisla Krakow,3,1,Ruch Chorzów,Match Finished
2024-08-09T18:30:00+00:00,2024,I Liga,Poland,Arka Gdynia,1,1,Znicz Pruszków,Match Finished
2024-08-10T12:30:00+00:00,2024,I Liga,Poland,Górnik Łęczna,3,1,Polonia Warszawa,Match Finished
2024-08-10T17:35:00+00:00,2024,I Liga,Poland,Miedz Legnica,1,0,ŁKS Łódź,Match Finished
2024-08-11T15:00:00+00:00,2024,I Liga,Poland,Kotwica Kołobrzeg,1,3,Stal Rzeszów,Match Finished
2024-08-10T15:00:00+00:00,2024,I Liga,Poland,Warta Poznań,1,0,Stal Stalowa Wola,Match Finished
2024-08-09T16:00:00+00:00,2024,I Liga,Poland,Chrobry Głogów,0,0,Tychy 71,Match Finished
2024-08-11T12:30:00+00:00,2024,I Liga,Poland,Odra Opole,1,2,Wisla Plock,Match Finished
2024-08-11T10:00:00+00:00,2024,I Liga,Poland,Pogoń Siedlce,1,2,Nieciecza,Match Finished
2024-08-18T12:30:00+00:00,2024,I Liga,Poland,Nieciecza,,,Ruch Chorzów,Not Started
2024-08-18T15:00:00+00:00,2024,I Liga,Poland,Wisla Plock,,,Pogoń Siedlce,Not Started
2024-08-17T17:35:00+00:00,2024,I Liga,Poland,Tychy 71,,,Odra Opole,Not Started
2024-08-16T16:00:00+00:00,2024,I Liga,Poland,Stal Stalowa Wola,,,Chrobry Głogów,Not Started
2024-08-17T15:30:00+00:00,2024,I Liga,Poland,Stal Rzeszów,,,Warta Poznań,Not Started
2024-08-16T18:30:00+00:00,2024,I Liga,Poland,ŁKS Łódź,,,Kotwica Kołobrzeg,Not Started
2024-08-17T12:30:00+00:00,2024,I Liga,Poland,Polonia Warszawa,,,Miedz Legnica,Not Started
2024-08-18T10:00:00+00:00,2024,I Liga,Poland,Znicz Pruszków,,,Górnik Łęczna,Not Started
2024-08-19T17:00:00+00:00,2024,I Liga,Poland,Wisla Krakow,,,Arka Gdynia,Not Started
2024-08-22T17:00:00+00:00,2024,I Liga,Poland,Arka Gdynia,,,Ruch Chorzów,Not Started
2024-08-22T17:35:00+00:00,2024,I Liga,Poland,Górnik Łęczna,,,Wisla Krakow,Not Started
2024-08-22T15:30:00+00:00,2024,I Liga,Poland,Miedz Legnica,,,Znicz Pruszków,Not Started
2024-08-20T16:00:00+00:00,2024,I Liga,Poland,Kotwica Kołobrzeg,,,Polonia Warszawa,Not Started
2024-08-20T18:30:00+00:00,2024,I Liga,Poland,Warta Poznań,,,ŁKS Łódź,Not Started
2024-08-20T18:30:00+00:00,2024,I Liga,Poland,Chrobry Głogów,,,Stal Rzeszów,Not Started
