date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-26T18:45:00+00:00,2024,Jupiler Pro League,Belgium,Club Brugge KV,1,1,KV Mechelen,Match Finished
2024-07-27T14:00:00+00:00,2024,Jupiler Pro League,Belgium,Dender,0,0,Union St. Gilloise,Match Finished
2024-07-27T16:15:00+00:00,2024,Jupiler Pro League,Belgium,Beerschot Wilrijk,0,0,OH Leuven,Match Finished
2024-07-27T18:45:00+00:00,2024,Jupiler Pro League,Belgium,Anderlecht,1,0,St. Truiden,Match Finished
2024-07-28T11:30:00+00:00,2024,Jupiler Pro League,Belgium,Genk,0,0,Standard Liege,Match Finished
2024-07-28T14:00:00+00:00,2024,Jupiler Pro League,Belgium,Kortrijk,0,1,Gent,Match Finished
2024-07-28T16:30:00+00:00,2024,Jupiler Pro League,Belgium,Charleroi,0,1,Antwerp,Match Finished
2024-07-28T17:15:00+00:00,2024,Jupiler Pro League,Belgium,KVC Westerlo,3,0,Cercle Brugge,Match Finished
2024-08-02T18:45:00+00:00,2024,Jupiler Pro League,Belgium,Union St. Gilloise,3,1,Beerschot Wilrijk,Match Finished
2024-08-03T14:00:00+00:00,2024,Jupiler Pro League,Belgium,KV Mechelen,2,4,KVC Westerlo,Match Finished
2024-08-03T16:15:00+00:00,2024,Jupiler Pro League,Belgium,OH Leuven,3,1,Genk,Match Finished
2024-08-03T18:45:00+00:00,2024,Jupiler Pro League,Belgium,St. Truiden,1,4,Charleroi,Match Finished
2024-08-04T11:30:00+00:00,2024,Jupiler Pro League,Belgium,Antwerp,1,2,Anderlecht,Match Finished
2024-08-04T14:00:00+00:00,2024,Jupiler Pro League,Belgium,Cercle Brugge,1,2,Kortrijk,Match Finished
2024-08-04T16:30:00+00:00,2024,Jupiler Pro League,Belgium,Standard Liege,1,0,Club Brugge KV,Match Finished
2024-08-04T17:15:00+00:00,2024,Jupiler Pro League,Belgium,Gent,1,2,Dender,Match Finished
2024-08-09T18:45:00+00:00,2024,Jupiler Pro League,Belgium,Standard Liege,0,0,KV Mechelen,Match Finished
2024-08-10T14:00:00+00:00,2024,Jupiler Pro League,Belgium,Dender,4,1,Kortrijk,Match Finished
2024-08-10T16:15:00+00:00,2024,Jupiler Pro League,Belgium,KVC Westerlo,4,3,Union St. Gilloise,Match Finished
2024-08-10T18:45:00+00:00,2024,Jupiler Pro League,Belgium,Anderlecht,1,1,OH Leuven,Match Finished
2024-08-11T11:30:00+00:00,2024,Jupiler Pro League,Belgium,Genk,3,2,Club Brugge KV,Match Finished
2024-08-11T14:00:00+00:00,2024,Jupiler Pro League,Belgium,Antwerp,6,1,St. Truiden,Match Finished
2024-08-11T16:30:00+00:00,2024,Jupiler Pro League,Belgium,Charleroi,1,0,Gent,Match Finished
2024-08-11T17:15:00+00:00,2024,Jupiler Pro League,Belgium,Cercle Brugge,4,1,Beerschot Wilrijk,Match Finished
2024-08-16T18:45:00+00:00,2024,Jupiler Pro League,Belgium,Union St. Gilloise,,,Charleroi,Not Started
2024-08-17T14:00:00+00:00,2024,Jupiler Pro League,Belgium,Beerschot Wilrijk,,,Genk,Not Started
2024-08-17T16:15:00+00:00,2024,Jupiler Pro League,Belgium,St. Truiden,,,Dender,Not Started
2024-08-17T18:45:00+00:00,2024,Jupiler Pro League,Belgium,KV Mechelen,,,Anderlecht,Not Started
2024-08-18T11:30:00+00:00,2024,Jupiler Pro League,Belgium,Club Brugge KV,,,Antwerp,Not Started
2024-08-18T14:00:00+00:00,2024,Jupiler Pro League,Belgium,OH Leuven,,,Cercle Brugge,Not Started
2024-08-18T16:30:00+00:00,2024,Jupiler Pro League,Belgium,Kortrijk,,,Standard Liege,Not Started
2024-08-18T17:15:00+00:00,2024,Jupiler Pro League,Belgium,Gent,,,KVC Westerlo,Not Started
2024-08-24T00:00:00+00:00,2024,Jupiler Pro League,Belgium,Anderlecht,,,Genk,Match Postponed
2024-08-24T14:00:00+00:00,2024,Jupiler Pro League,Belgium,Cercle Brugge,,,Gent,Match Postponed
2024-08-24T16:15:00+00:00,2024,Jupiler Pro League,Belgium,KVC Westerlo,,,OH Leuven,Not Started
2024-08-24T18:45:00+00:00,2024,Jupiler Pro League,Belgium,Antwerp,,,KV Mechelen,Not Started
2024-08-25T11:30:00+00:00,2024,Jupiler Pro League,Belgium,Dender,,,Club Brugge KV,Not Started
2024-08-25T14:00:00+00:00,2024,Jupiler Pro League,Belgium,St. Truiden,,,Union St. Gilloise,Not Started
2024-08-25T16:30:00+00:00,2024,Jupiler Pro League,Belgium,Standard Liege,,,Beerschot Wilrijk,Not Started
2024-08-25T17:15:00+00:00,2024,Jupiler Pro League,Belgium,Charleroi,,,Kortrijk,Not Started
2024-08-30T18:45:00+00:00,2024,Jupiler Pro League,Belgium,Genk,,,KVC Westerlo,Not Started
2024-08-31T14:00:00+00:00,2024,Jupiler Pro League,Belgium,KV Mechelen,,,Charleroi,Not Started
2024-08-31T16:15:00+00:00,2024,Jupiler Pro League,Belgium,Beerschot Wilrijk,,,Dender,Not Started
2024-08-31T18:45:00+00:00,2024,Jupiler Pro League,Belgium,OH Leuven,,,Standard Liege,Not Started
2024-09-01T11:30:00+00:00,2024,Jupiler Pro League,Belgium,Club Brugge KV,,,Cercle Brugge,Not Started
2024-09-01T14:00:00+00:00,2024,Jupiler Pro League,Belgium,Gent,,,Antwerp,Not Started
2024-09-01T16:30:00+00:00,2024,Jupiler Pro League,Belgium,Union St. Gilloise,,,Anderlecht,Not Started
2024-09-01T17:15:00+00:00,2024,Jupiler Pro League,Belgium,Kortrijk,,,St. Truiden,Not Started
2024-09-13T18:45:00+00:00,2024,Jupiler Pro League,Belgium,Dender,,,Standard Liege,Not Started
2024-09-14T14:00:00+00:00,2024,Jupiler Pro League,Belgium,Cercle Brugge,,,Genk,Not Started
2024-09-14T16:15:00+00:00,2024,Jupiler Pro League,Belgium,Kortrijk,,,Club Brugge KV,Not Started
2024-09-14T18:45:00+00:00,2024,Jupiler Pro League,Belgium,Antwerp,,,Union St. Gilloise,Not Started
2024-09-15T11:30:00+00:00,2024,Jupiler Pro League,Belgium,Anderlecht,,,KVC Westerlo,Not Started
2024-09-15T14:00:00+00:00,2024,Jupiler Pro League,Belgium,St. Truiden,,,OH Leuven,Not Started
2024-09-15T16:30:00+00:00,2024,Jupiler Pro League,Belgium,Charleroi,,,Beerschot Wilrijk,Not Started
2024-09-15T17:15:00+00:00,2024,Jupiler Pro League,Belgium,Gent,,,KV Mechelen,Not Started
2024-09-21T00:00:00+00:00,2024,Jupiler Pro League,Belgium,Club Brugge KV,,,Gent,Time to be defined
2024-09-21T00:00:00+00:00,2024,Jupiler Pro League,Belgium,Anderlecht,,,Charleroi,Time to be defined
2024-09-21T00:00:00+00:00,2024,Jupiler Pro League,Belgium,Genk,,,Dender,Time to be defined
2024-09-21T00:00:00+00:00,2024,Jupiler Pro League,Belgium,Standard Liege,,,Union St. Gilloise,Time to be defined
2024-09-21T00:00:00+00:00,2024,Jupiler Pro League,Belgium,Beerschot Wilrijk,,,St. Truiden,Time to be defined
2024-09-21T00:00:00+00:00,2024,Jupiler Pro League,Belgium,OH Leuven,,,Kortrijk,Time to be defined
2024-09-21T00:00:00+00:00,2024,Jupiler Pro League,Belgium,KV Mechelen,,,Cercle Brugge,Time to be defined
2024-09-21T00:00:00+00:00,2024,Jupiler Pro League,Belgium,KVC Westerlo,,,Antwerp,Time to be defined
2024-09-28T00:00:00+00:00,2024,Jupiler Pro League,Belgium,Union St. Gilloise,,,Kortrijk,Time to be defined
2024-09-28T00:00:00+00:00,2024,Jupiler Pro League,Belgium,Genk,,,KV Mechelen,Time to be defined
2024-09-28T00:00:00+00:00,2024,Jupiler Pro League,Belgium,Gent,,,OH Leuven,Time to be defined
2024-09-28T00:00:00+00:00,2024,Jupiler Pro League,Belgium,Antwerp,,,Beerschot Wilrijk,Time to be defined
2024-09-28T00:00:00+00:00,2024,Jupiler Pro League,Belgium,Standard Liege,,,KVC Westerlo,Time to be defined
2024-09-28T00:00:00+00:00,2024,Jupiler Pro League,Belgium,Cercle Brugge,,,St. Truiden,Time to be defined
2024-09-28T00:00:00+00:00,2024,Jupiler Pro League,Belgium,Charleroi,,,Club Brugge KV,Time to be defined
2024-09-28T00:00:00+00:00,2024,Jupiler Pro League,Belgium,Dender,,,Anderlecht,Time to be defined
2024-10-05T00:00:00+00:00,2024,Jupiler Pro League,Belgium,Club Brugge KV,,,Union St. Gilloise,Time to be defined
