date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-09T19:00:00+00:00,2024,League One,England,Barnsley,1,2,Mansfield Town,Match Finished
2024-08-10T16:30:00+00:00,2024,League One,England,Birmingham,1,1,Reading,Match Finished
2024-08-10T16:30:00+00:00,2024,League One,England,Bristol Rovers,1,0,Northampton,Match Finished
2024-08-10T16:30:00+00:00,2024,League One,England,Burton Albion,2,3,Lincoln,Match Finished
2024-08-10T16:30:00+00:00,2024,League One,England,Crawley Town,2,1,Blackpool,Match Finished
2024-08-10T16:30:00+00:00,2024,League One,England,Exeter City,1,0,Rotherham,Match Finished
2024-08-10T16:30:00+00:00,2024,League One,England,Leyton Orient,1,2,Bolton,Match Finished
2024-08-10T16:30:00+00:00,2024,League One,England,Peterborough,0,2,Huddersfield,Match Finished
2024-08-10T16:30:00+00:00,2024,League One,England,Stevenage,1,0,Shrewsbury,Match Finished
2024-08-10T16:30:00+00:00,2024,League One,England,Stockport County,2,0,Cambridge United,Match Finished
2024-08-10T16:30:00+00:00,2024,League One,England,Wigan,0,1,Charlton,Match Finished
2024-08-10T16:30:00+00:00,2024,League One,England,Wrexham,3,2,Wycombe,Match Finished
2024-08-17T14:00:00+00:00,2024,League One,England,Blackpool,,,Stockport County,Not Started
2024-08-18T14:00:00+00:00,2024,League One,England,Bolton,,,Wrexham,Not Started
2024-08-17T14:00:00+00:00,2024,League One,England,Cambridge United,,,Crawley Town,Not Started
2024-08-17T11:30:00+00:00,2024,League One,England,Charlton,,,Leyton Orient,Not Started
2024-08-17T14:00:00+00:00,2024,League One,England,Huddersfield,,,Stevenage,Not Started
2024-08-17T14:00:00+00:00,2024,League One,England,Lincoln,,,Barnsley,Not Started
2024-08-17T14:00:00+00:00,2024,League One,England,Mansfield Town,,,Burton Albion,Not Started
2024-08-17T14:00:00+00:00,2024,League One,England,Northampton,,,Exeter City,Not Started
2024-08-17T14:00:00+00:00,2024,League One,England,Reading,,,Wigan,Not Started
2024-08-17T14:00:00+00:00,2024,League One,England,Rotherham,,,Bristol Rovers,Not Started
2024-08-17T11:30:00+00:00,2024,League One,England,Shrewsbury,,,Peterborough,Not Started
2024-08-17T14:00:00+00:00,2024,League One,England,Wycombe,,,Birmingham,Not Started
2024-08-24T14:00:00+00:00,2024,League One,England,Barnsley,,,Northampton,Not Started
2024-08-24T11:30:00+00:00,2024,League One,England,Burton Albion,,,Stevenage,Not Started
2024-08-24T14:00:00+00:00,2024,League One,England,Cambridge United,,,Blackpool,Not Started
2024-08-24T14:00:00+00:00,2024,League One,England,Charlton,,,Bolton,Not Started
2024-08-24T14:00:00+00:00,2024,League One,England,Exeter City,,,Peterborough,Not Started
2024-08-24T14:00:00+00:00,2024,League One,England,Huddersfield,,,Shrewsbury,Not Started
2024-08-24T14:00:00+00:00,2024,League One,England,Leyton Orient,,,Birmingham,Not Started
2024-08-24T14:00:00+00:00,2024,League One,England,Lincoln,,,Mansfield Town,Not Started
2024-08-24T11:30:00+00:00,2024,League One,England,Stockport County,,,Bristol Rovers,Not Started
2024-08-24T14:00:00+00:00,2024,League One,England,Wigan,,,Crawley Town,Not Started
2024-08-24T14:00:00+00:00,2024,League One,England,Wrexham,,,Reading,Not Started
2024-08-24T14:00:00+00:00,2024,League One,England,Wycombe,,,Rotherham,Not Started
2024-08-31T14:00:00+00:00,2024,League One,England,Birmingham,,,Wigan,Not Started
2024-08-31T11:30:00+00:00,2024,League One,England,Blackpool,,,Wycombe,Not Started
2024-08-31T14:00:00+00:00,2024,League One,England,Bolton,,,Exeter City,Not Started
2024-08-31T14:00:00+00:00,2024,League One,England,Bristol Rovers,,,Cambridge United,Not Started
2024-08-31T14:00:00+00:00,2024,League One,England,Crawley Town,,,Barnsley,Not Started
2024-08-31T14:00:00+00:00,2024,League One,England,Mansfield Town,,,Stockport County,Not Started
