date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-03T14:00:00+00:00,2024,League One,Scotland,Alloa Athletic,0,0,Queen of the South,Match Finished
2024-08-03T14:00:00+00:00,2024,League One,Scotland,Cove Rangers,1,3,Annan Athletic,Match Finished
2024-08-03T14:00:00+00:00,2024,League One,Scotland,Inverness CT,1,1,Dumbarton,Match Finished
2024-08-03T14:00:00+00:00,2024,League One,Scotland,Montrose,1,1,Kelty Hearts,Match Finished
2024-08-03T14:00:00+00:00,2024,League One,Scotland,Stenhousemuir,2,1,Arbroath,Match Finished
2024-08-10T14:00:00+00:00,2024,League One,Scotland,Annan Athletic,1,0,Inverness CT,Match Finished
2024-08-10T14:00:00+00:00,2024,League One,Scotland,Arbroath,0,0,Montrose,Match Finished
2024-08-10T14:00:00+00:00,2024,League One,Scotland,Dumbarton,3,3,Alloa Athletic,Match Finished
2024-08-10T14:00:00+00:00,2024,League One,Scotland,Kelty Hearts,2,0,Stenhousemuir,Match Finished
2024-08-10T14:00:00+00:00,2024,League One,Scotland,Queen of the South,2,1,Cove Rangers,Match Finished
2024-08-17T14:00:00+00:00,2024,League One,Scotland,Alloa Athletic,,,Stenhousemuir,Not Started
2024-08-17T14:00:00+00:00,2024,League One,Scotland,Arbroath,,,Kelty Hearts,Not Started
2024-08-17T14:00:00+00:00,2024,League One,Scotland,Cove Rangers,,,Dumbarton,Not Started
2024-08-17T14:00:00+00:00,2024,League One,Scotland,Inverness CT,,,Montrose,Not Started
2024-08-17T14:00:00+00:00,2024,League One,Scotland,Queen of the South,,,Annan Athletic,Not Started
2024-08-24T14:00:00+00:00,2024,League One,Scotland,Annan Athletic,,,Alloa Athletic,Not Started
2024-08-24T14:00:00+00:00,2024,League One,Scotland,Dumbarton,,,Arbroath,Not Started
2024-08-24T14:00:00+00:00,2024,League One,Scotland,Kelty Hearts,,,Inverness CT,Not Started
2024-08-24T16:30:00+00:00,2024,League One,Scotland,Montrose,,,Queen of the South,Not Started
2024-08-24T14:00:00+00:00,2024,League One,Scotland,Stenhousemuir,,,Cove Rangers,Not Started
2024-08-31T14:00:00+00:00,2024,League One,Scotland,Arbroath,,,Alloa Athletic,Not Started
2024-08-31T14:00:00+00:00,2024,League One,Scotland,Cove Rangers,,,Montrose,Not Started
2024-08-31T14:00:00+00:00,2024,League One,Scotland,Dumbarton,,,Kelty Hearts,Not Started
2024-08-31T14:00:00+00:00,2024,League One,Scotland,Inverness CT,,,Queen of the South,Not Started
2024-08-31T14:00:00+00:00,2024,League One,Scotland,Stenhousemuir,,,Annan Athletic,Not Started
