date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-09T19:00:00+00:00,2024,League Two,England,Chesterfield,1,1,Swindon Town,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,England,AFC Wimbledon,4,2,Colchester,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,England,Barrow,1,0,Crewe,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,England,Cheltenham,3,2,Newport County,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,England,Doncaster,4,1,Accrington ST,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,England,Fleetwood Town,1,0,Grimsby,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,England,Gillingham,4,1,Carlisle,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,England,Harrogate Town,0,2,Bromley,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,England,Milton Keynes Dons,1,2,Bradford,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,England,Salford City,0,2,Port Vale,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,England,Tranmere,0,0,Notts County,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,England,Walsall,1,0,Morecambe,Match Finished
2024-08-17T14:00:00+00:00,2024,League Two,England,Accrington ST,,,Harrogate Town,Not Started
2024-08-17T14:00:00+00:00,2024,League Two,England,Bradford,,,Salford City,Not Started
2024-08-17T11:30:00+00:00,2024,League Two,England,Bromley,,,AFC Wimbledon,Not Started
2024-08-17T11:30:00+00:00,2024,League Two,England,Carlisle,,,Barrow,Not Started
2024-08-17T14:00:00+00:00,2024,League Two,England,Colchester,,,Milton Keynes Dons,Not Started
2024-08-17T14:00:00+00:00,2024,League Two,England,Crewe,,,Chesterfield,Not Started
2024-08-17T14:00:00+00:00,2024,League Two,England,Grimsby,,,Cheltenham,Not Started
2024-08-17T14:00:00+00:00,2024,League Two,England,Morecambe,,,Gillingham,Not Started
2024-08-17T14:00:00+00:00,2024,League Two,England,Newport County,,,Doncaster,Not Started
2024-08-18T12:00:00+00:00,2024,League Two,England,Notts County,,,Fleetwood Town,Not Started
2024-08-17T14:00:00+00:00,2024,League Two,England,Port Vale,,,Tranmere,Not Started
2024-08-17T14:00:00+00:00,2024,League Two,England,Swindon Town,,,Walsall,Not Started
2024-08-24T14:00:00+00:00,2024,League Two,England,Barrow,,,Port Vale,Not Started
2024-08-24T14:00:00+00:00,2024,League Two,England,Bradford,,,Bromley,Not Started
2024-08-24T14:00:00+00:00,2024,League Two,England,Cheltenham,,,AFC Wimbledon,Not Started
2024-08-24T14:00:00+00:00,2024,League Two,England,Chesterfield,,,Salford City,Not Started
2024-08-24T14:00:00+00:00,2024,League Two,England,Colchester,,,Harrogate Town,Not Started
2024-08-24T11:30:00+00:00,2024,League Two,England,Crewe,,,Swindon Town,Not Started
2024-08-24T14:00:00+00:00,2024,League Two,England,Doncaster,,,Morecambe,Not Started
2024-08-24T14:00:00+00:00,2024,League Two,England,Fleetwood Town,,,Gillingham,Not Started
2024-08-24T14:00:00+00:00,2024,League Two,England,Milton Keynes Dons,,,Carlisle,Not Started
2024-08-24T14:00:00+00:00,2024,League Two,England,Newport County,,,Accrington ST,Not Started
2024-08-22T19:00:00+00:00,2024,League Two,England,Notts County,,,Grimsby,Not Started
2024-08-24T11:30:00+00:00,2024,League Two,England,Tranmere,,,Walsall,Not Started
2024-08-31T14:00:00+00:00,2024,League Two,England,AFC Wimbledon,,,Fleetwood Town,Not Started
2024-08-31T14:00:00+00:00,2024,League Two,England,Accrington ST,,,Colchester,Not Started
2024-08-31T14:00:00+00:00,2024,League Two,England,Bromley,,,Crewe,Not Started
2024-08-31T14:00:00+00:00,2024,League Two,England,Carlisle,,,Tranmere,Not Started
2024-08-31T11:30:00+00:00,2024,League Two,England,Gillingham,,,Chesterfield,Not Started
2024-08-31T14:00:00+00:00,2024,League Two,England,Grimsby,,,Bradford,Not Started
2024-08-31T14:00:00+00:00,2024,League Two,England,Harrogate Town,,,Barrow,Not Started
2024-08-31T14:00:00+00:00,2024,League Two,England,Morecambe,,,Newport County,Not Started
2024-08-31T11:30:00+00:00,2024,League Two,England,Port Vale,,,Doncaster,Not Started
2024-09-02T19:00:00+00:00,2024,League Two,England,Salford City,,,Milton Keynes Dons,Not Started
2024-08-31T14:00:00+00:00,2024,League Two,England,Swindon Town,,,Notts County,Not Started
2024-08-31T14:00:00+00:00,2024,League Two,England,Walsall,,,Cheltenham,Not Started
