date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-03T14:00:00+00:00,2024,League Two,Scotland,Bonnyrigg Rose Athletic,0,1,Peterhead,Match Finished
2024-08-03T14:00:00+00:00,2024,League Two,Scotland,Edinburgh City,1,2,Stirling Albion,Match Finished
2024-08-03T14:00:00+00:00,2024,League Two,Scotland,Elgin City,4,2,East Fife,Match Finished
2024-08-03T14:00:00+00:00,2024,League Two,Scotland,Forfar Athletic,0,0,Clyde,Match Finished
2024-08-03T14:00:00+00:00,2024,League Two,Scotland,Stranraer,2,2,Spartans,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,Scotland,Clyde,1,0,Stranraer,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,Scotland,East Fife,2,0,Edinburgh City,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,Scotland,Peterhead,2,1,Forfar Athletic,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,Scotland,Stirling Albion,0,1,Elgin City,Match Finished
2024-08-10T14:00:00+00:00,2024,League Two,Scotland,Spartans,2,0,Bonnyrigg Rose Athletic,Match Finished
2024-08-17T14:00:00+00:00,2024,League Two,Scotland,Clyde,,,Stirling Albion,Not Started
2024-08-17T14:00:00+00:00,2024,League Two,Scotland,East Fife,,,Forfar Athletic,Not Started
2024-08-17T14:00:00+00:00,2024,League Two,Scotland,Edinburgh City,,,Bonnyrigg Rose Athletic,Not Started
2024-09-17T18:45:00+00:00,2024,League Two,Scotland,Elgin City,,,Spartans,Not Started
2024-08-17T14:00:00+00:00,2024,League Two,Scotland,Peterhead,,,Stranraer,Not Started
2024-08-24T14:00:00+00:00,2024,League Two,Scotland,Bonnyrigg Rose Athletic,,,Clyde,Not Started
2024-08-24T14:00:00+00:00,2024,League Two,Scotland,Forfar Athletic,,,Edinburgh City,Not Started
2024-08-24T14:00:00+00:00,2024,League Two,Scotland,Stirling Albion,,,East Fife,Not Started
2024-08-24T14:00:00+00:00,2024,League Two,Scotland,Stranraer,,,Elgin City,Not Started
2024-08-24T14:00:00+00:00,2024,League Two,Scotland,Spartans,,,Peterhead,Not Started
2024-08-31T14:00:00+00:00,2024,League Two,Scotland,Bonnyrigg Rose Athletic,,,Stranraer,Not Started
2024-08-31T14:00:00+00:00,2024,League Two,Scotland,East Fife,,,Clyde,Not Started
2024-08-31T14:00:00+00:00,2024,League Two,Scotland,Edinburgh City,,,Peterhead,Not Started
2024-08-31T14:00:00+00:00,2024,League Two,Scotland,Forfar Athletic,,,Elgin City,Not Started
2024-08-31T14:00:00+00:00,2024,League Two,Scotland,Stirling Albion,,,Spartans,Not Started
2024-09-14T14:00:00+00:00,2024,League Two,Scotland,Clyde,,,Edinburgh City,Not Started
2024-09-14T14:00:00+00:00,2024,League Two,Scotland,Elgin City,,,Bonnyrigg Rose Athletic,Not Started
2024-09-14T14:00:00+00:00,2024,League Two,Scotland,Peterhead,,,Stirling Albion,Not Started
2024-09-14T14:00:00+00:00,2024,League Two,Scotland,Stranraer,,,East Fife,Not Started
2024-09-14T14:00:00+00:00,2024,League Two,Scotland,Spartans,,,Forfar Athletic,Not Started
2024-09-21T14:00:00+00:00,2024,League Two,Scotland,Clyde,,,Elgin City,Not Started
2024-09-21T14:00:00+00:00,2024,League Two,Scotland,East Fife,,,Peterhead,Not Started
2024-09-21T14:00:00+00:00,2024,League Two,Scotland,Edinburgh City,,,Spartans,Not Started
2024-09-21T14:00:00+00:00,2024,League Two,Scotland,Forfar Athletic,,,Stranraer,Not Started
2024-09-21T14:00:00+00:00,2024,League Two,Scotland,Stirling Albion,,,Bonnyrigg Rose Athletic,Not Started
2024-09-28T14:00:00+00:00,2024,League Two,Scotland,Bonnyrigg Rose Athletic,,,Forfar Athletic,Not Started
2024-09-28T14:00:00+00:00,2024,League Two,Scotland,Elgin City,,,Edinburgh City,Not Started
2024-09-28T14:00:00+00:00,2024,League Two,Scotland,Peterhead,,,Clyde,Not Started
2024-09-28T14:00:00+00:00,2024,League Two,Scotland,Stranraer,,,Stirling Albion,Not Started
2024-09-28T14:00:00+00:00,2024,League Two,Scotland,Spartans,,,East Fife,Not Started
2024-10-05T14:00:00+00:00,2024,League Two,Scotland,Clyde,,,Spartans,Not Started
