date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-13T14:00:00+00:00,2024,Liga I,Romania,Sepsi OSK Sfantu Gheorghe,1,0,Politehnica Iasi,Match Finished
2024-07-15T18:30:00+00:00,2024,Liga I,Romania,Petrolul Ploiesti,0,0,SCM Gloria Buzău,Match Finished
2024-07-14T16:00:00+00:00,2024,Liga I,Romania,CFR 1907 Cluj,3,2,Dinamo Bucuresti,Match Finished
2024-07-13T16:15:00+00:00,2024,Liga I,Romania,Uta Arad,1,1,Rapid,Match Finished
2024-07-12T18:30:00+00:00,2024,Liga I,Romania,AFC Hermannstadt,0,0,Universitatea Craiova,Match Finished
2024-07-13T19:00:00+00:00,2024,Liga I,Romania,FCSB,1,1,Universitatea Cluj,Match Finished
2024-07-12T15:30:00+00:00,2024,Liga I,Romania,Farul Constanta,0,1,Unirea Slobozia,Match Finished
2024-07-15T15:30:00+00:00,2024,Liga I,Romania,FC Botosani,2,3,Oţelul,Match Finished
2024-07-22T16:00:00+00:00,2024,Liga I,Romania,SCM Gloria Buzău,1,2,Sepsi OSK Sfantu Gheorghe,Match Finished
2024-07-21T19:00:00+00:00,2024,Liga I,Romania,Dinamo Bucuresti,4,1,Petrolul Ploiesti,Match Finished
2024-07-20T19:00:00+00:00,2024,Liga I,Romania,Rapid,2,2,CFR 1907 Cluj,Match Finished
2024-07-20T16:00:00+00:00,2024,Liga I,Romania,Universitatea Craiova,4,2,Uta Arad,Match Finished
2024-07-21T16:00:00+00:00,2024,Liga I,Romania,Universitatea Cluj,3,1,AFC Hermannstadt,Match Finished
2024-07-19T19:00:00+00:00,2024,Liga I,Romania,Unirea Slobozia,2,2,FCSB,Match Finished
2024-07-22T19:00:00+00:00,2024,Liga I,Romania,Oţelul,0,0,Farul Constanta,Match Finished
2024-07-19T16:00:00+00:00,2024,Liga I,Romania,Politehnica Iasi,1,0,FC Botosani,Match Finished
2024-07-27T19:00:00+00:00,2024,Liga I,Romania,Sepsi OSK Sfantu Gheorghe,1,1,Dinamo Bucuresti,Match Finished
2024-07-29T19:00:00+00:00,2024,Liga I,Romania,Petrolul Ploiesti,1,0,Rapid,Match Finished
2024-07-28T19:00:00+00:00,2024,Liga I,Romania,CFR 1907 Cluj,0,2,Universitatea Craiova,Match Finished
2024-07-29T16:00:00+00:00,2024,Liga I,Romania,Uta Arad,0,0,Universitatea Cluj,Match Finished
2024-07-26T16:00:00+00:00,2024,Liga I,Romania,AFC Hermannstadt,1,1,Unirea Slobozia,Match Finished
2024-07-26T19:00:00+00:00,2024,Liga I,Romania,FCSB,0,2,Oţelul,Match Finished
2024-07-28T16:00:00+00:00,2024,Liga I,Romania,Farul Constanta,0,1,FC Botosani,Match Finished
2024-07-27T16:00:00+00:00,2024,Liga I,Romania,Politehnica Iasi,1,2,SCM Gloria Buzău,Match Finished
2024-08-05T19:00:00+00:00,2024,Liga I,Romania,Rapid,2,2,Sepsi OSK Sfantu Gheorghe,Match Finished
2024-08-04T16:00:00+00:00,2024,Liga I,Romania,Universitatea Craiova,0,0,Petrolul Ploiesti,Match Finished
2024-12-07T00:00:00+00:00,2024,Liga I,Romania,Universitatea Cluj,,,CFR 1907 Cluj,Time to be defined
2024-08-05T16:00:00+00:00,2024,Liga I,Romania,Unirea Slobozia,0,1,Uta Arad,Match Finished
2024-08-02T16:00:00+00:00,2024,Liga I,Romania,Oţelul,1,0,AFC Hermannstadt,Match Finished
2024-09-18T19:00:00+00:00,2024,Liga I,Romania,FC Botosani,,,FCSB,Time to be defined
2024-08-02T19:00:00+00:00,2024,Liga I,Romania,Dinamo Bucuresti,4,1,SCM Gloria Buzău,Match Finished
2024-08-03T18:00:00+00:00,2024,Liga I,Romania,Farul Constanta,2,0,Politehnica Iasi,Match Finished
2024-08-11T16:00:00+00:00,2024,Liga I,Romania,Sepsi OSK Sfantu Gheorghe,1,2,Universitatea Craiova,Match Finished
2024-08-12T16:00:00+00:00,2024,Liga I,Romania,Petrolul Ploiesti,0,0,Universitatea Cluj,Match Finished
2024-08-11T19:00:00+00:00,2024,Liga I,Romania,CFR 1907 Cluj,3,0,Unirea Slobozia,Match Finished
2024-08-10T16:00:00+00:00,2024,Liga I,Romania,Uta Arad,1,1,Oţelul,Match Finished
2024-08-10T14:00:00+00:00,2024,Liga I,Romania,AFC Hermannstadt,2,1,FC Botosani,Match Finished
2024-08-10T19:00:00+00:00,2024,Liga I,Romania,SCM Gloria Buzău,1,1,Rapid,Match Finished
