date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-22T16:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Ramat Gan,,,Hapoel Kfar Saba,Not Started
2024-08-22T16:00:00+00:00,2024,Liga Leumit,Israel,Maccabi Kabilio Jaffa,,,Maccabi Herzliya,Not Started
2024-08-22T16:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Afula,,,Hapoel Acre,Not Started
2024-08-26T16:00:00+00:00,2024,Liga Leumit,Israel,Bnei Yehuda,,,Kafr Qasim,Not Started
2024-08-26T16:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Rishon LeZion,,,Hapoel Tel Aviv,Not Started
2024-08-26T16:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Petah Tikva,,,Hapoel Umm al-Fahm,Not Started
2024-08-22T16:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Ramat HaSharon,,,Hapoel Kfar Shalem,Not Started
2024-08-22T16:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Ra'anana,,,Hapoel Nazareth Illit,Not Started
2024-08-29T16:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Nazareth Illit,,,Hapoel Ramat Gan,Not Started
2024-08-29T16:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Kfar Shalem,,,Hapoel Ra'anana,Not Started
2024-09-02T16:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Umm al-Fahm,,,Hapoel Ramat HaSharon,Not Started
2024-08-29T16:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Tel Aviv,,,Hapoel Petah Tikva,Not Started
2024-08-29T16:00:00+00:00,2024,Liga Leumit,Israel,Kafr Qasim,,,Hapoel Rishon LeZion,Not Started
2024-08-29T16:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Acre,,,Bnei Yehuda,Not Started
2024-09-02T16:00:00+00:00,2024,Liga Leumit,Israel,Maccabi Herzliya,,,Hapoel Afula,Not Started
2024-09-02T16:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Kfar Saba,,,Maccabi Kabilio Jaffa,Not Started
2024-09-05T00:00:00+00:00,2024,Liga Leumit,Israel,Maccabi Kabilio Jaffa,,,Hapoel Ramat Gan,Time to be defined
2024-09-05T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Afula,,,Hapoel Kfar Saba,Time to be defined
2024-09-05T00:00:00+00:00,2024,Liga Leumit,Israel,Bnei Yehuda,,,Maccabi Herzliya,Time to be defined
2024-09-05T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Rishon LeZion,,,Hapoel Acre,Time to be defined
2024-09-05T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Petah Tikva,,,Kafr Qasim,Time to be defined
2024-09-05T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Ramat HaSharon,,,Hapoel Tel Aviv,Time to be defined
2024-09-05T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Ra'anana,,,Hapoel Umm al-Fahm,Time to be defined
2024-09-05T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Nazareth Illit,,,Hapoel Kfar Shalem,Time to be defined
2024-09-12T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Ramat Gan,,,Hapoel Kfar Shalem,Time to be defined
2024-09-12T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Umm al-Fahm,,,Hapoel Nazareth Illit,Time to be defined
2024-09-12T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Tel Aviv,,,Hapoel Ra'anana,Time to be defined
2024-09-12T00:00:00+00:00,2024,Liga Leumit,Israel,Kafr Qasim,,,Hapoel Ramat HaSharon,Time to be defined
2024-09-12T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Acre,,,Hapoel Petah Tikva,Time to be defined
2024-09-12T00:00:00+00:00,2024,Liga Leumit,Israel,Maccabi Herzliya,,,Hapoel Rishon LeZion,Time to be defined
2024-09-12T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Kfar Saba,,,Bnei Yehuda,Time to be defined
2024-09-12T00:00:00+00:00,2024,Liga Leumit,Israel,Maccabi Kabilio Jaffa,,,Hapoel Afula,Time to be defined
2024-09-19T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Afula,,,Hapoel Ramat Gan,Time to be defined
2024-09-19T00:00:00+00:00,2024,Liga Leumit,Israel,Bnei Yehuda,,,Maccabi Kabilio Jaffa,Time to be defined
2024-09-19T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Rishon LeZion,,,Hapoel Kfar Saba,Time to be defined
2024-09-19T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Petah Tikva,,,Maccabi Herzliya,Time to be defined
2024-09-19T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Ramat HaSharon,,,Hapoel Acre,Time to be defined
2024-09-19T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Ra'anana,,,Kafr Qasim,Time to be defined
2024-09-19T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Nazareth Illit,,,Hapoel Tel Aviv,Time to be defined
2024-09-19T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Kfar Shalem,,,Hapoel Umm al-Fahm,Time to be defined
2024-09-26T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Ramat Gan,,,Hapoel Umm al-Fahm,Time to be defined
2024-09-26T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Tel Aviv,,,Hapoel Kfar Shalem,Time to be defined
2024-09-26T00:00:00+00:00,2024,Liga Leumit,Israel,Kafr Qasim,,,Hapoel Nazareth Illit,Time to be defined
2024-09-26T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Acre,,,Hapoel Ra'anana,Time to be defined
2024-09-26T00:00:00+00:00,2024,Liga Leumit,Israel,Maccabi Herzliya,,,Hapoel Ramat HaSharon,Time to be defined
2024-09-26T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Kfar Saba,,,Hapoel Petah Tikva,Time to be defined
2024-09-26T00:00:00+00:00,2024,Liga Leumit,Israel,Maccabi Kabilio Jaffa,,,Hapoel Rishon LeZion,Time to be defined
2024-09-26T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Afula,,,Bnei Yehuda,Time to be defined
2024-10-06T00:00:00+00:00,2024,Liga Leumit,Israel,Bnei Yehuda,,,Hapoel Ramat Gan,Time to be defined
2024-10-06T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Rishon LeZion,,,Hapoel Afula,Time to be defined
2024-10-06T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Petah Tikva,,,Maccabi Kabilio Jaffa,Time to be defined
2024-10-06T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Ramat HaSharon,,,Hapoel Kfar Saba,Time to be defined
2024-10-06T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Ra'anana,,,Maccabi Herzliya,Time to be defined
2024-10-06T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Nazareth Illit,,,Hapoel Acre,Time to be defined
2024-10-06T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Kfar Shalem,,,Kafr Qasim,Time to be defined
2024-10-06T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Umm al-Fahm,,,Hapoel Tel Aviv,Time to be defined
2024-10-14T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Ramat Gan,,,Hapoel Tel Aviv,Time to be defined
2024-10-14T00:00:00+00:00,2024,Liga Leumit,Israel,Kafr Qasim,,,Hapoel Umm al-Fahm,Time to be defined
2024-10-14T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Acre,,,Hapoel Kfar Shalem,Time to be defined
2024-10-14T00:00:00+00:00,2024,Liga Leumit,Israel,Maccabi Herzliya,,,Hapoel Nazareth Illit,Time to be defined
2024-10-14T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Kfar Saba,,,Hapoel Ra'anana,Time to be defined
2024-10-14T00:00:00+00:00,2024,Liga Leumit,Israel,Maccabi Kabilio Jaffa,,,Hapoel Ramat HaSharon,Time to be defined
2024-10-14T00:00:00+00:00,2024,Liga Leumit,Israel,Hapoel Afula,,,Hapoel Petah Tikva,Time to be defined
2024-10-14T00:00:00+00:00,2024,Liga Leumit,Israel,Bnei Yehuda,,,Hapoel Rishon LeZion,Time to be defined
