date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-05-11T22:45:00+00:00,2024,Liga Profesional Argentina,Argentina,River Plate,3,0,Central Cordoba de Santiago,Match Finished
2024-05-12T20:45:00+00:00,2024,Liga Profesional Argentina,Argentina,Belgrano Cordoba,4,4,Racing Club,Match Finished
2024-05-11T00:15:00+00:00,2024,Liga Profesional Argentina,Argentina,Argentinos JRS,3,2,Rosario Central,Match Finished
2024-05-12T18:30:00+00:00,2024,Liga Profesional Argentina,Argentina,Tigre,0,1,Estudiantes L.P.,Match Finished
2024-05-12T18:30:00+00:00,2024,Liga Profesional Argentina,Argentina,Deportivo Riestra,1,0,San Lorenzo,Match Finished
2024-05-12T20:45:00+00:00,2024,Liga Profesional Argentina,Argentina,Lanus,0,2,Independ. Rivadavia,Match Finished
2024-05-11T18:30:00+00:00,2024,Liga Profesional Argentina,Argentina,Godoy Cruz,0,1,Barracas Central,Match Finished
2024-05-10T22:00:00+00:00,2024,Liga Profesional Argentina,Argentina,Sarmiento Junin,1,2,Instituto Cordoba,Match Finished
2024-05-14T00:00:00+00:00,2024,Liga Profesional Argentina,Argentina,Union Santa Fe,1,0,Banfield,Match Finished
2024-05-11T17:30:00+00:00,2024,Liga Profesional Argentina,Argentina,Huracan,3,1,Defensa Y Justicia,Match Finished
2024-05-13T22:00:00+00:00,2024,Liga Profesional Argentina,Argentina,Gimnasia L.P.,3,1,Velez Sarsfield,Match Finished
2024-05-11T00:15:00+00:00,2024,Liga Profesional Argentina,Argentina,Newells Old Boys,2,0,Platense,Match Finished
2024-05-11T20:30:00+00:00,2024,Liga Profesional Argentina,Argentina,Independiente,1,3,Talleres Cordoba,Match Finished
2024-05-12T23:15:00+00:00,2024,Liga Profesional Argentina,Argentina,Atletico Tucuman,1,0,Boca Juniors,Match Finished
2024-05-19T23:00:00+00:00,2024,Liga Profesional Argentina,Argentina,Central Cordoba de Santiago,2,4,Boca Juniors,Match Finished
2024-05-19T20:45:00+00:00,2024,Liga Profesional Argentina,Argentina,Talleres Cordoba,2,0,Atletico Tucuman,Match Finished
2024-05-19T18:30:00+00:00,2024,Liga Profesional Argentina,Argentina,Platense,0,0,Independiente,Match Finished
2024-05-21T23:00:00+00:00,2024,Liga Profesional Argentina,Argentina,Velez Sarsfield,1,0,Newells Old Boys,Match Finished
2024-05-18T23:00:00+00:00,2024,Liga Profesional Argentina,Argentina,Defensa Y Justicia,1,1,Gimnasia L.P.,Match Finished
2024-05-19T20:45:00+00:00,2024,Liga Profesional Argentina,Argentina,Banfield,1,1,Huracan,Match Finished
2024-05-18T23:30:00+00:00,2024,Liga Profesional Argentina,Argentina,Instituto Cordoba,1,1,Union Santa Fe,Match Finished
2024-05-19T18:00:00+00:00,2024,Liga Profesional Argentina,Argentina,Barracas Central,1,1,Sarmiento Junin,Match Finished
2024-05-18T18:30:00+00:00,2024,Liga Profesional Argentina,Argentina,Independ. Rivadavia,0,0,Godoy Cruz,Match Finished
2024-05-20T22:00:00+00:00,2024,Liga Profesional Argentina,Argentina,San Lorenzo,1,1,Lanus,Match Finished
2024-05-20T22:00:00+00:00,2024,Liga Profesional Argentina,Argentina,Estudiantes L.P.,2,0,Deportivo Riestra,Match Finished
