date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-24T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Bnei Raina,,,Maccabi Netanya,Time to be defined
2024-08-24T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Haifa,,,Ironi Tiberias,Time to be defined
2024-08-24T00:00:00+00:00,2024,Ligat Ha'al,Israel,Beitar Jerusalem,,,Ashdod,Time to be defined
2024-08-24T00:00:00+00:00,2024,Ligat Ha'al,Israel,Ironi Kiryat Shmona,,,Hapoel Beer Sheva,Time to be defined
2024-08-24T00:00:00+00:00,2024,Ligat Ha'al,Israel,Bnei Sakhnin,,,Maccabi Petah Tikva,Time to be defined
2024-08-24T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Tel Aviv,,,Hapoel Katamon,Time to be defined
2024-08-24T00:00:00+00:00,2024,Ligat Ha'al,Israel,Hapoel Hadera,,,Hapoel Haifa,Time to be defined
2024-08-31T00:00:00+00:00,2024,Ligat Ha'al,Israel,Hapoel Haifa,,,Maccabi Bnei Raina,Time to be defined
2024-08-31T00:00:00+00:00,2024,Ligat Ha'al,Israel,Hapoel Katamon,,,Hapoel Hadera,Time to be defined
2024-08-31T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Petah Tikva,,,Maccabi Tel Aviv,Time to be defined
2024-08-31T00:00:00+00:00,2024,Ligat Ha'al,Israel,Hapoel Beer Sheva,,,Bnei Sakhnin,Time to be defined
2024-08-31T00:00:00+00:00,2024,Ligat Ha'al,Israel,Ashdod,,,Ironi Kiryat Shmona,Time to be defined
2024-08-31T00:00:00+00:00,2024,Ligat Ha'al,Israel,Ironi Tiberias,,,Beitar Jerusalem,Time to be defined
2024-08-31T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Netanya,,,Maccabi Haifa,Time to be defined
2024-09-14T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Bnei Raina,,,Maccabi Haifa,Time to be defined
2024-09-14T00:00:00+00:00,2024,Ligat Ha'al,Israel,Beitar Jerusalem,,,Maccabi Netanya,Time to be defined
2024-09-14T00:00:00+00:00,2024,Ligat Ha'al,Israel,Ironi Kiryat Shmona,,,Ironi Tiberias,Time to be defined
2024-09-14T00:00:00+00:00,2024,Ligat Ha'al,Israel,Bnei Sakhnin,,,Ashdod,Time to be defined
2024-09-14T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Tel Aviv,,,Hapoel Beer Sheva,Time to be defined
2024-09-14T00:00:00+00:00,2024,Ligat Ha'al,Israel,Hapoel Hadera,,,Maccabi Petah Tikva,Time to be defined
2024-09-14T00:00:00+00:00,2024,Ligat Ha'al,Israel,Hapoel Haifa,,,Hapoel Katamon,Time to be defined
2024-09-21T00:00:00+00:00,2024,Ligat Ha'al,Israel,Hapoel Katamon,,,Maccabi Bnei Raina,Time to be defined
2024-09-21T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Petah Tikva,,,Hapoel Haifa,Time to be defined
2024-09-21T00:00:00+00:00,2024,Ligat Ha'al,Israel,Hapoel Beer Sheva,,,Hapoel Hadera,Time to be defined
2024-09-21T00:00:00+00:00,2024,Ligat Ha'al,Israel,Ashdod,,,Maccabi Tel Aviv,Time to be defined
2024-09-21T00:00:00+00:00,2024,Ligat Ha'al,Israel,Ironi Tiberias,,,Bnei Sakhnin,Time to be defined
2024-09-21T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Netanya,,,Ironi Kiryat Shmona,Time to be defined
2024-09-21T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Haifa,,,Beitar Jerusalem,Time to be defined
2024-09-28T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Bnei Raina,,,Beitar Jerusalem,Time to be defined
2024-09-28T00:00:00+00:00,2024,Ligat Ha'al,Israel,Ironi Kiryat Shmona,,,Maccabi Haifa,Time to be defined
2024-09-28T00:00:00+00:00,2024,Ligat Ha'al,Israel,Bnei Sakhnin,,,Maccabi Netanya,Time to be defined
2024-09-28T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Tel Aviv,,,Ironi Tiberias,Time to be defined
2024-09-28T00:00:00+00:00,2024,Ligat Ha'al,Israel,Hapoel Hadera,,,Ashdod,Time to be defined
2024-09-28T00:00:00+00:00,2024,Ligat Ha'al,Israel,Hapoel Haifa,,,Hapoel Beer Sheva,Time to be defined
2024-09-28T00:00:00+00:00,2024,Ligat Ha'al,Israel,Hapoel Katamon,,,Maccabi Petah Tikva,Time to be defined
2024-10-05T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Petah Tikva,,,Maccabi Bnei Raina,Time to be defined
2024-10-05T00:00:00+00:00,2024,Ligat Ha'al,Israel,Hapoel Beer Sheva,,,Hapoel Katamon,Time to be defined
2024-10-05T00:00:00+00:00,2024,Ligat Ha'al,Israel,Ashdod,,,Hapoel Haifa,Time to be defined
2024-10-05T00:00:00+00:00,2024,Ligat Ha'al,Israel,Ironi Tiberias,,,Hapoel Hadera,Time to be defined
2024-10-05T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Netanya,,,Maccabi Tel Aviv,Time to be defined
2024-10-05T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Haifa,,,Bnei Sakhnin,Time to be defined
2024-10-05T00:00:00+00:00,2024,Ligat Ha'al,Israel,Beitar Jerusalem,,,Ironi Kiryat Shmona,Time to be defined
2024-10-19T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Bnei Raina,,,Ironi Kiryat Shmona,Time to be defined
2024-10-19T00:00:00+00:00,2024,Ligat Ha'al,Israel,Bnei Sakhnin,,,Beitar Jerusalem,Time to be defined
2024-10-19T00:00:00+00:00,2024,Ligat Ha'al,Israel,Maccabi Tel Aviv,,,Maccabi Haifa,Time to be defined
2024-10-19T00:00:00+00:00,2024,Ligat Ha'al,Israel,Hapoel Hadera,,,Maccabi Netanya,Time to be defined
2024-10-19T00:00:00+00:00,2024,Ligat Ha'al,Israel,Hapoel Haifa,,,Ironi Tiberias,Time to be defined
