date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-17T15:00:00+00:00,2024,Ligue 1,France,Stade Brestois 29,,,Marseille,Not Started
2024-08-18T15:00:00+00:00,2024,Ligue 1,France,Montpellier,,,Strasbourg,Not Started
2024-08-18T15:00:00+00:00,2024,Ligue 1,France,Toulouse,,,Nantes,Not Started
2024-08-18T15:00:00+00:00,2024,Ligue 1,France,Angers,,,Lens,Not Started
2024-08-17T19:00:00+00:00,2024,Ligue 1,France,Monaco,,,Saint Etienne,Not Started
2024-08-17T17:00:00+00:00,2024,Ligue 1,France,Reims,,,Lille,Not Started
2024-08-18T13:00:00+00:00,2024,Ligue 1,France,Auxerre,,,Nice,Not Started
2024-08-16T18:45:00+00:00,2024,Ligue 1,France,LE Havre,,,Paris Saint Germain,Not Started
2024-08-18T18:45:00+00:00,2024,Ligue 1,France,Rennes,,,Lyon,Not Started
2024-08-23T18:45:00+00:00,2024,Ligue 1,France,Paris Saint Germain,,,Montpellier,Not Started
2024-08-25T15:00:00+00:00,2024,Ligue 1,France,Strasbourg,,,Rennes,Not Started
2024-08-25T15:00:00+00:00,2024,Ligue 1,France,Nantes,,,Auxerre,Not Started
2024-08-24T19:00:00+00:00,2024,Ligue 1,France,Saint Etienne,,,LE Havre,Not Started
2024-08-24T17:00:00+00:00,2024,Ligue 1,France,Lille,,,Angers,Not Started
2024-08-25T15:00:00+00:00,2024,Ligue 1,France,Nice,,,Toulouse,Not Started
2024-08-25T13:00:00+00:00,2024,Ligue 1,France,Lens,,,Stade Brestois 29,Not Started
2024-08-24T15:00:00+00:00,2024,Ligue 1,France,Lyon,,,Monaco,Not Started
2024-08-25T18:45:00+00:00,2024,Ligue 1,France,Marseille,,,Reims,Not Started
2024-09-01T18:45:00+00:00,2024,Ligue 1,France,Lille,,,Paris Saint Germain,Not Started
2024-08-30T18:45:00+00:00,2024,Ligue 1,France,Lyon,,,Strasbourg,Not Started
2024-08-31T15:00:00+00:00,2024,Ligue 1,France,Stade Brestois 29,,,Saint Etienne,Not Started
2024-08-31T17:00:00+00:00,2024,Ligue 1,France,Montpellier,,,Nantes,Not Started
2024-09-01T15:00:00+00:00,2024,Ligue 1,France,Angers,,,Nice,Not Started
2024-09-01T13:00:00+00:00,2024,Ligue 1,France,Monaco,,,Lens,Not Started
2024-09-01T15:00:00+00:00,2024,Ligue 1,France,LE Havre,,,Auxerre,Not Started
2024-09-01T15:00:00+00:00,2024,Ligue 1,France,Reims,,,Rennes,Not Started
2024-08-31T19:00:00+00:00,2024,Ligue 1,France,Toulouse,,,Marseille,Not Started
2024-09-15T00:00:00+00:00,2024,Ligue 1,France,Auxerre,,,Monaco,Time to be defined
2024-09-15T00:00:00+00:00,2024,Ligue 1,France,Rennes,,,Montpellier,Time to be defined
2024-09-15T00:00:00+00:00,2024,Ligue 1,France,Lens,,,Lyon,Time to be defined
2024-09-15T00:00:00+00:00,2024,Ligue 1,France,Nantes,,,Reims,Time to be defined
2024-09-15T00:00:00+00:00,2024,Ligue 1,France,Toulouse,,,LE Havre,Time to be defined
2024-09-15T00:00:00+00:00,2024,Ligue 1,France,Strasbourg,,,Angers,Time to be defined
