date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-28T17:00:00+00:00,2024,NB II,Hungary,Csakvar,3,2,Kazincbarcikai,Match Finished
2024-07-28T17:00:00+00:00,2024,NB II,Hungary,Mezokovesd-zsory,0,0,BVSC,Match Finished
2024-07-28T17:00:00+00:00,2024,NB II,Hungary,Soroksar,1,2,Gyirmot SE,Match Finished
2024-07-28T17:00:00+00:00,2024,NB II,Hungary,Ajka,0,1,Szentlőrinc SE,Match Finished
2024-07-28T17:00:00+00:00,2024,NB II,Hungary,Kozarmisleny FC,1,1,Bekescsaba 1912,Match Finished
2024-07-28T17:00:00+00:00,2024,NB II,Hungary,Tatabánya,3,2,Szeged 2011,Match Finished
2024-07-28T15:30:00+00:00,2024,NB II,Hungary,Budafoki LC,3,3,Budapest Honved,Match Finished
2024-07-28T17:00:00+00:00,2024,NB II,Hungary,Vasas,3,1,Kisvarda FC,Match Finished
2024-08-04T17:00:00+00:00,2024,NB II,Hungary,Budapest Honved,1,0,Tatabánya,Match Finished
2024-08-04T17:00:00+00:00,2024,NB II,Hungary,Bekescsaba 1912,3,0,Ajka,Match Finished
2024-08-04T17:00:00+00:00,2024,NB II,Hungary,Gyirmot SE,2,0,Mezokovesd-zsory,Match Finished
2024-08-04T17:00:00+00:00,2024,NB II,Hungary,Csakvar,0,1,BVSC,Match Finished
2025-02-16T17:00:00+00:00,2024,NB II,Hungary,Kazincbarcikai,,,Vasas,Time to be defined
2024-08-04T15:30:00+00:00,2024,NB II,Hungary,Szentlőrinc SE,3,1,Soroksar,Match Finished
2024-08-04T17:00:00+00:00,2024,NB II,Hungary,Kisvarda FC,1,2,Budafoki LC,Match Finished
2025-02-16T17:00:00+00:00,2024,NB II,Hungary,Szeged 2011,,,Kozarmisleny FC,Time to be defined
2024-08-11T17:00:00+00:00,2024,NB II,Hungary,Csakvar,1,2,Gyirmot SE,Match Finished
2024-08-11T17:00:00+00:00,2024,NB II,Hungary,Mezokovesd-zsory,1,3,Szentlőrinc SE,Match Finished
2024-08-11T17:00:00+00:00,2024,NB II,Hungary,Soroksar,0,0,Bekescsaba 1912,Match Finished
2024-08-11T17:00:00+00:00,2024,NB II,Hungary,Ajka,0,0,Szeged 2011,Match Finished
2024-08-11T17:00:00+00:00,2024,NB II,Hungary,Kozarmisleny FC,2,0,Budapest Honved,Match Finished
2024-08-11T17:00:00+00:00,2024,NB II,Hungary,Tatabánya,0,1,Kisvarda FC,Match Finished
2024-08-12T18:00:00+00:00,2024,NB II,Hungary,Budafoki LC,0,1,Vasas,Match Finished
2024-08-11T17:00:00+00:00,2024,NB II,Hungary,Kazincbarcikai,0,1,BVSC,Match Finished
