date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-26T18:15:00+00:00,2024,NB I,Hungary,Nyiregyhaza,2,1,Gyori ETO FC,Match Finished
2024-07-26T16:00:00+00:00,2024,NB I,Hungary,Zalaegerszegi TE,0,1,MTK Budapest,Match Finished
2024-07-28T16:50:00+00:00,2024,NB I,Hungary,Ujpest,1,2,Puskas Academy,Match Finished
2024-07-28T16:50:00+00:00,2024,NB I,Hungary,Diosgyori VTK,2,2,Paks,Match Finished
2024-07-28T16:50:00+00:00,2024,NB I,Hungary,Kecskeméti TE,0,0,Fehérvár FC,Match Finished
2024-12-04T18:00:00+00:00,2024,NB I,Hungary,Debreceni VSC,,,Ferencvarosi TC,Not Started
2024-08-03T17:45:00+00:00,2024,NB I,Hungary,Ferencvarosi TC,1,0,Kecskeméti TE,Match Finished
2024-08-03T14:00:00+00:00,2024,NB I,Hungary,Fehérvár FC,3,1,Diosgyori VTK,Match Finished
2024-08-04T16:50:00+00:00,2024,NB I,Hungary,Paks,2,1,Ujpest,Match Finished
2024-08-04T16:50:00+00:00,2024,NB I,Hungary,Puskas Academy,2,1,Zalaegerszegi TE,Match Finished
2024-08-03T17:45:00+00:00,2024,NB I,Hungary,MTK Budapest,3,0,Nyiregyhaza,Match Finished
2024-08-02T16:50:00+00:00,2024,NB I,Hungary,Gyori ETO FC,0,3,Debreceni VSC,Match Finished
2024-08-10T17:45:00+00:00,2024,NB I,Hungary,Zalaegerszegi TE,3,1,Paks,Match Finished
2024-08-11T16:00:00+00:00,2024,NB I,Hungary,Ujpest,4,1,Fehérvár FC,Match Finished
2024-08-10T14:00:00+00:00,2024,NB I,Hungary,Diosgyori VTK,0,2,Ferencvarosi TC,Match Finished
2024-08-09T16:50:00+00:00,2024,NB I,Hungary,Kecskeméti TE,1,1,Debreceni VSC,Match Finished
2024-08-11T13:45:00+00:00,2024,NB I,Hungary,Gyori ETO FC,1,2,MTK Budapest,Match Finished
2024-08-16T18:00:00+00:00,2024,NB I,Hungary,Kecskeméti TE,,,Gyori ETO FC,Not Started
2024-08-17T15:00:00+00:00,2024,NB I,Hungary,Debreceni VSC,,,Diosgyori VTK,Not Started
2024-08-17T17:30:00+00:00,2024,NB I,Hungary,Ferencvarosi TC,,,Ujpest,Not Started
2024-08-18T13:30:00+00:00,2024,NB I,Hungary,Fehérvár FC,,,Zalaegerszegi TE,Not Started
2024-08-18T15:45:00+00:00,2024,NB I,Hungary,Paks,,,Nyiregyhaza,Not Started
2024-08-18T18:00:00+00:00,2024,NB I,Hungary,Puskas Academy,,,MTK Budapest,Not Started
2024-08-24T00:00:00+00:00,2024,NB I,Hungary,Nyiregyhaza,,,Fehérvár FC,Time to be defined
2024-08-24T00:00:00+00:00,2024,NB I,Hungary,Zalaegerszegi TE,,,Ferencvarosi TC,Time to be defined
2024-08-24T00:00:00+00:00,2024,NB I,Hungary,Ujpest,,,Debreceni VSC,Time to be defined
2024-08-24T00:00:00+00:00,2024,NB I,Hungary,Diosgyori VTK,,,Kecskeméti TE,Time to be defined
2024-08-24T00:00:00+00:00,2024,NB I,Hungary,MTK Budapest,,,Paks,Time to be defined
2024-08-24T00:00:00+00:00,2024,NB I,Hungary,Gyori ETO FC,,,Puskas Academy,Time to be defined
2024-08-31T00:00:00+00:00,2024,NB I,Hungary,Diosgyori VTK,,,Gyori ETO FC,Time to be defined
2024-08-31T00:00:00+00:00,2024,NB I,Hungary,Kecskeméti TE,,,Ujpest,Time to be defined
2024-08-31T00:00:00+00:00,2024,NB I,Hungary,Debreceni VSC,,,Zalaegerszegi TE,Time to be defined
2024-08-31T00:00:00+00:00,2024,NB I,Hungary,Fehérvár FC,,,MTK Budapest,Time to be defined
2024-08-31T00:00:00+00:00,2024,NB I,Hungary,Paks,,,Puskas Academy,Time to be defined
2024-09-21T00:00:00+00:00,2024,NB I,Hungary,Zalaegerszegi TE,,,Kecskeméti TE,Time to be defined
2024-09-21T00:00:00+00:00,2024,NB I,Hungary,Ujpest,,,Diosgyori VTK,Time to be defined
2024-09-21T00:00:00+00:00,2024,NB I,Hungary,Puskas Academy,,,Fehérvár FC,Time to be defined
