date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-10T14:00:00+00:00,2024,National League - North,England,Brackley Town,0,3,Scunthorpe,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - North,England,Buxton,2,1,Leamington,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - North,England,Curzon Ashton,3,0,Needham Market,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - North,England,Darlington 1883,1,2,Kidderminster Harriers,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - North,England,Hereford,3,0,South Shields,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - North,England,King's Lynn Town,3,1,Warrington Town,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - North,England,Marine,1,1,Oxford City,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - North,England,Peterborough Sports,0,1,Chorley,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - North,England,Radcliffe,3,3,Scarborough Athletic,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - North,England,Rushall Olympic,2,3,Farsley Celtic FC,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - North,England,Southport,3,1,Alfreton Town,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - North,England,Spennymoor Town,3,0,Chester,Match Finished
2024-08-17T14:00:00+00:00,2024,National League - North,England,Alfreton Town,,,King's Lynn Town,Not Started
2024-08-17T14:00:00+00:00,2024,National League - North,England,Chester,,,Brackley Town,Not Started
2024-08-17T14:00:00+00:00,2024,National League - North,England,Chorley,,,Hereford,Not Started
2024-12-14T15:00:00+00:00,2024,National League - North,England,Farsley Celtic FC,,,Buxton,Not Started
2024-08-17T14:00:00+00:00,2024,National League - North,England,Kidderminster Harriers,,,Radcliffe,Not Started
2024-08-17T14:00:00+00:00,2024,National League - North,England,Leamington,,,Spennymoor Town,Not Started
2024-08-17T14:00:00+00:00,2024,National League - North,England,Needham Market,,,Southport,Not Started
2024-08-17T14:00:00+00:00,2024,National League - North,England,Oxford City,,,Darlington 1883,Not Started
2024-08-17T14:00:00+00:00,2024,National League - North,England,Scarborough Athletic,,,Rushall Olympic,Not Started
2024-08-17T14:00:00+00:00,2024,National League - North,England,Scunthorpe,,,Marine,Not Started
2024-08-17T14:00:00+00:00,2024,National League - North,England,South Shields,,,Curzon Ashton,Not Started
2024-08-17T14:00:00+00:00,2024,National League - North,England,Warrington Town,,,Peterborough Sports,Not Started
2024-08-20T18:45:00+00:00,2024,National League - North,England,Buxton,,,Darlington 1883,Not Started
2024-08-20T18:45:00+00:00,2024,National League - North,England,Chester,,,Radcliffe,Not Started
2024-08-20T18:45:00+00:00,2024,National League - North,England,Chorley,,,Scarborough Athletic,Not Started
2024-08-20T18:45:00+00:00,2024,National League - North,England,Curzon Ashton,,,Oxford City,Not Started
2025-01-28T19:45:00+00:00,2024,National League - North,England,Farsley Celtic FC,,,Marine,Not Started
2024-08-20T18:45:00+00:00,2024,National League - North,England,Hereford,,,Peterborough Sports,Not Started
2024-08-20T18:45:00+00:00,2024,National League - North,England,Kidderminster Harriers,,,Brackley Town,Not Started
2024-08-20T18:45:00+00:00,2024,National League - North,England,King's Lynn Town,,,Rushall Olympic,Not Started
2024-08-20T18:45:00+00:00,2024,National League - North,England,Leamington,,,Alfreton Town,Not Started
2024-08-20T18:45:00+00:00,2024,National League - North,England,Needham Market,,,Scunthorpe,Not Started
2024-08-20T18:45:00+00:00,2024,National League - North,England,South Shields,,,Warrington Town,Not Started
2024-08-20T18:45:00+00:00,2024,National League - North,England,Spennymoor Town,,,Southport,Not Started
2024-08-24T14:00:00+00:00,2024,National League - North,England,Alfreton Town,,,Chester,Not Started
2024-08-24T14:00:00+00:00,2024,National League - North,England,Brackley Town,,,Curzon Ashton,Not Started
2024-08-24T14:00:00+00:00,2024,National League - North,England,Darlington 1883,,,Leamington,Not Started
2024-08-24T14:00:00+00:00,2024,National League - North,England,Marine,,,King's Lynn Town,Not Started
2024-08-24T14:00:00+00:00,2024,National League - North,England,Oxford City,,,South Shields,Not Started
2024-08-24T14:00:00+00:00,2024,National League - North,England,Peterborough Sports,,,Buxton,Not Started
2024-08-24T14:00:00+00:00,2024,National League - North,England,Radcliffe,,,Needham Market,Not Started
2024-08-24T14:00:00+00:00,2024,National League - North,England,Rushall Olympic,,,Spennymoor Town,Not Started
2024-08-24T14:00:00+00:00,2024,National League - North,England,Scarborough Athletic,,,Farsley Celtic FC,Not Started
2024-08-24T14:00:00+00:00,2024,National League - North,England,Scunthorpe,,,Chorley,Not Started
2024-08-24T14:00:00+00:00,2024,National League - North,England,Southport,,,Hereford,Not Started
