date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-10T14:00:00+00:00,2024,National League - South,England,Boreham Wood,1,0,Bath City,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - South,England,Chippenham Town,1,2,Farnborough,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - South,England,Eastbourne Borough,1,1,Chesham United,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - South,England,Hampton & Richmond,1,3,AFC Hornchurch,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - South,England,Hemel Hempstead Town,2,2,Salisbury,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - South,England,Slough Town,2,1,Chelmsford City,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - South,England,St Albans City,0,1,Maidstone Utd,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - South,England,Tonbridge Angels,3,2,Weymouth,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - South,England,Torquay,2,1,Enfield Town,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - South,England,Truro City,1,2,Dorking Wanderers,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - South,England,Welling United,1,0,Aveley,Match Finished
2024-08-10T14:00:00+00:00,2024,National League - South,England,Weston-super-Mare,3,4,Worthing,Match Finished
2024-08-17T14:00:00+00:00,2024,National League - South,England,Aveley,,,Tonbridge Angels,Not Started
2024-08-17T14:00:00+00:00,2024,National League - South,England,Bath City,,,Welling United,Not Started
2024-08-17T14:00:00+00:00,2024,National League - South,England,Chelmsford City,,,Hampton & Richmond,Not Started
2024-08-17T14:00:00+00:00,2024,National League - South,England,Chesham United,,,Boreham Wood,Not Started
2024-08-17T14:00:00+00:00,2024,National League - South,England,Dorking Wanderers,,,Chippenham Town,Not Started
2024-08-17T14:00:00+00:00,2024,National League - South,England,Enfield Town,,,Weston-super-Mare,Not Started
2024-08-17T14:00:00+00:00,2024,National League - South,England,Farnborough,,,Torquay,Not Started
2024-08-17T14:00:00+00:00,2024,National League - South,England,AFC Hornchurch,,,Eastbourne Borough,Not Started
2024-08-17T14:00:00+00:00,2024,National League - South,England,Maidstone Utd,,,Truro City,Not Started
2024-08-17T14:00:00+00:00,2024,National League - South,England,Salisbury,,,Slough Town,Not Started
2024-08-17T14:00:00+00:00,2024,National League - South,England,St Albans City,,,Worthing,Not Started
2024-08-17T14:00:00+00:00,2024,National League - South,England,Weymouth,,,Hemel Hempstead Town,Not Started
2024-08-19T18:45:00+00:00,2024,National League - South,England,Aveley,,,Hemel Hempstead Town,Not Started
2024-08-19T18:45:00+00:00,2024,National League - South,England,Chelmsford City,,,Tonbridge Angels,Not Started
2024-08-20T18:45:00+00:00,2024,National League - South,England,Bath City,,,Torquay,Not Started
2024-08-20T18:45:00+00:00,2024,National League - South,England,Chesham United,,,Weston-super-Mare,Not Started
2024-08-20T18:45:00+00:00,2024,National League - South,England,Dorking Wanderers,,,Boreham Wood,Not Started
2024-08-20T18:45:00+00:00,2024,National League - South,England,Enfield Town,,,Slough Town,Not Started
2024-08-20T18:45:00+00:00,2024,National League - South,England,Farnborough,,,Eastbourne Borough,Not Started
2024-08-20T18:45:00+00:00,2024,National League - South,England,AFC Hornchurch,,,St Albans City,Not Started
2024-08-20T18:45:00+00:00,2024,National League - South,England,Maidstone Utd,,,Hampton & Richmond,Not Started
2024-08-20T18:45:00+00:00,2024,National League - South,England,Salisbury,,,Truro City,Not Started
2024-08-20T18:45:00+00:00,2024,National League - South,England,Weymouth,,,Chippenham Town,Not Started
2024-08-24T14:00:00+00:00,2024,National League - South,England,Boreham Wood,,,Weymouth,Not Started
2024-08-24T14:00:00+00:00,2024,National League - South,England,Chippenham Town,,,Maidstone Utd,Not Started
2024-08-24T14:00:00+00:00,2024,National League - South,England,Eastbourne Borough,,,Aveley,Not Started
2024-08-24T14:00:00+00:00,2024,National League - South,England,Hampton & Richmond,,,Salisbury,Not Started
2024-08-24T14:00:00+00:00,2024,National League - South,England,Hemel Hempstead Town,,,Worthing,Not Started
2024-08-24T14:00:00+00:00,2024,National League - South,England,Slough Town,,,AFC Hornchurch,Not Started
2024-08-24T14:00:00+00:00,2024,National League - South,England,St Albans City,,,Chesham United,Not Started
2024-08-24T14:00:00+00:00,2024,National League - South,England,Tonbridge Angels,,,Bath City,Not Started
2024-08-24T14:00:00+00:00,2024,National League - South,England,Torquay,,,Dorking Wanderers,Not Started
2024-08-24T14:00:00+00:00,2024,National League - South,England,Truro City,,,Enfield Town,Not Started
2024-08-24T14:00:00+00:00,2024,National League - South,England,Welling United,,,Farnborough,Not Started
2024-08-24T14:00:00+00:00,2024,National League - South,England,Weston-super-Mare,,,Chelmsford City,Not Started
2024-08-26T14:00:00+00:00,2024,National League - South,England,Aveley,,,Slough Town,Not Started
2024-08-26T14:00:00+00:00,2024,National League - South,England,Bath City,,,Hampton & Richmond,Not Started
2024-08-26T14:00:00+00:00,2024,National League - South,England,Chelmsford City,,,Chippenham Town,Not Started
2024-08-26T14:00:00+00:00,2024,National League - South,England,Chesham United,,,Torquay,Not Started
2024-08-26T14:00:00+00:00,2024,National League - South,England,Dorking Wanderers,,,St Albans City,Not Started
2024-08-26T14:00:00+00:00,2024,National League - South,England,Enfield Town,,,Hemel Hempstead Town,Not Started
2024-08-26T14:00:00+00:00,2024,National League - South,England,Farnborough,,,Tonbridge Angels,Not Started
2024-08-26T14:00:00+00:00,2024,National League - South,England,AFC Hornchurch,,,Welling United,Not Started
2024-08-26T14:00:00+00:00,2024,National League - South,England,Maidstone Utd,,,Weston-super-Mare,Not Started
2024-08-26T14:00:00+00:00,2024,National League - South,England,Salisbury,,,Boreham Wood,Not Started
2024-08-26T14:00:00+00:00,2024,National League - South,England,Weymouth,,,Eastbourne Borough,Not Started
2025-04-05T14:00:00+00:00,2024,National League - South,England,Worthing,,,Truro City,Not Started
2024-08-31T14:00:00+00:00,2024,National League - South,England,Boreham Wood,,,Maidstone Utd,Not Started
2024-08-31T14:00:00+00:00,2024,National League - South,England,Chippenham Town,,,Enfield Town,Not Started
2024-08-31T14:00:00+00:00,2024,National League - South,England,Eastbourne Borough,,,Dorking Wanderers,Not Started
2024-08-31T14:00:00+00:00,2024,National League - South,England,Hampton & Richmond,,,Worthing,Not Started
2024-08-31T14:00:00+00:00,2024,National League - South,England,Hemel Hempstead Town,,,Bath City,Not Started
2024-08-31T14:00:00+00:00,2024,National League - South,England,Slough Town,,,Weymouth,Not Started
2024-08-31T14:00:00+00:00,2024,National League - South,England,St Albans City,,,Farnborough,Not Started
2024-08-31T14:00:00+00:00,2024,National League - South,England,Tonbridge Angels,,,Salisbury,Not Started
2024-08-31T14:00:00+00:00,2024,National League - South,England,Torquay,,,Aveley,Not Started
2024-08-31T14:00:00+00:00,2024,National League - South,England,Truro City,,,Chelmsford City,Not Started
2024-08-31T14:00:00+00:00,2024,National League - South,England,Welling United,,,Chesham United,Not Started
2024-08-31T14:00:00+00:00,2024,National League - South,England,Weston-super-Mare,,,AFC Hornchurch,Not Started
2024-09-02T18:45:00+00:00,2024,National League - South,England,Aveley,,,Dorking Wanderers,Not Started
2024-09-02T18:45:00+00:00,2024,National League - South,England,Hemel Hempstead Town,,,Welling United,Not Started
2024-09-03T18:45:00+00:00,2024,National League - South,England,Bath City,,,Truro City,Not Started
2024-09-03T18:45:00+00:00,2024,National League - South,England,Eastbourne Borough,,,Enfield Town,Not Started
2024-09-03T18:45:00+00:00,2024,National League - South,England,AFC Hornchurch,,,Farnborough,Not Started
2024-09-03T18:45:00+00:00,2024,National League - South,England,Maidstone Utd,,,Chelmsford City,Not Started
2024-09-03T18:45:00+00:00,2024,National League - South,England,Salisbury,,,Chesham United,Not Started
2024-09-03T18:45:00+00:00,2024,National League - South,England,Tonbridge Angels,,,St Albans City,Not Started
2024-09-03T18:45:00+00:00,2024,National League - South,England,Torquay,,,Chippenham Town,Not Started
2024-09-03T18:45:00+00:00,2024,National League - South,England,Weston-super-Mare,,,Slough Town,Not Started
2024-09-03T18:45:00+00:00,2024,National League - South,England,Weymouth,,,Hampton & Richmond,Not Started
2024-09-02T18:45:00+00:00,2024,National League - South,England,Boreham Wood,,,Worthing,Not Started
2024-09-07T14:00:00+00:00,2024,National League - South,England,Chelmsford City,,,Bath City,Not Started
2024-09-07T14:00:00+00:00,2024,National League - South,England,Chesham United,,,Aveley,Not Started
2024-09-07T14:00:00+00:00,2024,National League - South,England,Chippenham Town,,,Tonbridge Angels,Not Started
2024-09-07T14:00:00+00:00,2024,National League - South,England,Dorking Wanderers,,,Weymouth,Not Started
2024-09-07T14:00:00+00:00,2024,National League - South,England,Enfield Town,,,Maidstone Utd,Not Started
2024-09-07T14:00:00+00:00,2024,National League - South,England,Farnborough,,,Salisbury,Not Started
2024-09-07T14:00:00+00:00,2024,National League - South,England,Hampton & Richmond,,,Boreham Wood,Not Started
2024-09-07T14:00:00+00:00,2024,National League - South,England,Slough Town,,,Hemel Hempstead Town,Not Started
2024-09-07T14:00:00+00:00,2024,National League - South,England,St Albans City,,,Weston-super-Mare,Not Started
2024-09-07T14:00:00+00:00,2024,National League - South,England,Truro City,,,Eastbourne Borough,Not Started
2024-09-07T14:00:00+00:00,2024,National League - South,England,Welling United,,,Torquay,Not Started
2024-09-07T14:00:00+00:00,2024,National League - South,England,Worthing,,,AFC Hornchurch,Not Started
2024-09-21T14:00:00+00:00,2024,National League - South,England,Aveley,,,Truro City,Not Started
2024-09-21T14:00:00+00:00,2024,National League - South,England,Bath City,,,Enfield Town,Not Started
2024-09-21T14:00:00+00:00,2024,National League - South,England,Boreham Wood,,,Welling United,Not Started
2024-09-21T14:00:00+00:00,2024,National League - South,England,Eastbourne Borough,,,Slough Town,Not Started
2024-09-21T14:00:00+00:00,2024,National League - South,England,Hemel Hempstead Town,,,Farnborough,Not Started
2024-09-21T14:00:00+00:00,2024,National League - South,England,AFC Hornchurch,,,Chelmsford City,Not Started
2024-09-21T14:00:00+00:00,2024,National League - South,England,Maidstone Utd,,,Chesham United,Not Started
2024-09-21T14:00:00+00:00,2024,National League - South,England,Salisbury,,,Chippenham Town,Not Started
2024-09-21T14:00:00+00:00,2024,National League - South,England,Tonbridge Angels,,,Hampton & Richmond,Not Started
2024-09-21T14:00:00+00:00,2024,National League - South,England,Torquay,,,St Albans City,Not Started
2024-09-21T14:00:00+00:00,2024,National League - South,England,Weston-super-Mare,,,Dorking Wanderers,Not Started
2024-09-21T14:00:00+00:00,2024,National League - South,England,Weymouth,,,Worthing,Not Started
2024-10-05T14:00:00+00:00,2024,National League - South,England,Chelmsford City,,,Eastbourne Borough,Not Started
2024-10-05T14:00:00+00:00,2024,National League - South,England,Chesham United,,,Bath City,Not Started
2024-10-05T14:00:00+00:00,2024,National League - South,England,Chippenham Town,,,Boreham Wood,Not Started
2024-10-05T14:00:00+00:00,2024,National League - South,England,Dorking Wanderers,,,AFC Hornchurch,Not Started
2024-10-05T14:00:00+00:00,2024,National League - South,England,Enfield Town,,,Weymouth,Not Started
2024-10-05T14:00:00+00:00,2024,National League - South,England,Farnborough,,,Aveley,Not Started
2024-10-05T14:00:00+00:00,2024,National League - South,England,Hampton & Richmond,,,Torquay,Not Started
2024-10-05T14:00:00+00:00,2024,National League - South,England,Slough Town,,,Tonbridge Angels,Not Started
2024-10-05T14:00:00+00:00,2024,National League - South,England,St Albans City,,,Salisbury,Not Started
2024-10-05T14:00:00+00:00,2024,National League - South,England,Truro City,,,Hemel Hempstead Town,Not Started
2024-10-05T14:00:00+00:00,2024,National League - South,England,Welling United,,,Weston-super-Mare,Not Started
2024-10-05T14:00:00+00:00,2024,National League - South,England,Worthing,,,Maidstone Utd,Not Started
2024-10-08T18:45:00+00:00,2024,National League - South,England,Worthing,,,Welling United,Not Started
2024-10-12T14:00:00+00:00,2024,National League - South,England,Aveley,,,Chippenham Town,Not Started
2024-10-12T14:00:00+00:00,2024,National League - South,England,Bath City,,,Worthing,Not Started
2024-10-12T14:00:00+00:00,2024,National League - South,England,Boreham Wood,,,Truro City,Not Started
2024-10-12T14:00:00+00:00,2024,National League - South,England,Chesham United,,,Chelmsford City,Not Started
2024-10-12T14:00:00+00:00,2024,National League - South,England,Farnborough,,,Enfield Town,Not Started
2024-10-12T14:00:00+00:00,2024,National League - South,England,Hampton & Richmond,,,St Albans City,Not Started
2024-10-12T14:00:00+00:00,2024,National League - South,England,Hemel Hempstead Town,,,Weston-super-Mare,Not Started
2024-10-12T14:00:00+00:00,2024,National League - South,England,Salisbury,,,AFC Hornchurch,Not Started
2024-10-12T14:00:00+00:00,2024,National League - South,England,Slough Town,,,Dorking Wanderers,Not Started
2024-10-12T14:00:00+00:00,2024,National League - South,England,Tonbridge Angels,,,Eastbourne Borough,Not Started
2024-10-12T14:00:00+00:00,2024,National League - South,England,Torquay,,,Maidstone Utd,Not Started
2024-10-12T14:00:00+00:00,2024,National League - South,England,Welling United,,,Weymouth,Not Started
2024-10-19T14:00:00+00:00,2024,National League - South,England,Chelmsford City,,,Farnborough,Not Started
2024-10-19T14:00:00+00:00,2024,National League - South,England,Chippenham Town,,,Hemel Hempstead Town,Not Started
2024-10-19T14:00:00+00:00,2024,National League - South,England,Dorking Wanderers,,,Salisbury,Not Started
2024-10-19T14:00:00+00:00,2024,National League - South,England,Eastbourne Borough,,,Torquay,Not Started
2024-10-19T14:00:00+00:00,2024,National League - South,England,Enfield Town,,,Aveley,Not Started
2024-10-19T14:00:00+00:00,2024,National League - South,England,AFC Hornchurch,,,Bath City,Not Started
2024-10-19T14:00:00+00:00,2024,National League - South,England,Maidstone Utd,,,Slough Town,Not Started
2024-10-19T14:00:00+00:00,2024,National League - South,England,St Albans City,,,Welling United,Not Started
2024-10-19T14:00:00+00:00,2024,National League - South,England,Truro City,,,Hampton & Richmond,Not Started
2024-10-19T14:00:00+00:00,2024,National League - South,England,Weston-super-Mare,,,Boreham Wood,Not Started
