date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-10T14:00:00+00:00,2024,Non League Premier - Northern,England,Ashton United,2,2,Blyth Spartans,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Northern,England,Guiseley AFC,2,0,Workington,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Northern,England,Hebburn Town,1,0,Rylands,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Northern,England,Hyde United,1,1,Mickleover Sports,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Northern,England,Ilkeston Town,2,2,Gainsborough Trinity,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Northern,England,Lancaster City,3,2,Basford United,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Northern,England,Leek Town,0,2,Stockton Town,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Northern,England,Morpeth Town,0,1,United of Manchester,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Northern,England,Prescot Cables,0,0,Matlock Town,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Northern,England,Worksop Town,0,1,Macclesfield,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Northern,England,Bamber Bridge,1,2,Hyde United,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Northern,England,Basford United,0,1,Leek Town,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Northern,England,Blyth Spartans,0,1,Hebburn Town,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Northern,England,United of Manchester,0,1,Worksop Town,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Northern,England,Gainsborough Trinity,3,1,Morpeth Town,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Northern,England,Macclesfield,1,0,Prescot Cables,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Northern,England,Matlock Town,0,2,Whitby Town,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Northern,England,Mickleover Sports,1,3,Ilkeston Town,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Northern,England,Rylands,3,4,Ashton United,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Northern,England,Workington,1,1,Lancaster City,Match Finished
2024-08-14T18:45:00+00:00,2024,Non League Premier - Northern,England,Stockton Town,,,Guiseley AFC,Not Started
2024-08-17T14:00:00+00:00,2024,Non League Premier - Northern,England,Bamber Bridge,,,Worksop Town,Not Started
2024-08-17T14:00:00+00:00,2024,Non League Premier - Northern,England,Basford United,,,Morpeth Town,Not Started
2024-08-17T14:00:00+00:00,2024,Non League Premier - Northern,England,Blyth Spartans,,,Lancaster City,Not Started
2024-08-17T14:00:00+00:00,2024,Non League Premier - Northern,England,United of Manchester,,,Ilkeston Town,Not Started
2024-08-17T14:00:00+00:00,2024,Non League Premier - Northern,England,Gainsborough Trinity,,,Ashton United,Not Started
2024-08-17T14:00:00+00:00,2024,Non League Premier - Northern,England,Macclesfield,,,Guiseley AFC,Not Started
2024-08-17T14:00:00+00:00,2024,Non League Premier - Northern,England,Matlock Town,,,Hyde United,Not Started
2024-08-17T14:00:00+00:00,2024,Non League Premier - Northern,England,Mickleover Sports,,,Hebburn Town,Not Started
2024-08-17T14:00:00+00:00,2024,Non League Premier - Northern,England,Stockton Town,,,Prescot Cables,Not Started
2024-08-17T14:00:00+00:00,2024,Non League Premier - Northern,England,Workington,,,Leek Town,Not Started
2024-08-20T18:45:00+00:00,2024,Non League Premier - Northern,England,Ashton United,,,Bamber Bridge,Not Started
2024-08-20T18:45:00+00:00,2024,Non League Premier - Northern,England,Guiseley AFC,,,Blyth Spartans,Not Started
2024-08-20T18:45:00+00:00,2024,Non League Premier - Northern,England,Hebburn Town,,,Gainsborough Trinity,Not Started
2024-08-20T18:45:00+00:00,2024,Non League Premier - Northern,England,Hyde United,,,Basford United,Not Started
2024-08-20T18:45:00+00:00,2024,Non League Premier - Northern,England,Ilkeston Town,,,Macclesfield,Not Started
2024-08-20T18:45:00+00:00,2024,Non League Premier - Northern,England,Lancaster City,,,Rylands,Not Started
2024-08-20T18:45:00+00:00,2024,Non League Premier - Northern,England,Leek Town,,,Mickleover Sports,Not Started
2024-08-20T18:45:00+00:00,2024,Non League Premier - Northern,England,Morpeth Town,,,Stockton Town,Not Started
2024-08-20T18:45:00+00:00,2024,Non League Premier - Northern,England,Prescot Cables,,,Workington,Not Started
2024-08-20T18:45:00+00:00,2024,Non League Premier - Northern,England,Whitby Town,,,United of Manchester,Not Started
2024-08-20T18:45:00+00:00,2024,Non League Premier - Northern,England,Worksop Town,,,Matlock Town,Not Started
2024-08-24T14:00:00+00:00,2024,Non League Premier - Northern,England,Ashton United,,,Workington,Not Started
2024-08-24T14:00:00+00:00,2024,Non League Premier - Northern,England,Guiseley AFC,,,United of Manchester,Not Started
2024-08-24T14:00:00+00:00,2024,Non League Premier - Northern,England,Hebburn Town,,,Basford United,Not Started
2024-08-24T14:00:00+00:00,2024,Non League Premier - Northern,England,Hyde United,,,Stockton Town,Not Started
2024-08-24T14:00:00+00:00,2024,Non League Premier - Northern,England,Ilkeston Town,,,Bamber Bridge,Not Started
2024-08-24T14:00:00+00:00,2024,Non League Premier - Northern,England,Lancaster City,,,Matlock Town,Not Started
2024-08-24T14:00:00+00:00,2024,Non League Premier - Northern,England,Leek Town,,,Gainsborough Trinity,Not Started
2024-08-24T14:00:00+00:00,2024,Non League Premier - Northern,England,Morpeth Town,,,Rylands,Not Started
2024-08-24T14:00:00+00:00,2024,Non League Premier - Northern,England,Prescot Cables,,,Mickleover Sports,Not Started
2024-08-24T14:00:00+00:00,2024,Non League Premier - Northern,England,Whitby Town,,,Macclesfield,Not Started
2024-08-24T14:00:00+00:00,2024,Non League Premier - Northern,England,Worksop Town,,,Blyth Spartans,Not Started
2024-08-26T14:00:00+00:00,2024,Non League Premier - Northern,England,Bamber Bridge,,,Guiseley AFC,Not Started
2024-08-26T14:00:00+00:00,2024,Non League Premier - Northern,England,Basford United,,,Ilkeston Town,Not Started
2024-08-26T14:00:00+00:00,2024,Non League Premier - Northern,England,Blyth Spartans,,,Morpeth Town,Not Started
2024-08-26T14:00:00+00:00,2024,Non League Premier - Northern,England,United of Manchester,,,Ashton United,Not Started
2024-08-26T14:00:00+00:00,2024,Non League Premier - Northern,England,Gainsborough Trinity,,,Worksop Town,Not Started
2024-08-26T14:00:00+00:00,2024,Non League Premier - Northern,England,Macclesfield,,,Hyde United,Not Started
2024-08-26T14:00:00+00:00,2024,Non League Premier - Northern,England,Matlock Town,,,Leek Town,Not Started
2024-08-26T14:00:00+00:00,2024,Non League Premier - Northern,England,Mickleover Sports,,,Lancaster City,Not Started
2024-08-26T14:00:00+00:00,2024,Non League Premier - Northern,England,Stockton Town,,,Whitby Town,Not Started
2024-08-26T14:00:00+00:00,2024,Non League Premier - Northern,England,Rylands,,,Prescot Cables,Not Started
2024-08-26T14:00:00+00:00,2024,Non League Premier - Northern,England,Workington,,,Hebburn Town,Not Started
2024-09-07T14:00:00+00:00,2024,Non League Premier - Northern,England,Ashton United,,,Morpeth Town,Not Started
2024-09-07T14:00:00+00:00,2024,Non League Premier - Northern,England,United of Manchester,,,Basford United,Not Started
2024-09-07T14:00:00+00:00,2024,Non League Premier - Northern,England,Gainsborough Trinity,,,Lancaster City,Not Started
2024-09-07T14:00:00+00:00,2024,Non League Premier - Northern,England,Guiseley AFC,,,Hyde United,Not Started
2024-09-07T14:00:00+00:00,2024,Non League Premier - Northern,England,Hebburn Town,,,Bamber Bridge,Not Started
