date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-10T14:00:00+00:00,2024,Non League Premier - Southern South,England,AFC Totton,1,0,Walton & Hersham,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Southern South,England,Bracknell Town,0,0,Poole Town,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Southern South,England,Chertsey Town,4,1,Hungerford Town,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Southern South,England,Dorchester Town,1,1,Havant & Wville,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Southern South,England,Gosport Borough,0,1,Frome Town,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Southern South,England,Marlow,1,1,Winchester City,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Southern South,England,Merthyr Town,6,0,Tiverton Town,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Southern South,England,Plymouth Parkway,0,1,Basingstoke Town,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Southern South,England,Swindon Supermarine,1,2,Sholing,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Southern South,England,Taunton Town,3,3,Gloucester City,Match Finished
2024-08-10T14:00:00+00:00,2024,Non League Premier - Southern South,England,Wimborne Town,1,0,Hanwell Town,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Southern South,England,Basingstoke Town,3,0,Swindon Supermarine,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Southern South,England,Frome Town,0,2,Merthyr Town,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Southern South,England,Gloucester City,3,2,Plymouth Parkway,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Southern South,England,Hanwell Town,3,1,Bracknell Town,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Southern South,England,Hungerford Town,5,2,Gosport Borough,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Southern South,England,Poole Town,1,0,Taunton Town,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Southern South,England,Sholing,0,3,AFC Totton,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Southern South,England,Tiverton Town,1,1,Dorchester Town,Match Finished
2024-08-13T18:45:00+00:00,2024,Non League Premier - Southern South,England,Walton & Hersham,3,0,Marlow,Match Finished
2024-08-14T18:45:00+00:00,2024,Non League Premier - Southern South,England,Winchester City,,,Wimborne Town,Not Started
2024-08-14T18:45:00+00:00,2024,Non League Premier - Southern South,England,Havant & Wville,,,Chertsey Town,Not Started
2024-08-17T14:00:00+00:00,2024,Non League Premier - Southern South,England,Basingstoke Town,,,Dorchester Town,Not Started
2024-08-17T14:00:00+00:00,2024,Non League Premier - Southern South,England,Frome Town,,,Bracknell Town,Not Started
2024-08-17T14:00:00+00:00,2024,Non League Premier - Southern South,England,Gloucester City,,,Wimborne Town,Not Started
