date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-15T16:00:00+00:00,2024,Persian Gulf Pro League,Iran,Persepolis FC,,,ZOB Ahan,Not Started
2024-08-16T15:45:00+00:00,2024,Persian Gulf Pro League,Iran,Sepahan FC,,,Chadormalu SC,Not Started
2024-08-16T16:00:00+00:00,2024,Persian Gulf Pro League,Iran,Havadar,,,Kheybar Khorramabad,Not Started
2024-08-15T16:15:00+00:00,2024,Persian Gulf Pro League,Iran,Malavan,,,Gol Gohar,Not Started
2024-08-15T17:00:00+00:00,2024,Persian Gulf Pro League,Iran,Esteghlal Khuzestan,,,Aluminium Arak,Not Started
2024-08-16T16:00:00+00:00,2024,Persian Gulf Pro League,Iran,Shams Azar Qazvin,,,Esteghlal FC,Not Started
2024-08-16T16:00:00+00:00,2024,Persian Gulf Pro League,Iran,Nassaji Mazandaran,,,Foolad FC,Not Started
2024-08-16T15:45:00+00:00,2024,Persian Gulf Pro League,Iran,Mes Rafsanjan,,,Tractor Sazi,Not Started
2024-08-22T16:00:00+00:00,2024,Persian Gulf Pro League,Iran,Gol Gohar,,,Esteghlal FC,Not Started
2024-08-22T16:00:00+00:00,2024,Persian Gulf Pro League,Iran,Aluminium Arak,,,Nassaji Mazandaran,Not Started
2024-08-22T16:15:00+00:00,2024,Persian Gulf Pro League,Iran,Tractor Sazi,,,Persepolis FC,Not Started
2024-08-22T17:00:00+00:00,2024,Persian Gulf Pro League,Iran,Foolad FC,,,Mes Rafsanjan,Not Started
2024-08-23T15:45:00+00:00,2024,Persian Gulf Pro League,Iran,ZOB Ahan,,,Havadar,Not Started
2024-08-23T16:00:00+00:00,2024,Persian Gulf Pro League,Iran,Chadormalu SC,,,Shams Azar Qazvin,Not Started
2024-08-23T16:00:00+00:00,2024,Persian Gulf Pro League,Iran,Kheybar Khorramabad,,,Sepahan FC,Not Started
2024-08-23T16:00:00+00:00,2024,Persian Gulf Pro League,Iran,Esteghlal FC,,,Malavan,Not Started
2024-08-29T15:45:00+00:00,2024,Persian Gulf Pro League,Iran,Havadar,,,Tractor Sazi,Not Started
2024-08-29T15:45:00+00:00,2024,Persian Gulf Pro League,Iran,Mes Rafsanjan,,,Aluminium Arak,Not Started
2024-08-29T16:00:00+00:00,2024,Persian Gulf Pro League,Iran,Kheybar Khorramabad,,,ZOB Ahan,Not Started
2024-08-29T17:00:00+00:00,2024,Persian Gulf Pro League,Iran,Esteghlal Khuzestan,,,Esteghlal FC,Not Started
2024-08-30T15:45:00+00:00,2024,Persian Gulf Pro League,Iran,Sepahan FC,,,Shams Azar Qazvin,Not Started
2024-08-30T15:45:00+00:00,2024,Persian Gulf Pro League,Iran,Nassaji Mazandaran,,,Gol Gohar,Not Started
2024-08-30T16:00:00+00:00,2024,Persian Gulf Pro League,Iran,Malavan,,,Chadormalu SC,Not Started
2024-08-30T16:00:00+00:00,2024,Persian Gulf Pro League,Iran,Persepolis FC,,,Foolad FC,Not Started
