date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-08-11T19:00:00+00:00,2023,Premier League,England,Burnley,0,3,Manchester City,Match Finished
2023-08-12T11:30:00+00:00,2023,Premier League,England,Arsenal,2,1,Nottingham Forest,Match Finished
2023-08-12T14:00:00+00:00,2023,Premier League,England,Bournemouth,1,1,West Ham,Match Finished
2023-08-12T14:00:00+00:00,2023,Premier League,England,Brighton,4,1,Luton,Match Finished
2023-08-12T14:00:00+00:00,2023,Premier League,England,Everton,0,1,Fulham,Match Finished
2023-08-12T14:00:00+00:00,2023,Premier League,England,Sheffield Utd,0,1,Crystal Palace,Match Finished
2023-08-12T16:30:00+00:00,2023,Premier League,England,Newcastle,5,1,Aston Villa,Match Finished
2023-08-13T13:00:00+00:00,2023,Premier League,England,Brentford,2,2,Tottenham,Match Finished
2023-08-13T15:30:00+00:00,2023,Premier League,England,Chelsea,1,1,Liverpool,Match Finished
2023-08-14T19:00:00+00:00,2023,Premier League,England,Manchester United,1,0,Wolves,Match Finished
2023-08-20T13:00:00+00:00,2023,Premier League,England,Aston Villa,4,0,Everton,Match Finished
2023-08-21T19:00:00+00:00,2023,Premier League,England,Crystal Palace,0,1,Arsenal,Match Finished
2023-08-19T14:00:00+00:00,2023,Premier League,England,Fulham,0,3,Brentford,Match Finished
2023-08-19T14:00:00+00:00,2023,Premier League,England,Liverpool,3,1,Bournemouth,Match Finished
2023-10-03T18:30:00+00:00,2023,Premier League,England,Luton,1,2,Burnley,Match Finished
2023-08-19T19:00:00+00:00,2023,Premier League,England,Manchester City,1,0,Newcastle,Match Finished
2023-08-18T18:45:00+00:00,2023,Premier League,England,Nottingham Forest,2,1,Sheffield Utd,Match Finished
2023-08-19T16:30:00+00:00,2023,Premier League,England,Tottenham,2,0,Manchester United,Match Finished
2023-08-20T15:30:00+00:00,2023,Premier League,England,West Ham,3,1,Chelsea,Match Finished
2023-08-19T14:00:00+00:00,2023,Premier League,England,Wolves,1,4,Brighton,Match Finished
2023-08-26T11:30:00+00:00,2023,Premier League,England,Bournemouth,0,2,Tottenham,Match Finished
2023-08-26T14:00:00+00:00,2023,Premier League,England,Arsenal,2,2,Fulham,Match Finished
2023-08-26T14:00:00+00:00,2023,Premier League,England,Brentford,1,1,Crystal Palace,Match Finished
2023-08-26T16:30:00+00:00,2023,Premier League,England,Brighton,1,3,West Ham,Match Finished
2023-08-27T13:00:00+00:00,2023,Premier League,England,Burnley,1,3,Aston Villa,Match Finished
2023-08-25T19:00:00+00:00,2023,Premier League,England,Chelsea,3,0,Luton,Match Finished
2023-08-26T14:00:00+00:00,2023,Premier League,England,Everton,0,1,Wolves,Match Finished
2023-08-26T14:00:00+00:00,2023,Premier League,England,Manchester United,3,2,Nottingham Forest,Match Finished
2023-08-27T15:30:00+00:00,2023,Premier League,England,Newcastle,1,2,Liverpool,Match Finished
2023-08-27T13:00:00+00:00,2023,Premier League,England,Sheffield Utd,1,2,Manchester City,Match Finished
2023-09-03T15:30:00+00:00,2023,Premier League,England,Arsenal,3,1,Manchester United,Match Finished
2023-09-02T14:00:00+00:00,2023,Premier League,England,Brentford,2,2,Bournemouth,Match Finished
