date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-02T16:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Araz,1,4,Qarabag,Match Finished
2024-12-20T13:30:00+00:00,2024,Premyer Liqa,Azerbaidjan,Keshla FC,,,Sabah FA,Time to be defined
2024-08-04T16:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Zira,4,1,Səbail,Match Finished
2024-08-03T14:30:00+00:00,2024,Premyer Liqa,Azerbaidjan,Neftchi Baku,0,0,Turan,Match Finished
2024-08-03T16:45:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sumqayıt,2,0,Kapaz,Match Finished
2024-08-09T16:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Qarabag,3,0,Kapaz,Match Finished
2024-08-11T14:45:00+00:00,2024,Premyer Liqa,Azerbaidjan,Turan,1,0,Sumqayıt,Match Finished
2024-08-10T17:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Səbail,1,1,Neftchi Baku,Match Finished
2024-08-11T17:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sabah FA,0,2,Zira,Match Finished
2024-08-10T14:45:00+00:00,2024,Premyer Liqa,Azerbaidjan,Araz,1,0,Keshla FC,Match Finished
2024-08-16T13:20:00+00:00,2024,Premyer Liqa,Azerbaidjan,Keshla FC,,,Qarabag,Not Started
2024-08-18T14:15:00+00:00,2024,Premyer Liqa,Azerbaidjan,Zira,,,Araz,Not Started
2024-08-18T16:30:00+00:00,2024,Premyer Liqa,Azerbaidjan,Neftchi Baku,,,Sabah FA,Not Started
2024-08-17T16:30:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sumqayıt,,,Səbail,Not Started
2024-08-17T14:15:00+00:00,2024,Premyer Liqa,Azerbaidjan,Kapaz,,,Turan,Not Started
2024-08-23T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Qarabag,,,Turan,Time to be defined
2024-08-23T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Səbail,,,Kapaz,Time to be defined
2024-08-23T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sabah FA,,,Sumqayıt,Time to be defined
2024-08-23T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Araz,,,Neftchi Baku,Time to be defined
2024-08-23T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Keshla FC,,,Zira,Time to be defined
2024-08-30T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Zira,,,Qarabag,Time to be defined
2024-08-30T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Neftchi Baku,,,Keshla FC,Time to be defined
2024-08-30T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sumqayıt,,,Araz,Time to be defined
2024-08-30T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Kapaz,,,Sabah FA,Time to be defined
2024-08-30T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Turan,,,Səbail,Time to be defined
2024-09-13T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Qarabag,,,Səbail,Time to be defined
2024-09-13T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sabah FA,,,Turan,Time to be defined
2024-09-13T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Araz,,,Kapaz,Time to be defined
2024-09-13T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Keshla FC,,,Sumqayıt,Time to be defined
2024-09-13T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Zira,,,Neftchi Baku,Time to be defined
2024-09-20T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Neftchi Baku,,,Qarabag,Time to be defined
2024-09-20T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sumqayıt,,,Zira,Time to be defined
2024-09-20T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Kapaz,,,Keshla FC,Time to be defined
2024-09-20T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Turan,,,Araz,Time to be defined
2024-09-20T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Səbail,,,Sabah FA,Time to be defined
2024-09-27T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Qarabag,,,Sabah FA,Time to be defined
2024-09-27T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Araz,,,Səbail,Time to be defined
2024-09-27T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Keshla FC,,,Turan,Time to be defined
2024-09-27T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Zira,,,Kapaz,Time to be defined
2024-09-27T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Neftchi Baku,,,Sumqayıt,Time to be defined
2024-10-04T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sumqayıt,,,Qarabag,Time to be defined
2024-10-04T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Kapaz,,,Neftchi Baku,Time to be defined
2024-10-04T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Turan,,,Zira,Time to be defined
2024-10-04T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Səbail,,,Keshla FC,Time to be defined
2024-10-04T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sabah FA,,,Araz,Time to be defined
2024-10-18T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Kapaz,,,Qarabag,Time to be defined
2024-10-18T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sumqayıt,,,Turan,Time to be defined
2024-10-18T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Neftchi Baku,,,Səbail,Time to be defined
2024-10-18T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Zira,,,Sabah FA,Time to be defined
2024-10-18T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Keshla FC,,,Araz,Time to be defined
2024-10-25T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Qarabag,,,Keshla FC,Time to be defined
2024-10-25T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Araz,,,Zira,Time to be defined
2024-10-25T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sabah FA,,,Neftchi Baku,Time to be defined
2024-10-25T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Səbail,,,Sumqayıt,Time to be defined
2024-10-25T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Turan,,,Kapaz,Time to be defined
2024-11-01T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Turan,,,Qarabag,Time to be defined
2024-11-01T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Kapaz,,,Səbail,Time to be defined
2024-11-01T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sumqayıt,,,Sabah FA,Time to be defined
2024-11-01T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Neftchi Baku,,,Araz,Time to be defined
2024-11-01T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Zira,,,Keshla FC,Time to be defined
2024-11-08T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Qarabag,,,Zira,Time to be defined
2024-11-08T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Keshla FC,,,Neftchi Baku,Time to be defined
2024-11-08T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Araz,,,Sumqayıt,Time to be defined
2024-11-08T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sabah FA,,,Kapaz,Time to be defined
2024-11-08T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Səbail,,,Turan,Time to be defined
2024-11-22T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Səbail,,,Qarabag,Time to be defined
2024-11-22T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Turan,,,Sabah FA,Time to be defined
2024-11-22T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Kapaz,,,Araz,Time to be defined
2024-11-22T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sumqayıt,,,Keshla FC,Time to be defined
2024-11-22T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Neftchi Baku,,,Zira,Time to be defined
2024-11-29T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Qarabag,,,Neftchi Baku,Time to be defined
2024-11-29T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Zira,,,Sumqayıt,Time to be defined
2024-11-29T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Keshla FC,,,Kapaz,Time to be defined
2024-11-29T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Araz,,,Turan,Time to be defined
2024-11-29T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sabah FA,,,Səbail,Time to be defined
2024-12-06T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sabah FA,,,Qarabag,Time to be defined
2024-12-06T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Səbail,,,Araz,Time to be defined
2024-12-06T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Turan,,,Keshla FC,Time to be defined
2024-12-06T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Kapaz,,,Zira,Time to be defined
2024-12-06T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sumqayıt,,,Neftchi Baku,Time to be defined
2024-12-13T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Qarabag,,,Sumqayıt,Time to be defined
2024-12-13T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Neftchi Baku,,,Kapaz,Time to be defined
2024-12-13T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Zira,,,Turan,Time to be defined
2024-12-13T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Keshla FC,,,Səbail,Time to be defined
2024-12-13T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Araz,,,Sabah FA,Time to be defined
2024-12-20T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Qarabag,,,Araz,Time to be defined
2024-08-04T13:30:00+00:00,2024,Premyer Liqa,Azerbaidjan,Sabah FA,2,2,Keshla FC,Match Finished
2024-12-20T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Səbail,,,Zira,Time to be defined
2024-12-20T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Turan,,,Neftchi Baku,Time to be defined
2024-12-20T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Kapaz,,,Sumqayıt,Time to be defined
2025-01-17T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Keshla FC,,,Qarabag,Time to be defined
2025-01-17T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Zira,,,Araz,Time to be defined
2025-01-17T00:00:00+00:00,2024,Premyer Liqa,Azerbaidjan,Neftchi Baku,,,Sabah FA,Time to be defined
