date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-10T19:30:00+00:00,2024,Primeira Liga,Portugal,FC Porto,3,0,GIL Vicente,Match Finished
2024-08-11T14:30:00+00:00,2024,Primeira Liga,Portugal,Estoril,1,4,Santa Clara,Match Finished
2024-08-11T19:30:00+00:00,2024,Primeira Liga,Portugal,SC Braga,1,1,Estrela,Match Finished
2024-08-10T17:00:00+00:00,2024,Primeira Liga,Portugal,Casa Pia,0,1,Boavista,Match Finished
2024-08-09T19:15:00+00:00,2024,Primeira Liga,Portugal,Sporting CP,3,1,Rio Ave,Match Finished
2024-08-12T19:15:00+00:00,2024,Primeira Liga,Portugal,Arouca,0,1,Guimaraes,Match Finished
2024-08-11T17:00:00+00:00,2024,Primeira Liga,Portugal,Famalicao,2,0,Benfica,Match Finished
2024-08-11T17:00:00+00:00,2024,Primeira Liga,Portugal,Farense,1,2,Moreirense,Match Finished
2024-08-10T14:30:00+00:00,2024,Primeira Liga,Portugal,AVS,1,1,Nacional,Match Finished
2024-08-18T17:00:00+00:00,2024,Primeira Liga,Portugal,Guimaraes,,,Estoril,Not Started
2024-08-17T14:30:00+00:00,2024,Primeira Liga,Portugal,Rio Ave,,,Farense,Not Started
2024-08-16T19:15:00+00:00,2024,Primeira Liga,Portugal,GIL Vicente,,,AVS,Not Started
2024-08-18T14:30:00+00:00,2024,Primeira Liga,Portugal,Moreirense,,,Arouca,Not Started
2024-08-18T19:30:00+00:00,2024,Primeira Liga,Portugal,Boavista,,,SC Braga,Not Started
2024-08-17T19:30:00+00:00,2024,Primeira Liga,Portugal,Benfica,,,Casa Pia,Not Started
2024-08-16T16:00:00+00:00,2024,Primeira Liga,Portugal,Santa Clara,,,FC Porto,Not Started
2024-08-19T19:15:00+00:00,2024,Primeira Liga,Portugal,Estrela,,,Famalicao,Not Started
2024-08-17T17:00:00+00:00,2024,Primeira Liga,Portugal,Nacional,,,Sporting CP,Not Started
2024-08-25T00:00:00+00:00,2024,Primeira Liga,Portugal,AVS,,,Guimaraes,Time to be defined
