date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-02-03T20:30:00+00:00,2024,Primera Nacional,Argentina,Talleres Remedios,0,0,San Miguel,Match Finished
2024-02-03T20:30:00+00:00,2024,Primera Nacional,Argentina,CA Estudiantes,1,0,Ferro Carril Oeste,Match Finished
2024-02-03T20:00:00+00:00,2024,Primera Nacional,Argentina,Chacarita Juniors,2,0,Deportivo Maipu,Match Finished
2024-02-03T23:00:00+00:00,2024,Primera Nacional,Argentina,San Martin Tucuman,1,0,Gimnasia Jujuy,Match Finished
2024-02-04T20:00:00+00:00,2024,Primera Nacional,Argentina,Arsenal Sarandi,1,1,Club Atlético Güemes,Match Finished
2024-02-04T22:00:00+00:00,2024,Primera Nacional,Argentina,San Martin S.J.,1,0,Alvarado,Match Finished
2024-02-04T20:00:00+00:00,2024,Primera Nacional,Argentina,Guillermo Brown,1,1,Racing Cordoba,Match Finished
2024-02-02T20:10:00+00:00,2024,Primera Nacional,Argentina,Agropecuario,1,0,Patronato,Match Finished
2024-02-03T20:00:00+00:00,2024,Primera Nacional,Argentina,All Boys,1,0,Tristan Suarez,Match Finished
2024-02-03T20:00:00+00:00,2024,Primera Nacional,Argentina,Deportivo Moron,3,0,Brown DE Adrogue,Match Finished
2024-02-03T22:10:00+00:00,2024,Primera Nacional,Argentina,Nueva Chicago,1,0,Almagro,Match Finished
2024-02-05T22:30:00+00:00,2024,Primera Nacional,Argentina,Gimnasia M.,0,1,Defensores De Belgrano,Match Finished
2024-02-03T00:30:00+00:00,2024,Primera Nacional,Argentina,Atletico Mitre,1,0,San Telmo,Match Finished
2024-02-03T23:00:00+00:00,2024,Primera Nacional,Argentina,Aldosivi,0,1,Atletico DE Rafaela,Match Finished
2024-02-04T23:00:00+00:00,2024,Primera Nacional,Argentina,Estudiantes de Rio Cuarto,1,0,Deportivo Madryn,Match Finished
2024-02-04T00:10:00+00:00,2024,Primera Nacional,Argentina,Colon Santa Fe,2,1,Defensores Unidos,Match Finished
2024-02-04T20:00:00+00:00,2024,Primera Nacional,Argentina,Almirante Brown,0,1,Atlanta,Match Finished
2024-02-04T20:00:00+00:00,2024,Primera Nacional,Argentina,Gimnasia Y Tiro,2,0,Chaco For Ever,Match Finished
2024-02-03T22:05:00+00:00,2024,Primera Nacional,Argentina,Quilmes,2,0,Temperley,Match Finished
2024-02-11T23:00:00+00:00,2024,Primera Nacional,Argentina,Patronato,0,0,All Boys,Match Finished
2024-02-11T22:00:00+00:00,2024,Primera Nacional,Argentina,Racing Cordoba,1,3,Agropecuario,Match Finished
2024-02-11T23:00:00+00:00,2024,Primera Nacional,Argentina,Alvarado,2,1,Guillermo Brown,Match Finished
2024-02-11T20:00:00+00:00,2024,Primera Nacional,Argentina,Club Atlético Güemes,1,0,San Martin S.J.,Match Finished
2024-02-11T20:00:00+00:00,2024,Primera Nacional,Argentina,Gimnasia Jujuy,1,0,Arsenal Sarandi,Match Finished
2024-02-11T21:30:00+00:00,2024,Primera Nacional,Argentina,Deportivo Maipu,0,2,San Martin Tucuman,Match Finished
2024-02-09T22:10:00+00:00,2024,Primera Nacional,Argentina,Ferro Carril Oeste,0,2,Chacarita Juniors,Match Finished
2024-02-10T20:00:00+00:00,2024,Primera Nacional,Argentina,San Miguel,0,0,CA Estudiantes,Match Finished
2024-02-10T20:00:00+00:00,2024,Primera Nacional,Argentina,Quilmes,0,0,Talleres Remedios,Match Finished
2024-02-11T20:00:00+00:00,2024,Primera Nacional,Argentina,Atlanta,0,0,Colon Santa Fe,Match Finished
2024-02-11T20:00:00+00:00,2024,Primera Nacional,Argentina,Defensores Unidos,1,0,Estudiantes de Rio Cuarto,Match Finished
2024-02-10T20:00:00+00:00,2024,Primera Nacional,Argentina,Deportivo Madryn,0,2,Aldosivi,Match Finished
2024-02-12T23:30:00+00:00,2024,Primera Nacional,Argentina,Atletico DE Rafaela,0,0,Atletico Mitre,Match Finished
2024-02-10T20:00:00+00:00,2024,Primera Nacional,Argentina,San Telmo,1,1,Gimnasia Y Tiro,Match Finished
2024-02-11T22:00:00+00:00,2024,Primera Nacional,Argentina,Chaco For Ever,1,1,Gimnasia M.,Match Finished
2024-02-11T20:00:00+00:00,2024,Primera Nacional,Argentina,Defensores De Belgrano,1,0,Nueva Chicago,Match Finished
2024-02-10T20:00:00+00:00,2024,Primera Nacional,Argentina,Almagro,2,1,Deportivo Moron,Match Finished
2024-02-11T00:45:00+00:00,2024,Primera Nacional,Argentina,Brown DE Adrogue,2,2,Temperley,Match Finished
2024-02-11T00:15:00+00:00,2024,Primera Nacional,Argentina,Almirante Brown,1,2,Tristan Suarez,Match Finished
2024-02-17T20:30:00+00:00,2024,Primera Nacional,Argentina,CA Estudiantes,1,2,Quilmes,Match Finished
2024-02-16T20:00:00+00:00,2024,Primera Nacional,Argentina,Chacarita Juniors,1,1,San Miguel,Match Finished
2024-02-18T21:15:00+00:00,2024,Primera Nacional,Argentina,San Martin Tucuman,1,2,Ferro Carril Oeste,Match Finished
2024-02-18T20:00:00+00:00,2024,Primera Nacional,Argentina,Arsenal Sarandi,2,0,Deportivo Maipu,Match Finished
2024-02-18T22:00:00+00:00,2024,Primera Nacional,Argentina,San Martin S.J.,2,1,Gimnasia Jujuy,Match Finished
2024-02-18T20:00:00+00:00,2024,Primera Nacional,Argentina,Guillermo Brown,1,0,Club Atlético Güemes,Match Finished
2024-02-17T23:00:00+00:00,2024,Primera Nacional,Argentina,Agropecuario,1,1,Alvarado,Match Finished
2024-02-19T23:00:00+00:00,2024,Primera Nacional,Argentina,All Boys,0,0,Racing Cordoba,Match Finished
2024-02-17T20:00:00+00:00,2024,Primera Nacional,Argentina,Tristan Suarez,0,1,Patronato,Match Finished
2024-02-17T20:00:00+00:00,2024,Primera Nacional,Argentina,Temperley,4,1,Almagro,Match Finished
2024-02-18T00:10:00+00:00,2024,Primera Nacional,Argentina,Deportivo Moron,0,4,Defensores De Belgrano,Match Finished
2024-03-05T22:00:00+00:00,2024,Primera Nacional,Argentina,Nueva Chicago,2,0,Chaco For Ever,Match Finished
2024-02-20T01:00:00+00:00,2024,Primera Nacional,Argentina,Gimnasia M.,1,1,San Telmo,Match Finished
2024-02-18T20:00:00+00:00,2024,Primera Nacional,Argentina,Gimnasia Y Tiro,1,0,Atletico DE Rafaela,Match Finished
2024-02-18T22:00:00+00:00,2024,Primera Nacional,Argentina,Atletico Mitre,1,0,Deportivo Madryn,Match Finished
2024-02-17T22:00:00+00:00,2024,Primera Nacional,Argentina,Aldosivi,1,0,Defensores Unidos,Match Finished
2024-02-18T23:00:00+00:00,2024,Primera Nacional,Argentina,Estudiantes de Rio Cuarto,1,2,Atlanta,Match Finished
2024-02-18T23:10:00+00:00,2024,Primera Nacional,Argentina,Colon Santa Fe,2,1,Almirante Brown,Match Finished
2024-02-17T20:30:00+00:00,2024,Primera Nacional,Argentina,Talleres Remedios,2,0,Brown DE Adrogue,Match Finished
2024-02-25T21:00:00+00:00,2024,Primera Nacional,Argentina,Racing Cordoba,1,1,Tristan Suarez,Match Finished
2024-02-25T23:00:00+00:00,2024,Primera Nacional,Argentina,Alvarado,1,0,All Boys,Match Finished
2024-02-25T20:00:00+00:00,2024,Primera Nacional,Argentina,Club Atlético Güemes,1,1,Agropecuario,Match Finished
2024-02-25T20:00:00+00:00,2024,Primera Nacional,Argentina,Gimnasia Jujuy,1,0,Guillermo Brown,Match Finished
2024-02-24T21:00:00+00:00,2024,Primera Nacional,Argentina,Deportivo Maipu,0,2,San Martin S.J.,Match Finished
2024-02-25T00:45:00+00:00,2024,Primera Nacional,Argentina,Ferro Carril Oeste,1,1,Arsenal Sarandi,Match Finished
2024-02-26T20:00:00+00:00,2024,Primera Nacional,Argentina,San Miguel,1,0,San Martin Tucuman,Match Finished
