date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-23T16:30:00+00:00,2024,Pro League,United-Arab-Emirates,Al-Ittihad Kalba,,,Al-Wasl FC,Not Started
2024-08-24T14:00:00+00:00,2024,Pro League,United-Arab-Emirates,Baniyas SC,,,Al-Jazira,Not Started
2024-08-24T14:00:00+00:00,2024,Pro League,United-Arab-Emirates,Shabab Al Ahli Dubai,,,Al Bataeh,Not Started
2024-08-24T16:30:00+00:00,2024,Pro League,United-Arab-Emirates,Al Ain,,,Khorfakkan,Not Started
2024-08-23T14:00:00+00:00,2024,Pro League,United-Arab-Emirates,Al Wahda FC,,,Ajman,Not Started
2024-08-23T14:00:00+00:00,2024,Pro League,United-Arab-Emirates,Al Urooba,,,Al Nasr,Not Started
2024-08-24T16:30:00+00:00,2024,Pro League,United-Arab-Emirates,Dibba Al Hisn,,,Sharjah FC,Not Started
2024-08-29T13:55:00+00:00,2024,Pro League,United-Arab-Emirates,Al-Jazira,,,Al Urooba,Not Started
2024-08-29T13:55:00+00:00,2024,Pro League,United-Arab-Emirates,Al-Wasl FC,,,Dibba Al Hisn,Not Started
2024-08-29T16:30:00+00:00,2024,Pro League,United-Arab-Emirates,Al Nasr,,,Baniyas SC,Not Started
2024-08-29T16:30:00+00:00,2024,Pro League,United-Arab-Emirates,Sharjah FC,,,Al-Ittihad Kalba,Not Started
2024-08-30T13:55:00+00:00,2024,Pro League,United-Arab-Emirates,Khorfakkan,,,Al Wahda FC,Not Started
2024-08-30T13:55:00+00:00,2024,Pro League,United-Arab-Emirates,Al Bataeh,,,Al Ain,Not Started
2024-08-30T16:30:00+00:00,2024,Pro League,United-Arab-Emirates,Ajman,,,Shabab Al Ahli Dubai,Not Started
