date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-18T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Wacker Burghausen,0,1,Bayern München II,Match Finished
2024-07-19T16:30:00+00:00,2024,Regionalliga - Bayern,Germany,Ansbach,1,4,Nürnberg II,Match Finished
2024-07-19T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Schwaben Augsburg,2,1,Viktoria Aschaffenburg,Match Finished
2024-07-19T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,FC Schweinfurt 05,2,0,Aubstadt,Match Finished
2024-07-20T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Bayreuth,2,0,Buchbach,Match Finished
2024-07-20T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Türkgücü-Ataspor,2,2,FC Wurzburger Kickers,Match Finished
2024-07-20T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Illertissen,5,0,Vilzing,Match Finished
2024-07-20T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Greuther Fürth II,2,6,Augsburg II,Match Finished
2024-07-20T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Eintracht Bamberg,2,0,Hankofen-Hailing,Match Finished
2024-07-25T16:30:00+00:00,2024,Regionalliga - Bayern,Germany,Nürnberg II,1,3,Bayreuth,Match Finished
2024-07-26T16:30:00+00:00,2024,Regionalliga - Bayern,Germany,Hankofen-Hailing,1,3,FC Schweinfurt 05,Match Finished
2024-07-26T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,FC Wurzburger Kickers,3,1,Schwaben Augsburg,Match Finished
2024-07-26T16:30:00+00:00,2024,Regionalliga - Bayern,Germany,Aubstadt,1,3,Greuther Fürth II,Match Finished
2024-07-26T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Augsburg II,0,0,Illertissen,Match Finished
2024-07-26T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Viktoria Aschaffenburg,0,4,Wacker Burghausen,Match Finished
2024-07-26T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Bayern München II,2,2,Ansbach,Match Finished
2024-07-26T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Buchbach,2,1,Eintracht Bamberg,Match Finished
2024-07-27T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Vilzing,3,1,Türkgücü-Ataspor,Match Finished
2024-08-02T16:30:00+00:00,2024,Regionalliga - Bayern,Germany,Nürnberg II,1,2,Bayern München II,Match Finished
2024-08-02T16:30:00+00:00,2024,Regionalliga - Bayern,Germany,Ansbach,4,1,Viktoria Aschaffenburg,Match Finished
2024-08-02T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Bayreuth,1,0,Eintracht Bamberg,Match Finished
2024-08-02T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Wacker Burghausen,2,0,FC Wurzburger Kickers,Match Finished
2024-08-02T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Illertissen,3,1,Aubstadt,Match Finished
2024-08-02T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,FC Schweinfurt 05,3,1,Buchbach,Match Finished
2024-08-03T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Schwaben Augsburg,3,2,Vilzing,Match Finished
2024-08-03T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Türkgücü-Ataspor,1,2,Augsburg II,Match Finished
2024-08-03T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Greuther Fürth II,3,0,Hankofen-Hailing,Match Finished
2024-08-09T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,FC Wurzburger Kickers,5,0,Ansbach,Match Finished
2024-08-09T16:30:00+00:00,2024,Regionalliga - Bayern,Germany,Aubstadt,2,1,Türkgücü-Ataspor,Match Finished
2024-08-09T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Augsburg II,2,5,Schwaben Augsburg,Match Finished
2024-08-09T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Bayern München II,4,2,Bayreuth,Match Finished
2024-08-09T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Buchbach,1,4,Greuther Fürth II,Match Finished
2024-08-10T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Hankofen-Hailing,0,1,Illertissen,Match Finished
2024-08-09T16:30:00+00:00,2024,Regionalliga - Bayern,Germany,Vilzing,0,3,Wacker Burghausen,Match Finished
2024-08-10T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Viktoria Aschaffenburg,3,1,Nürnberg II,Match Finished
2024-08-10T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Eintracht Bamberg,2,1,FC Schweinfurt 05,Match Finished
2024-08-16T16:15:00+00:00,2024,Regionalliga - Bayern,Germany,Ansbach,,,Vilzing,Not Started
2024-08-16T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Bayreuth,,,FC Schweinfurt 05,Not Started
2024-08-16T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Wacker Burghausen,,,Augsburg II,Not Started
2024-08-16T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Illertissen,,,Buchbach,Not Started
2024-08-16T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Bayern München II,,,Viktoria Aschaffenburg,Not Started
2024-08-17T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Schwaben Augsburg,,,Aubstadt,Not Started
2024-08-17T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Türkgücü-Ataspor,,,Hankofen-Hailing,Not Started
2024-08-17T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Greuther Fürth II,,,Eintracht Bamberg,Not Started
2024-11-30T13:00:00+00:00,2024,Regionalliga - Bayern,Germany,Nürnberg II,,,FC Wurzburger Kickers,Not Started
2024-08-23T16:15:00+00:00,2024,Regionalliga - Bayern,Germany,Aubstadt,,,Wacker Burghausen,Not Started
2024-08-23T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Augsburg II,,,Ansbach,Not Started
2024-08-23T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Viktoria Aschaffenburg,,,Bayreuth,Not Started
2024-08-23T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Buchbach,,,Türkgücü-Ataspor,Not Started
2024-08-24T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Hankofen-Hailing,,,Schwaben Augsburg,Not Started
2024-08-23T16:15:00+00:00,2024,Regionalliga - Bayern,Germany,Vilzing,,,Nürnberg II,Not Started
2024-08-24T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,FC Wurzburger Kickers,,,Bayern München II,Not Started
2024-08-24T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,FC Schweinfurt 05,,,Greuther Fürth II,Not Started
2024-08-24T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Eintracht Bamberg,,,Illertissen,Not Started
2024-08-30T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Bayreuth,,,Greuther Fürth II,Not Started
2024-08-30T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Wacker Burghausen,,,Hankofen-Hailing,Not Started
2024-08-30T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Illertissen,,,FC Schweinfurt 05,Not Started
2024-08-30T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Viktoria Aschaffenburg,,,FC Wurzburger Kickers,Not Started
2024-08-30T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Bayern München II,,,Vilzing,Not Started
2024-08-31T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Schwaben Augsburg,,,Buchbach,Not Started
2024-08-31T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Türkgücü-Ataspor,,,Eintracht Bamberg,Not Started
2024-09-01T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Nürnberg II,,,Augsburg II,Not Started
2024-08-31T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Ansbach,,,Aubstadt,Not Started
2024-09-06T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,Augsburg II,,,Bayern München II,Not Started
2024-09-06T17:00:00+00:00,2024,Regionalliga - Bayern,Germany,FC Schweinfurt 05,,,Türkgücü-Ataspor,Not Started
2024-09-07T12:00:00+00:00,2024,Regionalliga - Bayern,Germany,Hankofen-Hailing,,,Ansbach,Not Started
