date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-26T17:00:00+00:00,2024,Regionalliga - Nord,Germany,VfB Lubeck,2,1,Todesfelde,Match Finished
2024-07-27T12:00:00+00:00,2024,Regionalliga - Nord,Germany,SV Meppen,1,1,Weiche Flensburg,Match Finished
2024-07-27T14:00:00+00:00,2024,Regionalliga - Nord,Germany,SSV Jeddeloh,1,0,St. Pauli II,Match Finished
2024-07-28T11:30:00+00:00,2024,Regionalliga - Nord,Germany,Teutonia Ottensen,1,1,BW Lohne,Match Finished
2024-07-28T12:00:00+00:00,2024,Regionalliga - Nord,Germany,Phönix Lübeck,,,Kickers Emden,Match Postponed
2024-07-28T12:00:00+00:00,2024,Regionalliga - Nord,Germany,Eintracht Norderstedt,2,0,VfB Oldenburg,Match Finished
2024-07-28T12:00:00+00:00,2024,Regionalliga - Nord,Germany,Havelse,4,3,Werder Bremen II,Match Finished
2024-07-28T13:00:00+00:00,2024,Regionalliga - Nord,Germany,Bremer Sv,3,0,Hamburger SV II,Match Finished
2024-07-28T13:00:00+00:00,2024,Regionalliga - Nord,Germany,SV Drochtersen/assel,1,1,Holstein Kiel II,Match Finished
2024-08-02T17:00:00+00:00,2024,Regionalliga - Nord,Germany,Kickers Emden,1,0,SV Meppen,Match Finished
2024-08-02T17:30:00+00:00,2024,Regionalliga - Nord,Germany,Weiche Flensburg,1,0,SV Drochtersen/assel,Match Finished
2024-08-03T12:00:00+00:00,2024,Regionalliga - Nord,Germany,Werder Bremen II,1,1,Eintracht Norderstedt,Match Finished
2024-08-03T14:00:00+00:00,2024,Regionalliga - Nord,Germany,BW Lohne,2,0,Phönix Lübeck,Match Finished
2024-08-03T16:00:00+00:00,2024,Regionalliga - Nord,Germany,VfB Oldenburg,5,2,Teutonia Ottensen,Match Finished
2024-08-04T12:00:00+00:00,2024,Regionalliga - Nord,Germany,Holstein Kiel II,1,1,Bremer Sv,Match Finished
2024-08-04T12:00:00+00:00,2024,Regionalliga - Nord,Germany,St. Pauli II,,,VfB Lubeck,Match Postponed
2024-08-04T12:00:00+00:00,2024,Regionalliga - Nord,Germany,Todesfelde,0,1,Havelse,Match Finished
2024-09-11T17:00:00+00:00,2024,Regionalliga - Nord,Germany,SSV Jeddeloh,,,Hamburger SV II,Not Started
2024-08-10T14:00:00+00:00,2024,Regionalliga - Nord,Germany,VfB Lubeck,1,0,Hamburger SV II,Match Finished
2024-08-10T14:00:00+00:00,2024,Regionalliga - Nord,Germany,SSV Jeddeloh,3,1,Holstein Kiel II,Match Finished
2024-08-11T11:30:00+00:00,2024,Regionalliga - Nord,Germany,Teutonia Ottensen,1,3,Werder Bremen II,Match Finished
2024-08-11T12:00:00+00:00,2024,Regionalliga - Nord,Germany,Eintracht Norderstedt,1,0,Todesfelde,Match Finished
2024-08-11T12:00:00+00:00,2024,Regionalliga - Nord,Germany,Havelse,3,1,St. Pauli II,Match Finished
2024-08-10T13:00:00+00:00,2024,Regionalliga - Nord,Germany,Phönix Lübeck,3,1,VfB Oldenburg,Match Finished
2024-08-11T13:00:00+00:00,2024,Regionalliga - Nord,Germany,SV Meppen,0,0,SV Drochtersen/assel,Match Finished
2024-08-11T13:00:00+00:00,2024,Regionalliga - Nord,Germany,Bremer Sv,2,4,Weiche Flensburg,Match Finished
2024-08-11T14:00:00+00:00,2024,Regionalliga - Nord,Germany,Kickers Emden,1,1,BW Lohne,Match Finished
2024-08-16T16:30:00+00:00,2024,Regionalliga - Nord,Germany,VfB Oldenburg,,,Kickers Emden,Not Started
2024-08-17T11:30:00+00:00,2024,Regionalliga - Nord,Germany,Weiche Flensburg,,,SSV Jeddeloh,Not Started
