date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-25T18:20:00+00:00,2024,Regionalliga - Nordost,Germany,Chemnitzer FC,0,0,Hallescher FC,Match Finished
2024-07-26T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Luckenwalde,2,2,ZFC Meuselwitz,Match Finished
2024-07-26T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,BFC Dynamo,2,3,Carl Zeiss Jena,Match Finished
2024-07-27T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Hertha Zehlendorf,5,0,FSV Zwickau,Match Finished
2024-07-27T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,BSG Chemie Leipzig,1,1,SV Babelsberg 03,Match Finished
2024-07-27T12:00:00+00:00,2024,Regionalliga - Nordost,Germany,Rot-weiss Erfurt,2,0,Eilenburg,Match Finished
2024-07-28T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Plauen,2,3,Viktoria Berlin,Match Finished
2024-07-28T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Greifswalder FC,0,1,Hertha BSC II,Match Finished
2024-07-28T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Altglienicke,0,1,Lokomotive Leipzig,Match Finished
2024-08-03T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,SV Babelsberg 03,1,1,BFC Dynamo,Match Finished
2024-08-04T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Carl Zeiss Jena,6,2,Hertha Zehlendorf,Match Finished
2024-08-02T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,FSV Zwickau,0,2,Greifswalder FC,Match Finished
2024-08-04T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Hertha BSC II,0,1,Chemnitzer FC,Match Finished
2024-08-02T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Hallescher FC,1,1,Plauen,Match Finished
2024-08-02T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Viktoria Berlin,1,1,Rot-weiss Erfurt,Match Finished
2024-08-04T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Eilenburg,2,2,Altglienicke,Match Finished
2024-08-04T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Lokomotive Leipzig,1,1,Luckenwalde,Match Finished
2024-08-03T11:30:00+00:00,2024,Regionalliga - Nordost,Germany,ZFC Meuselwitz,1,3,BSG Chemie Leipzig,Match Finished
2024-08-10T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Luckenwalde,0,0,BSG Chemie Leipzig,Match Finished
2024-08-11T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Rot-weiss Erfurt,0,4,Hallescher FC,Match Finished
2024-08-09T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Plauen,2,1,Hertha BSC II,Match Finished
2024-08-11T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Chemnitzer FC,0,1,FSV Zwickau,Match Finished
2024-08-10T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Greifswalder FC,1,3,Carl Zeiss Jena,Match Finished
2024-08-09T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Hertha Zehlendorf,2,1,SV Babelsberg 03,Match Finished
2024-08-10T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,BFC Dynamo,4,0,ZFC Meuselwitz,Match Finished
2024-08-09T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Lokomotive Leipzig,2,0,Eilenburg,Match Finished
2024-08-11T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Altglienicke,2,1,Viktoria Berlin,Match Finished
2024-08-21T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,SV Babelsberg 03,,,Greifswalder FC,Not Started
2024-08-21T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Carl Zeiss Jena,,,Chemnitzer FC,Not Started
2024-08-20T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,FSV Zwickau,,,Plauen,Not Started
2024-08-20T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Hertha BSC II,,,Rot-weiss Erfurt,Not Started
2024-08-20T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Hallescher FC,,,Altglienicke,Not Started
2024-08-21T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Viktoria Berlin,,,Lokomotive Leipzig,Not Started
2024-08-21T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Eilenburg,,,Luckenwalde,Not Started
2024-08-21T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,BSG Chemie Leipzig,,,BFC Dynamo,Not Started
2024-08-20T16:30:00+00:00,2024,Regionalliga - Nordost,Germany,ZFC Meuselwitz,,,Hertha Zehlendorf,Not Started
2024-08-25T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Luckenwalde,,,BFC Dynamo,Not Started
2024-08-23T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Rot-weiss Erfurt,,,FSV Zwickau,Not Started
2024-08-24T12:00:00+00:00,2024,Regionalliga - Nordost,Germany,Plauen,,,Carl Zeiss Jena,Not Started
2024-08-24T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Chemnitzer FC,,,SV Babelsberg 03,Not Started
2024-08-24T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Greifswalder FC,,,ZFC Meuselwitz,Not Started
2024-08-25T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Hertha Zehlendorf,,,BSG Chemie Leipzig,Not Started
2024-08-25T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Eilenburg,,,Viktoria Berlin,Not Started
2024-08-25T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Lokomotive Leipzig,,,Hallescher FC,Not Started
2024-08-23T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Altglienicke,,,Hertha BSC II,Not Started
2024-09-01T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,SV Babelsberg 03,,,Plauen,Not Started
2024-09-04T15:00:00+00:00,2024,Regionalliga - Nordost,Germany,Carl Zeiss Jena,,,Rot-weiss Erfurt,Not Started
2024-08-30T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,FSV Zwickau,,,Altglienicke,Not Started
2024-08-29T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Hertha BSC II,,,Lokomotive Leipzig,Not Started
2024-09-01T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Hallescher FC,,,Eilenburg,Not Started
2024-08-31T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Viktoria Berlin,,,Luckenwalde,Not Started
2024-09-01T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,BFC Dynamo,,,Hertha Zehlendorf,Not Started
2024-08-31T12:00:00+00:00,2024,Regionalliga - Nordost,Germany,BSG Chemie Leipzig,,,Greifswalder FC,Not Started
2024-08-30T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,ZFC Meuselwitz,,,Chemnitzer FC,Not Started
2024-09-10T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Luckenwalde,,,Hertha Zehlendorf,Not Started
2024-09-11T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Rot-weiss Erfurt,,,SV Babelsberg 03,Not Started
2024-09-11T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Plauen,,,ZFC Meuselwitz,Not Started
2024-09-10T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Chemnitzer FC,,,BSG Chemie Leipzig,Not Started
2024-09-10T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Greifswalder FC,,,BFC Dynamo,Not Started
2024-09-10T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Viktoria Berlin,,,Hallescher FC,Not Started
2024-09-10T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Eilenburg,,,Hertha BSC II,Not Started
2024-09-11T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Lokomotive Leipzig,,,FSV Zwickau,Not Started
2024-09-11T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Altglienicke,,,Carl Zeiss Jena,Not Started
2024-09-14T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,SV Babelsberg 03,,,Altglienicke,Not Started
2024-09-15T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Carl Zeiss Jena,,,Lokomotive Leipzig,Not Started
2024-09-15T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,FSV Zwickau,,,Eilenburg,Not Started
2024-09-13T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Hertha BSC II,,,Viktoria Berlin,Not Started
2024-09-13T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Hallescher FC,,,Luckenwalde,Not Started
2024-09-13T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Hertha Zehlendorf,,,Greifswalder FC,Not Started
2024-09-14T14:00:00+00:00,2024,Regionalliga - Nordost,Germany,BFC Dynamo,,,Chemnitzer FC,Not Started
2024-09-15T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,BSG Chemie Leipzig,,,Plauen,Not Started
2024-09-14T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,ZFC Meuselwitz,,,Rot-weiss Erfurt,Not Started
2024-09-21T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Luckenwalde,,,Greifswalder FC,Not Started
2024-09-21T14:00:00+00:00,2024,Regionalliga - Nordost,Germany,Rot-weiss Erfurt,,,BSG Chemie Leipzig,Not Started
2024-09-20T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Plauen,,,BFC Dynamo,Not Started
2024-09-21T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Chemnitzer FC,,,Hertha Zehlendorf,Not Started
2024-09-20T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Hallescher FC,,,Hertha BSC II,Not Started
2024-09-20T17:00:00+00:00,2024,Regionalliga - Nordost,Germany,Viktoria Berlin,,,FSV Zwickau,Not Started
2024-09-22T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Eilenburg,,,Carl Zeiss Jena,Not Started
2024-09-22T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Lokomotive Leipzig,,,SV Babelsberg 03,Not Started
2024-09-22T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Altglienicke,,,ZFC Meuselwitz,Not Started
2024-09-29T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,SV Babelsberg 03,,,Eilenburg,Not Started
2024-09-29T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Carl Zeiss Jena,,,Viktoria Berlin,Not Started
2024-09-29T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,FSV Zwickau,,,Hallescher FC,Not Started
2024-09-29T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Hertha BSC II,,,Luckenwalde,Not Started
2024-09-29T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Greifswalder FC,,,Chemnitzer FC,Not Started
2024-09-29T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Hertha Zehlendorf,,,Plauen,Not Started
2024-09-29T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,BFC Dynamo,,,Rot-weiss Erfurt,Not Started
2024-09-29T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,BSG Chemie Leipzig,,,Altglienicke,Not Started
2024-09-29T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,ZFC Meuselwitz,,,Lokomotive Leipzig,Not Started
2024-10-06T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Luckenwalde,,,Chemnitzer FC,Not Started
2024-10-06T11:00:00+00:00,2024,Regionalliga - Nordost,Germany,Rot-weiss Erfurt,,,Hertha Zehlendorf,Not Started
