date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-26T17:00:00+00:00,2024,Regionalliga - SudWest,Germany,Eintracht Trier,4,1,FC 08 Homburg,Match Finished
2024-07-27T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Freiburg II,2,2,Kickers Offenbach,Match Finished
2024-07-27T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Stuttgarter Kickers,2,1,Eintracht Frankfurt II,Match Finished
2024-07-27T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Barockstadt Fulda-Lehn.,1,1,FC 08 Villingen,Match Finished
2024-07-27T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Bahlinger SC,0,1,FC Gießen,Match Finished
2024-07-27T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Hoffenheim II,2,2,FC Astoria Walldorf,Match Finished
2024-07-27T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,SGV Freiberg,2,2,Göppinger SV,Match Finished
2024-07-27T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,FSV Frankfurt,1,1,TSV Steinbach,Match Finished
2024-07-28T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,FSV Mainz 05 II,3,0,Hessen Kassel,Match Finished
2024-08-03T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,TSV Steinbach,0,2,SGV Freiberg,Match Finished
2024-08-03T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Göppinger SV,3,4,Hoffenheim II,Match Finished
2024-08-02T17:00:00+00:00,2024,Regionalliga - SudWest,Germany,FC Astoria Walldorf,2,0,Bahlinger SC,Match Finished
2024-08-03T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,FC Gießen,2,2,Barockstadt Fulda-Lehn.,Match Finished
2024-08-03T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,FC 08 Villingen,0,2,Eintracht Trier,Match Finished
2024-08-03T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,FC 08 Homburg,1,1,Stuttgarter Kickers,Match Finished
2024-08-02T17:00:00+00:00,2024,Regionalliga - SudWest,Germany,Eintracht Frankfurt II,0,0,FSV Mainz 05 II,Match Finished
2024-08-03T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Hessen Kassel,1,3,Freiburg II,Match Finished
2024-08-03T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Kickers Offenbach,5,0,FSV Frankfurt,Match Finished
2024-08-11T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Freiburg II,0,3,FSV Frankfurt,Match Finished
2024-08-10T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Stuttgarter Kickers,1,0,FC 08 Villingen,Match Finished
2024-08-10T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Eintracht Trier,0,0,FC Gießen,Match Finished
2024-08-10T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Barockstadt Fulda-Lehn.,2,1,FC Astoria Walldorf,Match Finished
2024-08-10T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Bahlinger SC,1,0,Göppinger SV,Match Finished
2024-08-11T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Hoffenheim II,1,1,TSV Steinbach,Match Finished
2024-08-10T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,SGV Freiberg,0,0,Kickers Offenbach,Match Finished
2024-08-09T17:00:00+00:00,2024,Regionalliga - SudWest,Germany,Hessen Kassel,2,0,Eintracht Frankfurt II,Match Finished
2024-08-11T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,FSV Mainz 05 II,0,0,FC 08 Homburg,Match Finished
2024-08-17T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,TSV Steinbach,,,Bahlinger SC,Not Started
2024-08-17T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Göppinger SV,,,Barockstadt Fulda-Lehn.,Not Started
2024-08-17T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,FC Astoria Walldorf,,,Eintracht Trier,Not Started
2024-08-17T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,FC Gießen,,,Stuttgarter Kickers,Not Started
2024-08-17T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,FC 08 Homburg,,,Hessen Kassel,Not Started
2024-08-17T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Eintracht Frankfurt II,,,Freiburg II,Not Started
2024-08-17T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,FSV Frankfurt,,,SGV Freiberg,Not Started
2024-08-20T17:00:00+00:00,2024,Regionalliga - SudWest,Germany,FC 08 Villingen,,,FSV Mainz 05 II,Not Started
2024-08-28T17:00:00+00:00,2024,Regionalliga - SudWest,Germany,Kickers Offenbach,,,Hoffenheim II,Not Started
2024-08-25T12:00:00+00:00,2024,Regionalliga - SudWest,Germany,Freiburg II,,,SGV Freiberg,Not Started
