date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-10T14:30:00+00:00,2024,Segunda Liga,Portugal,Leixoes,2,1,Benfica B,Match Finished
2024-08-11T10:00:00+00:00,2024,Segunda Liga,Portugal,Penafiel,4,3,Oliveirense,Match Finished
2024-08-10T17:00:00+00:00,2024,Segunda Liga,Portugal,Academico Viseu,2,1,Chaves,Match Finished
2024-08-11T17:00:00+00:00,2024,Segunda Liga,Portugal,FC Porto B,1,1,Alverca,Match Finished
2024-08-11T13:00:00+00:00,2024,Segunda Liga,Portugal,Torreense,0,1,Feirense,Match Finished
2024-08-10T13:00:00+00:00,2024,Segunda Liga,Portugal,Mafra,0,1,Pacos Ferreira,Match Finished
2024-08-11T19:30:00+00:00,2024,Segunda Liga,Portugal,União de Leiria,0,2,Vizela,Match Finished
2024-08-12T17:00:00+00:00,2024,Segunda Liga,Portugal,Felgueiras 1932,0,0,Portimonense,Match Finished
2024-08-10T10:00:00+00:00,2024,Segunda Liga,Portugal,Maritimo,2,2,Tondela,Match Finished
2024-08-19T17:00:00+00:00,2024,Segunda Liga,Portugal,Tondela,,,FC Porto B,Not Started
2024-08-18T10:00:00+00:00,2024,Segunda Liga,Portugal,Pacos Ferreira,,,Maritimo,Not Started
2024-08-17T19:30:00+00:00,2024,Segunda Liga,Portugal,Portimonense,,,União de Leiria,Not Started
2024-08-18T14:30:00+00:00,2024,Segunda Liga,Portugal,Vizela,,,Penafiel,Not Started
2024-08-18T17:00:00+00:00,2024,Segunda Liga,Portugal,Chaves,,,Leixoes,Not Started
2024-08-17T10:00:00+00:00,2024,Segunda Liga,Portugal,Alverca,,,Felgueiras 1932,Not Started
2024-08-17T13:00:00+00:00,2024,Segunda Liga,Portugal,Oliveirense,,,Mafra,Not Started
2024-08-18T17:00:00+00:00,2024,Segunda Liga,Portugal,Benfica B,,,Torreense,Not Started
2024-08-18T13:00:00+00:00,2024,Segunda Liga,Portugal,Feirense,,,Academico Viseu,Not Started
2024-08-24T10:00:00+00:00,2024,Segunda Liga,Portugal,Felgueiras 1932,,,Feirense,Not Started
2024-08-25T14:30:00+00:00,2024,Segunda Liga,Portugal,Maritimo,,,Chaves,Not Started
2024-08-23T17:00:00+00:00,2024,Segunda Liga,Portugal,União de Leiria,,,Alverca,Not Started
2024-08-24T13:00:00+00:00,2024,Segunda Liga,Portugal,Torreense,,,Oliveirense,Not Started
2024-08-25T17:00:00+00:00,2024,Segunda Liga,Portugal,Mafra,,,Portimonense,Not Started
2024-08-25T17:00:00+00:00,2024,Segunda Liga,Portugal,Benfica B,,,Vizela,Not Started
2024-08-25T13:00:00+00:00,2024,Segunda Liga,Portugal,Penafiel,,,Tondela,Not Started
2024-08-25T10:00:00+00:00,2024,Segunda Liga,Portugal,Academico Viseu,,,FC Porto B,Not Started
2024-08-24T14:30:00+00:00,2024,Segunda Liga,Portugal,Leixoes,,,Pacos Ferreira,Not Started
2024-09-01T10:00:00+00:00,2024,Segunda Liga,Portugal,Portimonense,,,Maritimo,Not Started
2024-08-31T14:30:00+00:00,2024,Segunda Liga,Portugal,Vizela,,,Torreense,Not Started
2024-09-01T13:00:00+00:00,2024,Segunda Liga,Portugal,Feirense,,,Benfica B,Not Started
2024-09-01T00:00:00+00:00,2024,Segunda Liga,Portugal,FC Porto B,,,União de Leiria,Time to be defined
2024-08-31T10:00:00+00:00,2024,Segunda Liga,Portugal,Oliveirense,,,Leixoes,Not Started
2024-09-01T14:30:00+00:00,2024,Segunda Liga,Portugal,Pacos Ferreira,,,Penafiel,Not Started
2024-08-30T17:00:00+00:00,2024,Segunda Liga,Portugal,Alverca,,,Academico Viseu,Not Started
2024-09-01T17:00:00+00:00,2024,Segunda Liga,Portugal,Chaves,,,Mafra,Not Started
2024-08-31T13:00:00+00:00,2024,Segunda Liga,Portugal,Tondela,,,Felgueiras 1932,Not Started
2024-09-15T00:00:00+00:00,2024,Segunda Liga,Portugal,Maritimo,,,Alverca,Time to be defined
2024-09-15T00:00:00+00:00,2024,Segunda Liga,Portugal,Felgueiras 1932,,,Chaves,Time to be defined
2024-09-15T00:00:00+00:00,2024,Segunda Liga,Portugal,Torreense,,,Portimonense,Time to be defined
2024-09-15T00:00:00+00:00,2024,Segunda Liga,Portugal,Benfica B,,,Oliveirense,Time to be defined
2024-09-15T00:00:00+00:00,2024,Segunda Liga,Portugal,Feirense,,,Pacos Ferreira,Time to be defined
2024-09-15T00:00:00+00:00,2024,Segunda Liga,Portugal,Leixoes,,,Vizela,Time to be defined
2024-09-15T00:00:00+00:00,2024,Segunda Liga,Portugal,Mafra,,,Tondela,Time to be defined
2024-09-15T00:00:00+00:00,2024,Segunda Liga,Portugal,Academico Viseu,,,União de Leiria,Time to be defined
2024-09-15T00:00:00+00:00,2024,Segunda Liga,Portugal,Penafiel,,,FC Porto B,Time to be defined
2024-09-29T00:00:00+00:00,2024,Segunda Liga,Portugal,Vizela,,,Mafra,Time to be defined
2024-09-29T00:00:00+00:00,2024,Segunda Liga,Portugal,FC Porto B,,,Felgueiras 1932,Time to be defined
2024-09-29T00:00:00+00:00,2024,Segunda Liga,Portugal,Portimonense,,,Penafiel,Time to be defined
2024-09-29T00:00:00+00:00,2024,Segunda Liga,Portugal,Pacos Ferreira,,,Benfica B,Time to be defined
2024-09-29T00:00:00+00:00,2024,Segunda Liga,Portugal,Oliveirense,,,Feirense,Time to be defined
2024-09-29T00:00:00+00:00,2024,Segunda Liga,Portugal,Tondela,,,Academico Viseu,Time to be defined
2024-09-29T00:00:00+00:00,2024,Segunda Liga,Portugal,Chaves,,,Torreense,Time to be defined
2024-09-29T00:00:00+00:00,2024,Segunda Liga,Portugal,Alverca,,,Leixoes,Time to be defined
2024-09-29T00:00:00+00:00,2024,Segunda Liga,Portugal,União de Leiria,,,Maritimo,Time to be defined
2024-10-06T00:00:00+00:00,2024,Segunda Liga,Portugal,Felgueiras 1932,,,Academico Viseu,Time to be defined
2024-10-06T00:00:00+00:00,2024,Segunda Liga,Portugal,Mafra,,,Alverca,Time to be defined
2024-10-06T00:00:00+00:00,2024,Segunda Liga,Portugal,Torreense,,,Tondela,Time to be defined
2024-10-06T00:00:00+00:00,2024,Segunda Liga,Portugal,Penafiel,,,União de Leiria,Time to be defined
2024-10-06T00:00:00+00:00,2024,Segunda Liga,Portugal,Oliveirense,,,Pacos Ferreira,Time to be defined
2024-10-06T00:00:00+00:00,2024,Segunda Liga,Portugal,Benfica B,,,Chaves,Time to be defined
2024-10-06T00:00:00+00:00,2024,Segunda Liga,Portugal,Leixoes,,,Portimonense,Time to be defined
2024-10-06T00:00:00+00:00,2024,Segunda Liga,Portugal,Feirense,,,Vizela,Time to be defined
2024-10-06T00:00:00+00:00,2024,Segunda Liga,Portugal,Maritimo,,,FC Porto B,Time to be defined
2024-10-13T00:00:00+00:00,2024,Segunda Liga,Portugal,União de Leiria,,,Felgueiras 1932,Time to be defined
2024-10-13T00:00:00+00:00,2024,Segunda Liga,Portugal,Tondela,,,Leixoes,Time to be defined
2024-10-13T00:00:00+00:00,2024,Segunda Liga,Portugal,Portimonense,,,Benfica B,Time to be defined
2024-10-13T00:00:00+00:00,2024,Segunda Liga,Portugal,Vizela,,,Oliveirense,Time to be defined
2024-10-13T00:00:00+00:00,2024,Segunda Liga,Portugal,FC Porto B,,,Mafra,Time to be defined
2024-10-13T00:00:00+00:00,2024,Segunda Liga,Portugal,Chaves,,,Feirense,Time to be defined
2024-10-13T00:00:00+00:00,2024,Segunda Liga,Portugal,Alverca,,,Penafiel,Time to be defined
2024-10-13T00:00:00+00:00,2024,Segunda Liga,Portugal,Academico Viseu,,,Maritimo,Time to be defined
2024-10-13T00:00:00+00:00,2024,Segunda Liga,Portugal,Pacos Ferreira,,,Torreense,Time to be defined
2024-10-27T00:00:00+00:00,2024,Segunda Liga,Portugal,Torreense,,,Alverca,Time to be defined
2024-10-27T00:00:00+00:00,2024,Segunda Liga,Portugal,Oliveirense,,,Chaves,Time to be defined
2024-10-27T00:00:00+00:00,2024,Segunda Liga,Portugal,Mafra,,,União de Leiria,Time to be defined
2024-10-27T00:00:00+00:00,2024,Segunda Liga,Portugal,Penafiel,,,Academico Viseu,Time to be defined
2024-10-27T00:00:00+00:00,2024,Segunda Liga,Portugal,Felgueiras 1932,,,Maritimo,Time to be defined
2024-10-27T00:00:00+00:00,2024,Segunda Liga,Portugal,Benfica B,,,Tondela,Time to be defined
2024-10-27T00:00:00+00:00,2024,Segunda Liga,Portugal,Pacos Ferreira,,,Vizela,Time to be defined
2024-10-27T00:00:00+00:00,2024,Segunda Liga,Portugal,Feirense,,,Portimonense,Time to be defined
2024-10-27T00:00:00+00:00,2024,Segunda Liga,Portugal,Leixoes,,,FC Porto B,Time to be defined
2024-11-03T00:00:00+00:00,2024,Segunda Liga,Portugal,Maritimo,,,Penafiel,Time to be defined
2024-11-03T00:00:00+00:00,2024,Segunda Liga,Portugal,Portimonense,,,Vizela,Time to be defined
2024-11-03T00:00:00+00:00,2024,Segunda Liga,Portugal,União de Leiria,,,Leixoes,Time to be defined
2024-11-03T00:00:00+00:00,2024,Segunda Liga,Portugal,Tondela,,,Oliveirense,Time to be defined
2024-11-03T00:00:00+00:00,2024,Segunda Liga,Portugal,Chaves,,,Pacos Ferreira,Time to be defined
2024-11-03T00:00:00+00:00,2024,Segunda Liga,Portugal,FC Porto B,,,Torreense,Time to be defined
2024-11-03T00:00:00+00:00,2024,Segunda Liga,Portugal,Alverca,,,Feirense,Time to be defined
2024-11-03T00:00:00+00:00,2024,Segunda Liga,Portugal,Academico Viseu,,,Benfica B,Time to be defined
2024-11-03T00:00:00+00:00,2024,Segunda Liga,Portugal,Felgueiras 1932,,,Mafra,Time to be defined
