date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-04-13T21:30:00+00:00,2024,Serie A,Brazil,Internacional,2,1,Bahia,Match Finished
2024-04-14T20:00:00+00:00,2024,Serie A,Brazil,Cruzeiro,3,2,Botafogo,Match Finished
2024-04-14T21:30:00+00:00,2024,Serie A,Brazil,Vitoria,0,1,Palmeiras,Match Finished
2024-04-14T00:00:00+00:00,2024,Serie A,Brazil,Fluminense,2,2,RB Bragantino,Match Finished
2024-04-14T19:00:00+00:00,2024,Serie A,Brazil,Vasco DA Gama,2,1,Gremio,Match Finished
2024-04-14T19:00:00+00:00,2024,Serie A,Brazil,Corinthians,0,0,Atletico-MG,Match Finished
2024-04-14T00:00:00+00:00,2024,Serie A,Brazil,Sao Paulo,1,2,Fortaleza EC,Match Finished
2024-04-14T19:00:00+00:00,2024,Serie A,Brazil,Atletico Paranaense,4,0,Cuiaba,Match Finished
2024-04-14T19:00:00+00:00,2024,Serie A,Brazil,Atletico Goianiense,1,2,Flamengo,Match Finished
2024-04-13T21:30:00+00:00,2024,Serie A,Brazil,Criciuma,1,1,Juventude,Match Finished
2024-04-18T22:00:00+00:00,2024,Serie A,Brazil,Gremio,2,0,Atletico Paranaense,Match Finished
2024-04-17T23:00:00+00:00,2024,Serie A,Brazil,Atletico-MG,1,1,Criciuma,Match Finished
2024-04-17T00:30:00+00:00,2024,Serie A,Brazil,Bahia,2,1,Fluminense,Match Finished
2024-04-18T00:30:00+00:00,2024,Serie A,Brazil,Flamengo,2,1,Sao Paulo,Match Finished
2024-04-19T00:30:00+00:00,2024,Serie A,Brazil,Botafogo,1,0,Atletico Goianiense,Match Finished
2024-04-17T23:00:00+00:00,2024,Serie A,Brazil,Palmeiras,0,1,Internacional,Match Finished
2024-04-18T22:00:00+00:00,2024,Serie A,Brazil,RB Bragantino,2,1,Vasco DA Gama,Match Finished
2024-04-17T23:00:00+00:00,2024,Serie A,Brazil,Fortaleza EC,1,1,Cruzeiro,Match Finished
2024-06-05T23:00:00+00:00,2024,Serie A,Brazil,Cuiaba,0,0,Vitoria,Match Finished
2024-04-17T23:00:00+00:00,2024,Serie A,Brazil,Juventude,2,0,Corinthians,Match Finished
2024-04-20T21:30:00+00:00,2024,Serie A,Brazil,Gremio,1,0,Cuiaba,Match Finished
2024-04-21T00:00:00+00:00,2024,Serie A,Brazil,Atletico-MG,3,0,Cruzeiro,Match Finished
2024-04-21T19:00:00+00:00,2024,Serie A,Brazil,Vitoria,2,2,Bahia,Match Finished
2024-04-20T19:00:00+00:00,2024,Serie A,Brazil,Fluminense,2,1,Vasco DA Gama,Match Finished
2024-04-21T21:30:00+00:00,2024,Serie A,Brazil,Botafogo,5,1,Juventude,Match Finished
2024-04-21T19:00:00+00:00,2024,Serie A,Brazil,Palmeiras,0,0,Flamengo,Match Finished
2024-04-20T21:30:00+00:00,2024,Serie A,Brazil,RB Bragantino,1,0,Corinthians,Match Finished
2024-04-21T19:00:00+00:00,2024,Serie A,Brazil,Atletico Paranaense,1,0,Internacional,Match Finished
2024-04-21T21:30:00+00:00,2024,Serie A,Brazil,Atletico Goianiense,0,3,Sao Paulo,Match Finished
2024-07-24T22:00:00+00:00,2024,Serie A,Brazil,Criciuma,1,1,Fortaleza EC,Match Finished
2024-04-28T23:00:00+00:00,2024,Serie A,Brazil,Internacional,1,1,Atletico Goianiense,Match Finished
2024-04-28T19:00:00+00:00,2024,Serie A,Brazil,Cruzeiro,3,1,Vitoria,Match Finished
2024-04-28T00:00:00+00:00,2024,Serie A,Brazil,Bahia,1,0,Gremio,Match Finished
2024-04-28T14:00:00+00:00,2024,Serie A,Brazil,Flamengo,0,2,Botafogo,Match Finished
2024-04-27T19:00:00+00:00,2024,Serie A,Brazil,Vasco DA Gama,0,4,Criciuma,Match Finished
2024-04-28T19:00:00+00:00,2024,Serie A,Brazil,Corinthians,3,0,Fluminense,Match Finished
