date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-04-23T00:00:00+00:00,2024,Serie B,Brazil,Vila Nova,2,0,Guarani Campinas,Match Finished
2024-04-21T21:00:00+00:00,2024,Serie B,Brazil,Ponte Preta,1,1,Coritiba,Match Finished
2024-04-19T22:00:00+00:00,2024,Serie B,Brazil,Botafogo SP,1,1,America Mineiro,Match Finished
2024-04-19T22:00:00+00:00,2024,Serie B,Brazil,Novorizontino,2,1,CRB,Match Finished
2024-04-20T19:30:00+00:00,2024,Serie B,Brazil,Santos,2,0,Paysandu,Match Finished
2024-04-20T18:30:00+00:00,2024,Serie B,Brazil,Chapecoense-sc,3,1,Ituano,Match Finished
2024-04-24T00:00:00+00:00,2024,Serie B,Brazil,Brusque,3,1,Mirassol,Match Finished
2024-04-20T00:00:00+00:00,2024,Serie B,Brazil,Operario-PR,1,0,Avai,Match Finished
2024-04-20T20:00:00+00:00,2024,Serie B,Brazil,Amazonas,2,3,Sport Recife,Match Finished
2024-04-20T21:00:00+00:00,2024,Serie B,Brazil,Ceara,1,1,Goias,Match Finished
2024-04-28T21:30:00+00:00,2024,Serie B,Brazil,Goias,3,0,Ponte Preta,Match Finished
2024-04-27T00:00:00+00:00,2024,Serie B,Brazil,Guarani Campinas,0,1,Chapecoense-sc,Match Finished
2024-04-29T22:30:00+00:00,2024,Serie B,Brazil,Mirassol,3,2,Ceara,Match Finished
2024-04-26T22:00:00+00:00,2024,Serie B,Brazil,Ituano,0,2,Operario-PR,Match Finished
2024-04-27T21:00:00+00:00,2024,Serie B,Brazil,America Mineiro,2,0,Novorizontino,Match Finished
2024-04-26T23:00:00+00:00,2024,Serie B,Brazil,Avai,0,2,Santos,Match Finished
2024-04-27T20:00:00+00:00,2024,Serie B,Brazil,CRB,0,0,Amazonas,Match Finished
2024-04-28T19:00:00+00:00,2024,Serie B,Brazil,Coritiba,1,0,Brusque,Match Finished
2024-04-27T20:00:00+00:00,2024,Serie B,Brazil,Paysandu,1,1,Botafogo SP,Match Finished
2024-04-26T22:00:00+00:00,2024,Serie B,Brazil,Sport Recife,2,0,Vila Nova,Match Finished
2024-05-04T21:00:00+00:00,2024,Serie B,Brazil,Vila Nova,1,0,Operario-PR,Match Finished
2024-05-06T23:00:00+00:00,2024,Serie B,Brazil,Ponte Preta,3,0,Amazonas,Match Finished
2024-05-08T00:00:00+00:00,2024,Serie B,Brazil,Botafogo SP,0,0,Mirassol,Match Finished
2024-05-05T00:00:00+00:00,2024,Serie B,Brazil,Ituano,1,3,Novorizontino,Match Finished
2024-05-07T00:00:00+00:00,2024,Serie B,Brazil,Santos,4,1,Guarani Campinas,Match Finished
2024-05-04T20:00:00+00:00,2024,Serie B,Brazil,Chapecoense-sc,2,2,America Mineiro,Match Finished
2024-05-05T19:00:00+00:00,2024,Serie B,Brazil,Brusque,0,2,Goias,Match Finished
2024-05-04T00:30:00+00:00,2024,Serie B,Brazil,Coritiba,0,1,Sport Recife,Match Finished
2024-05-03T22:00:00+00:00,2024,Serie B,Brazil,Paysandu,0,0,Avai,Match Finished
2024-05-06T22:00:00+00:00,2024,Serie B,Brazil,Ceara,2,2,CRB,Match Finished
2024-05-11T00:30:00+00:00,2024,Serie B,Brazil,Goias,2,0,Ituano,Match Finished
2024-05-11T20:00:00+00:00,2024,Serie B,Brazil,Guarani Campinas,2,0,Botafogo SP,Match Finished
2024-05-12T19:00:00+00:00,2024,Serie B,Brazil,Mirassol,2,1,Paysandu,Match Finished
2024-05-10T22:00:00+00:00,2024,Serie B,Brazil,Novorizontino,0,3,Ceara,Match Finished
2024-05-09T00:00:00+00:00,2024,Serie B,Brazil,America Mineiro,3,1,Vila Nova,Match Finished
2024-05-12T00:00:00+00:00,2024,Serie B,Brazil,Avai,1,0,Coritiba,Match Finished
2024-05-11T00:30:00+00:00,2024,Serie B,Brazil,CRB,2,0,Chapecoense-sc,Match Finished
2024-05-11T20:00:00+00:00,2024,Serie B,Brazil,Operario-PR,1,1,Ponte Preta,Match Finished
2024-05-11T20:00:00+00:00,2024,Serie B,Brazil,Amazonas,1,0,Santos,Match Finished
2024-05-11T20:00:00+00:00,2024,Serie B,Brazil,Sport Recife,4,1,Brusque,Match Finished
2024-05-14T22:00:00+00:00,2024,Serie B,Brazil,Vila Nova,2,1,Novorizontino,Match Finished
2024-05-16T00:30:00+00:00,2024,Serie B,Brazil,Ponte Preta,1,2,Santos,Match Finished
2024-05-15T00:30:00+00:00,2024,Serie B,Brazil,Botafogo SP,0,0,Chapecoense-sc,Match Finished
2024-05-15T22:00:00+00:00,2024,Serie B,Brazil,Ituano,1,0,Sport Recife,Match Finished
2024-05-15T22:00:00+00:00,2024,Serie B,Brazil,America Mineiro,0,0,Mirassol,Match Finished
2024-05-14T22:00:00+00:00,2024,Serie B,Brazil,Avai,2,1,CRB,Match Finished
2024-05-15T22:00:00+00:00,2024,Serie B,Brazil,Brusque,0,0,Operario-PR,Match Finished
2024-05-15T00:30:00+00:00,2024,Serie B,Brazil,Coritiba,1,0,Guarani Campinas,Match Finished
2024-05-16T00:30:00+00:00,2024,Serie B,Brazil,Paysandu,1,1,Goias,Match Finished
2024-05-16T00:30:00+00:00,2024,Serie B,Brazil,Ceara,2,1,Amazonas,Match Finished
2024-05-18T21:30:00+00:00,2024,Serie B,Brazil,Goias,4,0,Botafogo SP,Match Finished
2024-05-21T00:00:00+00:00,2024,Serie B,Brazil,Guarani Campinas,1,2,America Mineiro,Match Finished
2024-05-19T19:00:00+00:00,2024,Serie B,Brazil,Mirassol,2,0,Ituano,Match Finished
2024-05-18T00:30:00+00:00,2024,Serie B,Brazil,Novorizontino,0,0,Coritiba,Match Finished
2024-05-19T14:00:00+00:00,2024,Serie B,Brazil,Santos,4,0,Brusque,Match Finished
2024-05-21T20:00:00+00:00,2024,Serie B,Brazil,Chapecoense-sc,0,0,Ponte Preta,Match Finished
2024-05-17T22:00:00+00:00,2024,Serie B,Brazil,CRB,1,0,Vila Nova,Match Finished
2024-05-19T19:00:00+00:00,2024,Serie B,Brazil,Operario-PR,0,0,Ceara,Match Finished
2024-05-18T20:30:00+00:00,2024,Serie B,Brazil,Amazonas,1,1,Paysandu,Match Finished
2024-05-19T00:00:00+00:00,2024,Serie B,Brazil,Sport Recife,1,2,Avai,Match Finished
2024-05-26T20:00:00+00:00,2024,Serie B,Brazil,Vila Nova,2,2,Brusque,Match Finished
2024-05-26T00:00:00+00:00,2024,Serie B,Brazil,Guarani Campinas,0,0,Paysandu,Match Finished
2024-05-28T00:00:00+00:00,2024,Serie B,Brazil,Botafogo SP,0,1,Novorizontino,Match Finished
2024-05-26T19:00:00+00:00,2024,Serie B,Brazil,Ituano,2,0,Ponte Preta,Match Finished
2024-05-25T00:30:00+00:00,2024,Serie B,Brazil,America Mineiro,2,1,Santos,Match Finished
2024-05-28T00:30:00+00:00,2024,Serie B,Brazil,Avai,2,0,Goias,Match Finished
2024-05-24T00:00:00+00:00,2024,Serie B,Brazil,CRB,,,Sport Recife,Match Postponed
2024-05-27T22:00:00+00:00,2024,Serie B,Brazil,Coritiba,3,0,Operario-PR,Match Finished
2024-05-28T22:00:00+00:00,2024,Serie B,Brazil,Amazonas,1,0,Mirassol,Match Finished
2024-05-26T21:30:00+00:00,2024,Serie B,Brazil,Ceara,2,1,Chapecoense-sc,Match Finished
2024-06-01T00:30:00+00:00,2024,Serie B,Brazil,Goias,3,0,Sport Recife,Match Finished
2024-06-02T19:00:00+00:00,2024,Serie B,Brazil,Ponte Preta,4,2,CRB,Match Finished
2024-06-04T22:00:00+00:00,2024,Serie B,Brazil,Mirassol,3,0,Guarani Campinas,Match Finished
2024-06-02T21:30:00+00:00,2024,Serie B,Brazil,Ituano,0,1,Avai,Match Finished
2024-06-03T23:00:00+00:00,2024,Serie B,Brazil,Santos,1,2,Botafogo SP,Match Finished
2024-06-02T19:00:00+00:00,2024,Serie B,Brazil,Chapecoense-sc,1,1,Vila Nova,Match Finished
2024-06-01T20:00:00+00:00,2024,Serie B,Brazil,Brusque,0,0,Novorizontino,Match Finished
2024-06-04T00:00:00+00:00,2024,Serie B,Brazil,Operario-PR,1,0,Amazonas,Match Finished
2024-06-05T00:30:00+00:00,2024,Serie B,Brazil,Paysandu,2,0,America Mineiro,Match Finished
2024-05-31T22:00:00+00:00,2024,Serie B,Brazil,Ceara,1,0,Coritiba,Match Finished
2024-06-10T22:00:00+00:00,2024,Serie B,Brazil,Vila Nova,3,2,Ceara,Match Finished
2024-06-08T20:00:00+00:00,2024,Serie B,Brazil,Guarani Campinas,0,1,Operario-PR,Match Finished
2024-06-11T22:00:00+00:00,2024,Serie B,Brazil,Mirassol,1,0,Goias,Match Finished
2024-06-08T00:00:00+00:00,2024,Serie B,Brazil,Novorizontino,3,1,Santos,Match Finished
2024-06-09T21:30:00+00:00,2024,Serie B,Brazil,America Mineiro,2,0,Ponte Preta,Match Finished
2024-06-09T19:00:00+00:00,2024,Serie B,Brazil,Avai,0,0,Chapecoense-sc,Match Finished
2024-07-17T23:30:00+00:00,2024,Serie B,Brazil,CRB,4,1,Botafogo SP,Match Finished
2024-06-07T22:00:00+00:00,2024,Serie B,Brazil,Coritiba,4,2,Ituano,Match Finished
