date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-17T18:30:00+00:00,2024,Serie B,Italy,Bari,,,Juve Stabia,Not Started
2024-08-16T18:30:00+00:00,2024,Serie B,Italy,Brescia,,,Palermo,Not Started
2024-08-18T18:30:00+00:00,2024,Serie B,Italy,Catanzaro,,,Sassuolo,Not Started
2024-08-18T18:30:00+00:00,2024,Serie B,Italy,Cesena,,,Carrarese,Not Started
2024-08-18T18:30:00+00:00,2024,Serie B,Italy,Cosenza,,,Cremonese,Not Started
2024-08-18T18:30:00+00:00,2024,Serie B,Italy,Frosinone,,,Sampdoria,Not Started
2024-08-17T18:30:00+00:00,2024,Serie B,Italy,Pisa,,,Spezia,Not Started
2024-08-18T18:30:00+00:00,2024,Serie B,Italy,Reggiana,,,Mantova,Not Started
2024-08-17T18:30:00+00:00,2024,Serie B,Italy,Salernitana,,,Cittadella,Not Started
2024-08-17T18:30:00+00:00,2024,Serie B,Italy,Sudtirol,,,Modena,Not Started
2024-08-24T18:30:00+00:00,2024,Serie B,Italy,Brescia,,,Cittadella,Not Started
2024-08-25T18:30:00+00:00,2024,Serie B,Italy,Catanzaro,,,Juve Stabia,Not Started
2024-08-24T18:30:00+00:00,2024,Serie B,Italy,Cremonese,,,Carrarese,Not Started
2024-08-25T18:30:00+00:00,2024,Serie B,Italy,Mantova,,,Cosenza,Not Started
2024-08-23T18:30:00+00:00,2024,Serie B,Italy,Modena,,,Bari,Not Started
2024-08-24T18:30:00+00:00,2024,Serie B,Italy,Pisa,,,Palermo,Not Started
2024-08-24T18:30:00+00:00,2024,Serie B,Italy,Sampdoria,,,Reggiana,Not Started
2024-08-24T18:30:00+00:00,2024,Serie B,Italy,Sassuolo,,,Cesena,Not Started
2024-08-24T18:30:00+00:00,2024,Serie B,Italy,Spezia,,,Frosinone,Not Started
2024-08-24T17:30:00+00:00,2024,Serie B,Italy,Sudtirol,,,Salernitana,Not Started
2024-08-27T18:30:00+00:00,2024,Serie B,Italy,Bari,,,Sassuolo,Not Started
2024-08-27T18:30:00+00:00,2024,Serie B,Italy,Carrarese,,,Sudtirol,Not Started
2024-08-28T18:30:00+00:00,2024,Serie B,Italy,Cesena,,,Catanzaro,Not Started
