date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-09T15:30:00+00:00,2024,Stars League,Qatar,Al-Rayyan SC,3,1,UMM Salal,Match Finished
2024-08-09T17:30:00+00:00,2024,Stars League,Qatar,Al-Khor,0,0,Al-Gharafa,Match Finished
2024-08-10T15:30:00+00:00,2024,Stars League,Qatar,Qatar SC,1,6,Al-Duhail SC,Match Finished
2024-08-10T17:30:00+00:00,2024,Stars League,Qatar,Al Shamal,2,1,Al Sadd,Match Finished
2024-08-11T15:30:00+00:00,2024,Stars League,Qatar,Al Wakrah,2,2,Al Ahli Doha,Match Finished
2025-01-12T17:30:00+00:00,2024,Stars League,Qatar,Al-Arabi SC,,,Al Shahaniya,Time to be defined
2024-08-16T15:30:00+00:00,2024,Stars League,Qatar,UMM Salal,,,Al Shamal,Not Started
2024-08-16T17:30:00+00:00,2024,Stars League,Qatar,Al-Duhail SC,,,Al-Rayyan SC,Not Started
2024-08-17T15:30:00+00:00,2024,Stars League,Qatar,Qatar SC,,,Al Sadd,Not Started
2024-08-17T17:30:00+00:00,2024,Stars League,Qatar,Al-Arabi SC,,,Al Wakrah,Not Started
2024-08-18T15:30:00+00:00,2024,Stars League,Qatar,Al-Khor,,,Al Shahaniya,Not Started
2024-08-18T17:30:00+00:00,2024,Stars League,Qatar,Al Ahli Doha,,,Al-Gharafa,Not Started
2024-08-22T15:30:00+00:00,2024,Stars League,Qatar,Al-Duhail SC,,,UMM Salal,Not Started
2024-08-22T17:30:00+00:00,2024,Stars League,Qatar,Al Shamal,,,Qatar SC,Not Started
2024-08-22T17:30:00+00:00,2024,Stars League,Qatar,Al Sadd,,,Al-Arabi SC,Not Started
2024-08-23T15:30:00+00:00,2024,Stars League,Qatar,Al-Gharafa,,,Al-Rayyan SC,Not Started
2024-08-23T17:30:00+00:00,2024,Stars League,Qatar,Al Ahli Doha,,,Al-Khor,Not Started
2024-08-23T17:30:00+00:00,2024,Stars League,Qatar,Al Shahaniya,,,Al Wakrah,Not Started
2024-09-13T00:00:00+00:00,2024,Stars League,Qatar,Al-Rayyan SC,,,Al Shahaniya,Time to be defined
2024-09-13T00:00:00+00:00,2024,Stars League,Qatar,Al Wakrah,,,Al-Duhail SC,Time to be defined
2024-09-13T00:00:00+00:00,2024,Stars League,Qatar,Al Sadd,,,UMM Salal,Time to be defined
2024-09-14T00:00:00+00:00,2024,Stars League,Qatar,Al-Gharafa,,,Al Shamal,Time to be defined
2024-09-14T00:00:00+00:00,2024,Stars League,Qatar,Qatar SC,,,Al Ahli Doha,Time to be defined
2024-09-14T00:00:00+00:00,2024,Stars League,Qatar,Al-Arabi SC,,,Al-Khor,Time to be defined
2024-09-21T00:00:00+00:00,2024,Stars League,Qatar,Al-Rayyan SC,,,Al Wakrah,Time to be defined
2024-09-21T00:00:00+00:00,2024,Stars League,Qatar,UMM Salal,,,Al Shahaniya,Time to be defined
2024-09-21T00:00:00+00:00,2024,Stars League,Qatar,Al-Duhail SC,,,Al Sadd,Time to be defined
2024-09-22T00:00:00+00:00,2024,Stars League,Qatar,Qatar SC,,,Al-Gharafa,Time to be defined
2024-09-22T00:00:00+00:00,2024,Stars League,Qatar,Al-Khor,,,Al Shamal,Time to be defined
