date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-07-20T16:00:00+00:00,2024,Super League,Switzerland,FC Lugano,2,1,Grasshoppers,Match Finished
2024-07-20T16:00:00+00:00,2024,Super League,Switzerland,Yverdon Sport,0,2,FC Zurich,Match Finished
2024-07-20T18:30:00+00:00,2024,Super League,Switzerland,FC Winterthur,1,0,FC ST. Gallen,Match Finished
2024-07-21T12:15:00+00:00,2024,Super League,Switzerland,BSC Young Boys,1,2,FC Sion,Match Finished
2024-07-21T14:30:00+00:00,2024,Super League,Switzerland,Lausanne,3,2,FC Basel 1893,Match Finished
2024-07-21T14:30:00+00:00,2024,Super League,Switzerland,FC Luzern,1,2,Servette FC,Match Finished
2024-07-27T16:00:00+00:00,2024,Super League,Switzerland,Grasshoppers,2,2,FC Luzern,Match Finished
2024-07-27T16:00:00+00:00,2024,Super League,Switzerland,FC Sion,4,0,Lausanne,Match Finished
2024-07-27T18:30:00+00:00,2024,Super League,Switzerland,FC Basel 1893,1,2,FC Lugano,Match Finished
2024-07-28T12:15:00+00:00,2024,Super League,Switzerland,Servette FC,3,2,Yverdon Sport,Match Finished
2024-07-28T14:30:00+00:00,2024,Super League,Switzerland,FC ST. Gallen,4,0,BSC Young Boys,Match Finished
2024-07-28T14:30:00+00:00,2024,Super League,Switzerland,FC Zurich,4,2,FC Winterthur,Match Finished
2024-08-03T16:00:00+00:00,2024,Super League,Switzerland,Grasshoppers,0,3,FC Basel 1893,Match Finished
2024-08-03T16:00:00+00:00,2024,Super League,Switzerland,FC Lugano,3,1,Servette FC,Match Finished
2024-08-03T18:30:00+00:00,2024,Super League,Switzerland,FC Luzern,1,0,FC Sion,Match Finished
2024-08-04T12:15:00+00:00,2024,Super League,Switzerland,Lausanne,3,4,FC ST. Gallen,Match Finished
2024-08-04T14:30:00+00:00,2024,Super League,Switzerland,FC Winterthur,0,0,Yverdon Sport,Match Finished
2024-08-04T14:30:00+00:00,2024,Super League,Switzerland,BSC Young Boys,2,2,FC Zurich,Match Finished
2024-08-11T14:30:00+00:00,2024,Super League,Switzerland,FC Lugano,2,3,FC Luzern,Match Finished
2024-08-10T16:00:00+00:00,2024,Super League,Switzerland,FC Sion,2,0,FC Winterthur,Match Finished
2024-08-10T18:30:00+00:00,2024,Super League,Switzerland,Yverdon Sport,2,2,BSC Young Boys,Match Finished
2024-08-11T12:15:00+00:00,2024,Super League,Switzerland,FC ST. Gallen,1,0,Grasshoppers,Match Finished
