date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-08-10T16:15:00+00:00,2024,Süper Lig,Turkey,Kasimpasa,2,3,Konyaspor,Match Finished
2024-08-11T18:45:00+00:00,2024,Süper Lig,Turkey,Alanyaspor,1,1,Eyüpspor,Match Finished
2024-08-10T18:45:00+00:00,2024,Süper Lig,Turkey,Antalyaspor,0,0,Goztepe,Match Finished
2024-08-11T16:15:00+00:00,2024,Süper Lig,Turkey,Sivasspor,0,0,Trabzonspor,Match Finished
2024-08-10T18:45:00+00:00,2024,Süper Lig,Turkey,Fenerbahce,1,0,Adana Demirspor,Match Finished
2024-08-11T18:45:00+00:00,2024,Süper Lig,Turkey,Samsunspor,0,2,Besiktas,Match Finished
2024-08-09T18:00:00+00:00,2024,Süper Lig,Turkey,Galatasaray,2,1,Hatayspor,Match Finished
2024-08-12T18:00:00+00:00,2024,Süper Lig,Turkey,Rizespor,1,1,Istanbul Basaksehir,Match Finished
2024-08-12T18:00:00+00:00,2024,Süper Lig,Turkey,BB Bodrumspor,0,1,Gazişehir Gaziantep,Match Finished
2024-08-17T18:45:00+00:00,2024,Süper Lig,Turkey,Goztepe,,,Fenerbahce,Not Started
2024-08-18T18:45:00+00:00,2024,Süper Lig,Turkey,Gazişehir Gaziantep,,,Samsunspor,Not Started
2024-08-18T16:15:00+00:00,2024,Süper Lig,Turkey,Istanbul Basaksehir,,,Alanyaspor,Not Started
2024-08-19T18:00:00+00:00,2024,Süper Lig,Turkey,Eyüpspor,,,BB Bodrumspor,Not Started
2024-08-16T18:00:00+00:00,2024,Süper Lig,Turkey,Konyaspor,,,Galatasaray,Not Started
2024-08-17T18:45:00+00:00,2024,Süper Lig,Turkey,Adana Demirspor,,,Rizespor,Not Started
2024-08-19T18:00:00+00:00,2024,Süper Lig,Turkey,Hatayspor,,,Kasimpasa,Not Started
2024-08-18T18:45:00+00:00,2024,Süper Lig,Turkey,Besiktas,,,Antalyaspor,Not Started
2024-08-17T16:15:00+00:00,2024,Süper Lig,Turkey,Kayserispor,,,Sivasspor,Not Started
2024-08-25T16:00:00+00:00,2024,Süper Lig,Turkey,Antalyaspor,,,Hatayspor,Time to be defined
2024-08-25T16:00:00+00:00,2024,Süper Lig,Turkey,Kasimpasa,,,Adana Demirspor,Time to be defined
2024-08-25T16:00:00+00:00,2024,Süper Lig,Turkey,Alanyaspor,,,Goztepe,Time to be defined
2024-08-25T16:00:00+00:00,2024,Süper Lig,Turkey,Sivasspor,,,Eyüpspor,Time to be defined
2024-08-25T16:00:00+00:00,2024,Süper Lig,Turkey,Samsunspor,,,Istanbul Basaksehir,Time to be defined
2024-08-25T16:00:00+00:00,2024,Süper Lig,Turkey,Trabzonspor,,,Kayserispor,Time to be defined
2024-08-25T16:00:00+00:00,2024,Süper Lig,Turkey,Galatasaray,,,Gazişehir Gaziantep,Time to be defined
2024-08-25T16:00:00+00:00,2024,Süper Lig,Turkey,Rizespor,,,Fenerbahce,Time to be defined
2024-08-25T16:00:00+00:00,2024,Süper Lig,Turkey,BB Bodrumspor,,,Konyaspor,Time to be defined
2024-09-01T16:00:00+00:00,2024,Süper Lig,Turkey,Goztepe,,,BB Bodrumspor,Time to be defined
2024-09-01T16:00:00+00:00,2024,Süper Lig,Turkey,Istanbul Basaksehir,,,Antalyaspor,Time to be defined
2024-09-01T16:00:00+00:00,2024,Süper Lig,Turkey,Rizespor,,,Kasimpasa,Time to be defined
2024-09-01T16:00:00+00:00,2024,Süper Lig,Turkey,Eyüpspor,,,Trabzonspor,Time to be defined
2024-09-01T16:00:00+00:00,2024,Süper Lig,Turkey,Adana Demirspor,,,Galatasaray,Time to be defined
2024-09-01T16:00:00+00:00,2024,Süper Lig,Turkey,Konyaspor,,,Kayserispor,Time to be defined
2024-09-01T16:00:00+00:00,2024,Süper Lig,Turkey,Hatayspor,,,Samsunspor,Time to be defined
2024-09-01T16:00:00+00:00,2024,Süper Lig,Turkey,Besiktas,,,Sivasspor,Time to be defined
2024-09-01T16:00:00+00:00,2024,Süper Lig,Turkey,Fenerbahce,,,Alanyaspor,Time to be defined
