date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-09-22T14:00:00+00:00,2024,Taça de Portugal,Portugal,Lajense,,,Fabril Barreiro,Not Started
2024-09-22T14:00:00+00:00,2024,Taça de Portugal,Portugal,Lusitano Évora 1911,,,Academico Viseu,Not Started
2024-09-22T14:00:00+00:00,2024,Taça de Portugal,Portugal,Pêro Pinheiro,,,Feirense,Not Started
2024-09-22T14:00:00+00:00,2024,Taça de Portugal,Portugal,Coimbrões,,,Alverca,Not Started
2024-09-22T14:00:00+00:00,2024,Taça de Portugal,Portugal,Pevidem,,,Maritimo,Not Started
2024-09-22T14:00:00+00:00,2024,Taça de Portugal,Portugal,Camacha,,,União de Leiria,Not Started
2024-09-22T14:00:00+00:00,2024,Taça de Portugal,Portugal,Olímpico do Montijo,,,Mafra,Not Started
2024-09-22T14:00:00+00:00,2024,Taça de Portugal,Portugal,1º Dezembro,,,Oliveirense,Not Started
2024-09-22T14:00:00+00:00,2024,Taça de Portugal,Portugal,Amora,,,Felgueiras 1932,Not Started
2024-09-22T14:00:00+00:00,2024,Taça de Portugal,Portugal,Peniche,,,Pacos Ferreira,Not Started
2024-09-22T14:00:00+00:00,2024,Taça de Portugal,Portugal,Os Marialvas,,,Tondela,Not Started
2024-09-22T14:00:00+00:00,2024,Taça de Portugal,Portugal,Tocha,,,Penafiel,Not Started
2024-09-22T14:00:00+00:00,2024,Taça de Portugal,Portugal,Academica,,,Atlético Arcos,Not Started
2024-09-22T14:00:00+00:00,2024,Taça de Portugal,Portugal,Varzim,,,Ferreiras,Not Started
2024-09-08T16:00:00+00:00,2024,Taça de Portugal,Portugal,Valpaços,,,Os Limianos,Not Started
2024-09-08T16:00:00+00:00,2024,Taça de Portugal,Portugal,Vieira,,,Pedras Salgadas,Not Started
2024-09-08T16:00:00+00:00,2024,Taça de Portugal,Portugal,Maria da Fonte,,,Cardielense,Not Started
2024-09-08T16:00:00+00:00,2024,Taça de Portugal,Portugal,Dumiense,,,Vilaverdense,Not Started
2024-09-08T16:00:00+00:00,2024,Taça de Portugal,Portugal,Vianense,,,Vinhais,Not Started
2024-09-08T16:00:00+00:00,2024,Taça de Portugal,Portugal,Brito,,,Maia Lidador,Not Started
2024-09-08T16:00:00+00:00,2024,Taça de Portugal,Portugal,Fafe,,,Amarante,Not Started
2024-09-08T16:00:00+00:00,2024,Taça de Portugal,Portugal,Machico,,,Macedo Cavaleiros,Not Started
2024-09-08T16:00:00+00:00,2024,Taça de Portugal,Portugal,Vila Real,,,Joane,Not Started
2024-09-08T16:00:00+00:00,2024,Taça de Portugal,Portugal,Aliança de Gandra,,,Salgueiros,Not Started
2024-09-08T16:00:00+00:00,2024,Taça de Portugal,Portugal,Leça,,,AD Marco 09,Not Started
2024-09-08T16:00:00+00:00,2024,Taça de Portugal,Portugal,Velense,,,Régua,Not Started
2024-09-08T16:00:00+00:00,2024,Taça de Portugal,Portugal,Rebordosa,,,Juventude Gaula,Not Started
2024-09-08T16:00:00+00:00,2024,Taça de Portugal,Portugal,Ginásio Figueirense,,,Sanjoanense,Not Started
