date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2024-04-10T19:00:00+00:00,2024,Torneo Federal A,Argentina,Sansinena,0,1,Olimpo Bahia Blanca,Match Finished
2024-03-22T19:00:00+00:00,2024,Torneo Federal A,Argentina,Kimberley Mar del Plata,2,0,Cipolletti,Match Finished
2024-03-23T19:30:00+00:00,2024,Torneo Federal A,Argentina,Sol de Mayo,1,0,Deportivo Rincon,Match Finished
2024-03-23T18:00:00+00:00,2024,Torneo Federal A,Argentina,Germinal de Rawson,3,0,Circulo Deportivo,Match Finished
2024-03-23T20:00:00+00:00,2024,Torneo Federal A,Argentina,Villa Mitre,2,0,Santamarina,Match Finished
2024-03-30T19:30:00+00:00,2024,Torneo Federal A,Argentina,Villa Mitre,3,2,Sansinena,Match Finished
2024-03-30T22:00:00+00:00,2024,Torneo Federal A,Argentina,Santamarina,1,1,Germinal de Rawson,Match Finished
2024-03-31T18:00:00+00:00,2024,Torneo Federal A,Argentina,Circulo Deportivo,2,0,Sol de Mayo,Match Finished
2024-03-30T19:00:00+00:00,2024,Torneo Federal A,Argentina,Deportivo Rincon,0,0,Kimberley Mar del Plata,Match Finished
2024-03-31T21:00:00+00:00,2024,Torneo Federal A,Argentina,Cipolletti,0,0,Olimpo Bahia Blanca,Match Finished
2024-04-07T19:00:00+00:00,2024,Torneo Federal A,Argentina,Sansinena,2,0,Cipolletti,Match Finished
2024-04-07T19:30:00+00:00,2024,Torneo Federal A,Argentina,Olimpo Bahia Blanca,1,0,Deportivo Rincon,Match Finished
2024-04-07T14:00:00+00:00,2024,Torneo Federal A,Argentina,Kimberley Mar del Plata,0,1,Circulo Deportivo,Match Finished
2024-04-07T18:00:00+00:00,2024,Torneo Federal A,Argentina,Sol de Mayo,2,0,Santamarina,Match Finished
2024-04-07T18:00:00+00:00,2024,Torneo Federal A,Argentina,Germinal de Rawson,1,0,Villa Mitre,Match Finished
2024-04-14T18:00:00+00:00,2024,Torneo Federal A,Argentina,Germinal de Rawson,3,1,Sansinena,Match Finished
2024-04-14T19:00:00+00:00,2024,Torneo Federal A,Argentina,Villa Mitre,3,1,Sol de Mayo,Match Finished
2024-04-14T22:00:00+00:00,2024,Torneo Federal A,Argentina,Santamarina,1,1,Kimberley Mar del Plata,Match Finished
2024-04-14T19:00:00+00:00,2024,Torneo Federal A,Argentina,Circulo Deportivo,3,1,Olimpo Bahia Blanca,Match Finished
2024-04-14T19:00:00+00:00,2024,Torneo Federal A,Argentina,Deportivo Rincon,1,0,Cipolletti,Match Finished
2024-04-21T19:00:00+00:00,2024,Torneo Federal A,Argentina,Sansinena,0,0,Deportivo Rincon,Match Finished
2024-04-21T14:00:00+00:00,2024,Torneo Federal A,Argentina,Cipolletti,2,1,Circulo Deportivo,Match Finished
2024-04-21T18:30:00+00:00,2024,Torneo Federal A,Argentina,Olimpo Bahia Blanca,1,0,Santamarina,Match Finished
2024-04-21T14:00:00+00:00,2024,Torneo Federal A,Argentina,Kimberley Mar del Plata,1,0,Villa Mitre,Match Finished
2024-04-21T14:15:00+00:00,2024,Torneo Federal A,Argentina,Sol de Mayo,2,2,Germinal de Rawson,Match Finished
2024-04-28T18:00:00+00:00,2024,Torneo Federal A,Argentina,Sol de Mayo,2,1,Sansinena,Match Finished
2024-04-28T18:00:00+00:00,2024,Torneo Federal A,Argentina,Germinal de Rawson,2,1,Kimberley Mar del Plata,Match Finished
2024-04-28T18:35:00+00:00,2024,Torneo Federal A,Argentina,Villa Mitre,1,3,Olimpo Bahia Blanca,Match Finished
2024-04-28T22:00:00+00:00,2024,Torneo Federal A,Argentina,Santamarina,0,0,Cipolletti,Match Finished
2024-04-28T18:00:00+00:00,2024,Torneo Federal A,Argentina,Circulo Deportivo,3,2,Deportivo Rincon,Match Finished
2024-05-05T18:30:00+00:00,2024,Torneo Federal A,Argentina,Sansinena,1,1,Circulo Deportivo,Match Finished
2024-05-04T19:00:00+00:00,2024,Torneo Federal A,Argentina,Deportivo Rincon,1,0,Santamarina,Match Finished
2024-05-05T19:00:00+00:00,2024,Torneo Federal A,Argentina,Cipolletti,0,1,Villa Mitre,Match Finished
2024-05-05T18:30:00+00:00,2024,Torneo Federal A,Argentina,Olimpo Bahia Blanca,0,1,Germinal de Rawson,Match Finished
2024-05-05T14:00:00+00:00,2024,Torneo Federal A,Argentina,Kimberley Mar del Plata,1,1,Sol de Mayo,Match Finished
