Date,HomeTeam,HomeScore,AwayScore,AwayTeam
2024-02-03,San Martin Tucuman,1,0,Gimnasia Jujuy
2024-02-05,Gimnasia M.,0,1,Defensores De Belgrano
2024-02-11,Deportivo Maipu,0,2,San Martin Tucuman
2024-02-11,Chaco For Ever,1,1,Gimnasia M.
2024-02-18,San Martin Tucuman,1,2,Ferro Carril Oeste
2024-02-20,Gimnasia M.,1,1,San Telmo
2024-02-26,San Miguel,1,0,San Martin Tucuman
2024-02-25,Atletico DE Rafaela,4,1,Gimnasia M.
2024-03-05,San Martin Tucuman,0,0,Quilmes
2024-03-05,Gimnasia M.,2,1,Deportivo Madryn
2024-03-10,Talleres Remedios,1,3,San Martin Tucuman
2024-03-10,Defensores Unidos,3,1,Gimnasia M.
2024-03-17,San Martin Tucuman,2,0,CA Estudiantes
2024-03-18,Gimnasia M.,2,1,Atlanta
2024-03-25,Chacarita Juniors,1,0,San Martin Tucuman
2024-03-25,Almirante Brown,0,0,Gimnasia M.
2024-03-30,Gimnasia M.,2,0,Colon Santa Fe
2024-04-02,San Martin Tucuman,1,0,Chaco For Ever
2024-04-07,San Martin Tucuman,3,0,Arsenal Sarandi
2024-04-07,Estudiantes de Rio Cuarto,1,1,Gimnasia M.
2024-04-14,San Martin S.J.,0,0,San Martin Tucuman
2024-04-13,Gimnasia M.,2,3,Aldosivi
2024-04-19,San Martin Tucuman,0,0,Guillermo Brown
2024-04-21,Atletico Mitre,0,1,Gimnasia M.
2024-04-27,Agropecuario,0,1,San Martin Tucuman
2024-04-28,Gimnasia M.,0,0,Gimnasia Y Tiro
2024-05-04,San Martin Tucuman,0,0,All Boys
2024-05-04,Gimnasia M.,0,1,Deportivo Maipu
2024-05-11,Tristan Suarez,0,0,San Martin Tucuman
2024-05-12,Nueva Chicago,2,1,Gimnasia M.
2024-05-21,San Martin Tucuman,2,0,Patronato
2024-05-19,Gimnasia M.,2,1,Deportivo Moron
2024-05-26,Racing Cordoba,0,1,San Martin Tucuman
2024-05-28,Temperley,1,3,Gimnasia M.
2024-06-02,San Martin Tucuman,1,0,Alvarado
2024-06-02,Gimnasia M.,3,1,Brown DE Adrogue
2024-06-09,Club Atlético Güemes,0,0,San Martin Tucuman
2024-06-08,Almagro,2,2,Gimnasia M.
2024-06-23,Gimnasia Jujuy,2,0,San Martin Tucuman
2024-06-22,Defensores De Belgrano,0,1,Gimnasia M.
2024-06-30,San Martin Tucuman,2,1,Deportivo Maipu
2024-06-29,Gimnasia M.,1,0,Chaco For Ever
2024-07-07,Ferro Carril Oeste,3,1,San Martin Tucuman
2024-07-07,San Telmo,0,0,Gimnasia M.
2024-07-14,San Martin Tucuman,1,0,San Miguel
2024-07-13,Gimnasia M.,2,1,Atletico DE Rafaela
2024-07-22,Quilmes,1,2,San Martin Tucuman
2024-07-21,Deportivo Madryn,0,2,Gimnasia M.
2024-07-28,San Martin Tucuman,1,0,Talleres Remedios
2024-07-28,Gimnasia M.,2,0,Defensores Unidos
2024-08-03,CA Estudiantes,1,3,San Martin Tucuman
2024-08-05,Atlanta,1,2,Gimnasia M.
2024-08-11,San Martin Tucuman,1,0,Chacarita Juniors
2024-08-11,Gimnasia M.,1,0,Almirante Brown
2024-08-18,Colon Santa Fe,,,Gimnasia M.
2024-08-18,Chaco For Ever,,,San Martin Tucuman
2024-08-24,Arsenal Sarandi,,,San Martin Tucuman
2024-08-24,Gimnasia M.,,,Estudiantes de Rio Cuarto
2024-08-31,San Martin Tucuman,,,San Martin S.J.
2024-08-31,Aldosivi,,,Gimnasia M.
2024-09-07,Guillermo Brown,,,San Martin Tucuman
2024-09-07,Gimnasia M.,,,Atletico Mitre
2024-09-14,San Martin Tucuman,,,Agropecuario
2024-09-14,Gimnasia Y Tiro,,,Gimnasia M.
2024-09-21,All Boys,,,San Martin Tucuman
2024-09-21,Deportivo Maipu,,,Gimnasia M.
2024-09-28,San Martin Tucuman,,,Tristan Suarez
2024-09-28,Gimnasia M.,,,Nueva Chicago
2024-10-05,Patronato,,,San Martin Tucuman
2024-10-05,Deportivo Moron,,,Gimnasia M.
2024-10-12,San Martin Tucuman,,,Racing Cordoba
2024-10-12,Gimnasia M.,,,Temperley
2024-10-19,Alvarado,,,San Martin Tucuman
2024-10-19,Brown DE Adrogue,,,Gimnasia M.
2024-10-26,San Martin Tucuman,,,Club Atlético Güemes
2024-10-26,Gimnasia M.,,,Almagro
